tool_name,slug,category,batch,build_priority_score,risk_level,complexity_level,search_value_estimate,why_this_batch,must_have_features,index_status
"Fantasy Map Generator","fantasy-map-generator","fantasy map generator","Batch 3","40","low","high","low","Procedural generation is highly complex","Canvas/SVG rendering, noise algorithms","index"
"Skyrim Name Generator","skyrim-name-generator","skyrim name generator","Batch 3","30","medium","low","medium","Franchise/IP specific","Generator UI, copy/reset, responsive design","index"
"40k Name Generator","40k-name-generator","40k name generator | w40k name generator | warhammer 40k name generator","Batch 3","30","medium","low","medium","Franchise/IP specific","Generator UI, copy/reset, responsive design","index"
"Wow Name Generator","wow-name-generator","wow name generator","Batch 3","30","medium","low","medium","Franchise/IP specific","Generator UI, copy/reset, responsive design","index"
"Transformers Name Generator","transformers-name-generator","transformers name generator","Batch 3","30","medium","low","medium","Franchise/IP specific","Generator UI, copy/reset, responsive design","index"
"Elden Ring Name Generator","elden-ring-name-generator","elden ring name generator","Batch 3","30","medium","low","medium","Franchise/IP specific","Generator UI, copy/reset, responsive design","index"
"Naruto Name Generator","naruto-name-generator","naruto name generator","Batch 3","30","medium","low","medium","Franchise/IP specific","Generator UI, copy/reset, responsive design","index"
"One Piece Name Generator","one-piece-name-generator","one piece name generator","Batch 3","30","medium","low","medium","Franchise/IP specific","Generator UI, copy/reset, responsive design","index"
"Warhammer Name Generator","warhammer-name-generator","warhammer name generator","Batch 3","30","medium","low","medium","Franchise/IP specific","Generator UI, copy/reset, responsive design","index"
"Dune Name Generator","dune-name-generator","dune name generator","Batch 3","30","medium","low","medium","Franchise/IP specific","Generator UI, copy/reset, responsive design","index"
"Warcraft Name Generator","warcraft-name-generator","warcraft name generator | world of warcraft name generator","Batch 3","30","medium","low","medium","Franchise/IP specific","Generator UI, copy/reset, responsive design","index"
"Homestuck Troll Name Generator","homestuck-troll-name-generator","homestuck troll name generator","Batch 3","30","medium","low","medium","Franchise/IP specific","Generator UI, copy/reset, responsive design","index"
"Stardew Valley Farm Name Generator","stardew-valley-farm-name-generator","stardew valley farm name generator","Batch 3","30","medium","low","medium","Franchise/IP specific","Generator UI, copy/reset, responsive design","index"
"Wings Of Fire Name Generator","wings-of-fire-name-generator","wings of fire name generator","Batch 3","30","medium","low","medium","Franchise/IP specific","Generator UI, copy/reset, responsive design","index"
"Call Of Duty Name Generator","call-of-duty-name-generator","call of duty name generator","Batch 3","30","medium","low","medium","Franchise/IP specific","Generator UI, copy/reset, responsive design","index"
"Dark Souls Name Generator","dark-souls-name-generator","dark souls name generator","Batch 3","30","medium","low","medium","Franchise/IP specific","Generator UI, copy/reset, responsive design","index"
"Mha Name Generator","mha-name-generator","mha name generator","Batch 3","30","medium","low","medium","Franchise/IP specific","Generator UI, copy/reset, responsive design","index"
"Pokemon Blue Missingno Name Generator","pokemon-blue-missingno-name-generator","pokemon blue missingno name generator","Batch 3","30","medium","low","medium","Franchise/IP specific","Generator UI, copy/reset, responsive design","index"
"Demon Slayer Name Generator","demon-slayer-name-generator","demon slayer name generator","Batch 3","30","medium","low","medium","Franchise/IP specific","Generator UI, copy/reset, responsive design","index"
"Acnh Island Name Generator","acnh-island-name-generator","acnh island name generator","Batch 3","30","medium","low","medium","Franchise/IP specific","Generator UI, copy/reset, responsive design","index"
"Mha Hero Name Generator","mha-hero-name-generator","mha hero name generator","Batch 3","30","medium","low","medium","Franchise/IP specific","Generator UI, copy/reset, responsive design","index"
"Roblox Generator","roblox-generator","roblox generator","Batch 3","30","medium","low","medium","Franchise/IP specific","Generator UI, copy/reset, responsive design","index"
"Minecraft Generator","minecraft-generator","minecraft generator","Batch 3","30","medium","low","medium","Franchise/IP specific","Generator UI, copy/reset, responsive design","index"
"Fortnite Generator","fortnite-generator","fortnite generator","Batch 3","30","medium","low","medium","Franchise/IP specific","Generator UI, copy/reset, responsive design","index"
"Hogwarts Legacy Name Generator","hogwarts-legacy-name-generator","hogwarts legacy name generator","Batch 3","30","medium","low","medium","Franchise/IP specific","Generator UI, copy/reset, responsive design","index"
