"metric","value","details"
"active_tools","430","locked target 430"
"indexable_tools","379","locked target 379"
"noindex_tools","51","locked target 51 active noindex tools"
"noindexToolSlugs_total","52","includes inactive/redirected: tiktok-username-generator"
"redirects","20","locked target 20"
"duplicate_slugs","0","none"
"broken_relatedSlugs","0","none"
"raw_source_noindex_relatedSlugs","81","instagram-bio-generator->twitter-bio-generator; instagram-bio-generator->tiktok-bio-generator; instagram-bio-generator->linkedin-bio-generator; twitter-bio-generator->instagram-bio-generator; twitter-bio-generator->tiktok-bio-generator; twitter-bio-generator->linkedin-bio-generator; tiktok-bio-generator->instagram-bio-generator; tiktok-bio-generator->twitter-bio-generator; linkedin-bio-generator->twitter-bio-generator; linkedin-bio-generator->instagram-bio-generator; instagram-caption-generator->instagram-bio-generator; instagram-caption-generator->tiktok-bio-generator; fake-name-generator->password-generator; tiktok-name-generator->instagram-bio-generator; tiktok-name-generator->youtube-name-generator; instagram-name-generator->instagram-bio-generator; instagram-name-generator->tiktok-name-generator; comeback-generator->shakespeare-insult-generator; twitter-name-generator->instagram-name-generator; twitter-name-generator->tiktok-name-generator; linkedin-headline-generator->linkedin-bio-generator; linkedin-headline-generator->instagram-bio-generator; linkedin-headline-generator->twitter-bio-generator; pin-generator->password-generator; api-key-generator->password-generator; privacy-policy-generator->terms-generator; privacy-policy-generator->cookie-policy-generator; privacy-policy-generator->disclaimer-generator; terms-generator->privacy-policy-generator; terms-generator->cookie-policy-generator; terms-generator->disclaimer-generator; cookie-policy-generator->privacy-policy-generator; cookie-policy-generator->terms-generator; cookie-policy-generator->disclaimer-generator; disclaimer-generator->privacy-policy-generator; disclaimer-generator->terms-generator; disclaimer-generator->cookie-policy-generator; youtube-description-generator->youtube-name-generator; youtube-description-generator->instagram-caption-generator; tiktok-caption-generator->instagram-caption-generator; tiktok-caption-generator->tiktok-bio-generator; license-key-generator->api-key-generator; license-key-generator->password-generator; recovery-code-generator->password-generator; recovery-code-generator->pin-generator; recovery-code-generator->api-key-generator; refund-policy-generator->privacy-policy-generator; refund-policy-generator->terms-generator; refund-policy-generator->shipping-policy-generator; shipping-policy-generator->refund-policy-generator; shipping-policy-generator->privacy-policy-generator; shipping-policy-generator->terms-generator; affiliate-disclosure-generator->disclaimer-generator; affiliate-disclosure-generator->privacy-policy-generator; affiliate-disclosure-generator->terms-generator; linkedin-post-generator->linkedin-bio-generator; linkedin-post-generator->linkedin-headline-generator; linkedin-post-generator->instagram-caption-generator; facebook-post-generator->instagram-caption-generator; facebook-post-generator->tiktok-caption-generator"
"indexable_source_noindex_relatedSlugs","0","none"
"visible_related_noindex_links","0","tool pages filter noindex related tools before rendering"
"sitemap_noindex_exclusions","52","sitemap exclusion list count"
"sitemap_noindex_matches_source","1","1 means yes"
"built_sitemap_noindex_tool_urls","0","none"
"built_sitemap_redirect_urls","0","none"
"built_sitemap_missing_hub_urls","0","none"
"hub_pages_defined","6","/tools/name-generators/; /tools/text-generators/; /tools/writing-generators/; /tools/seo-generators/; /tools/business-generators/; /tools/creative-generators/"
"hub_pages_missing_files","0","none"
"hub_featured_tool_issues","0","none"
"html_sitemap_hub_links","1","1 means sitemap page imports toolHubs"
"homepage_hub_links","1","homepage maps toolHubs"
"final_page_count_estimate","459","main/legal/category/tool/hub pages before Astro internals"
