tool_name,slug,category,generator_type,required_toolOptions,special_functionality,risk_level,index_status,reason_for_inclusion
"Newsletter Name Generator","newsletter-name-generator","business-generators","random-combo","Style/Theme Select","Topic categories (tech, finance, lifestyle), pun toggles, tone selector.","low","index","Clear utility, brand-safe, generic intent"
"Price Tag Generator","price-tag-generator","utility-generators","utility","None","Currency symbol select, sale price crossing, layout templates (minimal, bold).","low","index","Clear utility, brand-safe, generic intent"
"Product Tag Generator","product-tag-generator","utility-generators","utility","None","Custom logo upload placeholder, size/care icon toggles, barcode gap.","low","index","Clear utility, brand-safe, generic intent"
"Clothing Tag Generator","clothing-tag-generator","utility-generators","utility","None","Fabric care symbols library, sizing matrix (S/M/L/XL), material percentages.","low","index","Clear utility, brand-safe, generic intent"
"Minutes Of Meeting Generator","minutes-of-meeting-generator","business-generators","random-combo","None","Action item extraction formats, attendee list templates, export to PDF/Markdown.","low","index","Clear utility, brand-safe, generic intent"
"Event Name Generator","event-name-generator","business-generators","random-combo","Style/Theme Select","Event type filters (gala, hackathon, retreat), location-based modifiers.","low","index","Clear utility, brand-safe, generic intent"
"College Name Generator","college-name-generator","writing-generators","random-combo","Style/Theme Select","Prestige levels (Ivy league, community), location suffixes (Institute, University).","low","index","Clear utility, brand-safe, generic intent"
"Diner Name Generator","diner-name-generator","business-generators","random-combo","Style/Theme Select","50s slang toggles, food-pun mode, geographic naming styles.","low","index","Clear utility, brand-safe, generic intent"
"Flower Name Generator","flower-name-generator","writing-generators","random-combo","Style/Theme Select","Latin/scientific naming mode, color-based roots, whimsical suffix options.","low","index","Clear utility, brand-safe, generic intent"
"Newspaper Name Generator","newspaper-name-generator","writing-generators","random-combo","Style/Theme Select","Traditional naming formats (Chronicle, Tribune), city prefixes, era filters.","low","index","Clear utility, brand-safe, generic intent"
"Plant Name Generator","plant-name-generator","writing-generators","random-combo","Style/Theme Select","Succulent vs. tree modes, genus/species latin generator, common name mix.","low","index","Clear utility, brand-safe, generic intent"
"Sibling Name Generator","sibling-name-generator","human-name-generators","random-combo","Style/Theme Select","Starting letter matching, style matching (classic, modern), twin modes.","low","index","Clear utility, brand-safe, generic intent"
"Pick A Name Generator","pick-a-name-generator","utility-generators","random-combo","Style/Theme Select","Bulk name input, elimination mode, animation for selection reveal.","low","index","Clear utility, brand-safe, generic intent"
"Name Generator Wheel","name-generator-wheel","utility-generators","utility","Style/Theme Select","Spinning animation, sound effects toggle, customizable wheel slice colors.","low","index","Clear utility, brand-safe, generic intent"
"Cake Company Names Generator","cake-company-names-generator","business-generators","random-combo","Style/Theme Select, Industry Select","Sweet/pastry related prefixes, elegant vs. cute tone toggles.","low","index","Clear utility, brand-safe, generic intent"
"Car Name Generator","car-name-generator","writing-generators","random-combo","Style/Theme Select","Vehicle class (sports, truck, SUV), futuristic vs. retro styles, alphanumeric modes.","low","index","Clear utility, brand-safe, generic intent"
"Title Name Generator","title-name-generator","writing-generators","random-combo","Style/Theme Select","Genre filters (sci-fi, romance, non-fiction), headline analyzer score snippet.","low","index","Clear utility, brand-safe, generic intent"
"Geo Tag Generator","geo-tag-generator","geo tag generator","utility","None","Generator UI, copy/reset, responsive design","low","index","Clear utility, brand-safe, generic intent"
"Pet Tag Generator","pet-tag-generator","dog tag generator","utility","None","Generator UI, copy/reset, responsive design","low","index","Clear utility, brand-safe, generic intent"
"Dj Tag Generator","dj-tag-generator","dj tag generator","utility","None","Generator UI, copy/reset, responsive design","low","index","Clear utility, brand-safe, generic intent"
"Clan Tag Generator","clan-tag-generator","clan tag generator | cod clan tag generator","utility","None","Generator UI, copy/reset, responsive design","low","index","Clear utility, brand-safe, generic intent"
"Hang Tag Generator","hang-tag-generator","hang tag generator","utility","None","Generator UI, copy/reset, responsive design","low","index","Clear utility, brand-safe, generic intent"
"Art Tag Generator","art-tag-generator","art tag generator","utility","None","Generator UI, copy/reset, responsive design","low","index","Clear utility, brand-safe, generic intent"
"Email Tag Generator","email-tag-generator","email tag generator","utility","None","Generator UI, copy/reset, responsive design","low","index","Clear utility, brand-safe, generic intent"
"Tag Team Name Generator","tag-team-name-generator","tag team name generator","utility","Style/Theme Select","Generator UI, copy/reset, responsive design","low","index","Clear utility, brand-safe, generic intent"
"Rap Name Generator","rap-name-generator","wu tang name generator","random-combo","Style/Theme Select","Generator UI, copy/reset, responsive design","low","index","Clear utility, brand-safe, generic intent"
"Name Generator For Elves","name-generator-for-elves","name generator for elves","random-combo","Style/Theme Select","Generator UI, copy/reset, responsive design","low","index","Clear utility, brand-safe, generic intent"
"Warrior Name Generator","warrior-name-generator","warriors name generator","random-combo","Style/Theme Select","Generator UI, copy/reset, responsive design","low","index","Clear utility, brand-safe, generic intent"
"God Name Generator","god-name-generator","god name generator | greek god name generator","random-combo","Style/Theme Select","Generator UI, copy/reset, responsive design","low","index","Clear utility, brand-safe, generic intent"
"Greek Name Generator","greek-name-generator","greek name generator | ancient greek name generator","random-combo","Style/Theme Select","Generator UI, copy/reset, responsive design","low","index","Clear utility, brand-safe, generic intent"
"Deity Name Generator","deity-name-generator","deity name generator","random-combo","Style/Theme Select","Generator UI, copy/reset, responsive design","low","index","Clear utility, brand-safe, generic intent"
"Roman Name Generator","roman-name-generator","roman name generator","random-combo","Style/Theme Select","Generator UI, copy/reset, responsive design","low","index","Clear utility, brand-safe, generic intent"
"Secret Santa Name Generator","secret-santa-name-generator","secret santa name generator","random-combo","Style/Theme Select","Generator UI, copy/reset, responsive design","low","index","Clear utility, brand-safe, generic intent"
"Anagram Of Name Generator","anagram-of-name-generator","anagram of name generator","random-combo","Style/Theme Select","Generator UI, copy/reset, responsive design","low","index","Clear utility, brand-safe, generic intent"
"Cyberpunk Crew Name Generator","cyberpunk-crew-name-generator","cyberpunk crew name generator","random-combo","Style/Theme Select","Generator UI, copy/reset, responsive design","low","index","Clear utility, brand-safe, generic intent"
"Gang Name Generator","gang-name-generator","gang name generator | biker gang name generator","random-combo","Style/Theme Select","Generator UI, copy/reset, responsive design","low","index","Clear utility, brand-safe, generic intent"
"Asia Name Generator","asia-name-generator","asia name generator","random-combo","Style/Theme Select","Generator UI, copy/reset, responsive design","low","index","Clear utility, brand-safe, generic intent"
"Cyberpunk Name Generator","cyberpunk-name-generator","cyberpunk name generator","random-combo","Style/Theme Select","Generator UI, copy/reset, responsive design","low","index","Clear utility, brand-safe, generic intent"
"Gangster Name Generator","gangster-name-generator","gangster name generator","random-combo","Style/Theme Select","Generator UI, copy/reset, responsive design","low","index","Clear utility, brand-safe, generic intent"
"Graffiti Name Generator","graffiti-name-generator","graffiti name generator","random-combo","Style/Theme Select","Generator UI, copy/reset, responsive design","low","index","Clear utility, brand-safe, generic intent"
"Iupac Name Generator","iupac-name-generator","iupac name generator","random-combo","Style/Theme Select","Generator UI, copy/reset, responsive design","low","index","Clear utility, brand-safe, generic intent"
"Muslim Name Generator","muslim-name-generator","muslim name generator","random-combo","Style/Theme Select","Generator UI, copy/reset, responsive design","low","index","Clear utility, brand-safe, generic intent"
"Sword Name Generator","sword-name-generator","sword name generator","random-combo","Style/Theme Select","Generator UI, copy/reset, responsive design","low","index","Clear utility, brand-safe, generic intent"
"United States Name Generator","united-states-name-generator","united states name generator","random-combo","Style/Theme Select","Generator UI, copy/reset, responsive design","low","index","Clear utility, brand-safe, generic intent"
"Bracket Name Generator","bracket-name-generator","bracket name generator","random-combo","Style/Theme Select","Generator UI, copy/reset, responsive design","low","index","Clear utility, brand-safe, generic intent"
"Clown Name Generator","clown-name-generator","clown name generator","random-combo","Style/Theme Select","Generator UI, copy/reset, responsive design","low","index","Clear utility, brand-safe, generic intent"
"Goth Name Generator","goth-name-generator","goth name generator","random-combo","Style/Theme Select","Generator UI, copy/reset, responsive design","low","index","Clear utility, brand-safe, generic intent"
"Imperial Name Generator","imperial-name-generator","imperial name generator","random-combo","Style/Theme Select","Generator UI, copy/reset, responsive design","low","index","Clear utility, brand-safe, generic intent"
"Project Name Generator Keywords","project-name-generator-keywords","project name generator keywords","random-combo","Style/Theme Select","Generator UI, copy/reset, responsive design","low","index","Clear utility, brand-safe, generic intent"
"Scifi Name Generator","scifi-name-generator","scifi name generator","random-combo","Style/Theme Select","Generator UI, copy/reset, responsive design","low","index","Clear utility, brand-safe, generic intent"
