proposed_tool_name,proposed_slug,primary_keyword,keywords_covered,final_decision,merge_into_existing_slug,add_as_mode_to_slug,risk_level,index_priority,reason
"Fack Name Generator","fack-name-generator","fack name generator","fack name generator","SKIP_UNSAFE_OR_OUT_OF_SCOPE","","","high","noindex","Unsafe, typo, or adult term"
"Godaddy Name Generator","godaddy-name-generator","godaddy name generator","godaddy name generator","SKIP_UNSAFE_OR_OUT_OF_SCOPE","","","high","noindex","Brand infringement risk"
"Buisness Name Generator","buisness-name-generator","buisness name generator","buisness name generator","SKIP_UNSAFE_OR_OUT_OF_SCOPE","","","high","noindex","Unsafe, typo, or adult term"
"Name Generater","name-generater","name generater","name generater | fake name generater","SKIP_UNSAFE_OR_OUT_OF_SCOPE","","","high","noindex","Unsafe, typo, or adult term"
"Name Generatir","name-generatir","name generatir","name generatir","SKIP_UNSAFE_OR_OUT_OF_SCOPE","","","high","noindex","Unsafe, typo, or adult term"
"Biz Name Generator","biz-name-generator","biz name generator","biz name generator","SKIP_UNSAFE_OR_OUT_OF_SCOPE","","","high","noindex","Unsafe, typo, or adult term"
"Strip Club Name Generator","strip-club-name-generator","strip club name generator","strip club name generator","SKIP_UNSAFE_OR_OUT_OF_SCOPE","","","high","noindex","Unsafe, typo, or adult term"
"Generator Antique First Names With X","generator-antique-first-names-with-x","generator antique first names with x","generator antique first names with x","SKIP_UNSAFE_OR_OUT_OF_SCOPE","","","low","medium","Genuinely unique user goal"
"Shopify Business Name Generator","shopify-business-name-generator","shopify business name generator","shopify business name generator","SKIP_UNSAFE_OR_OUT_OF_SCOPE","","","high","noindex","Brand infringement risk"
"Namelix Business Name Generator","namelix-business-name-generator","namelix business name generator","namelix business name generator","SKIP_UNSAFE_OR_OUT_OF_SCOPE","","","high","noindex","Brand infringement risk"
"Wix Business Name Generator","wix-business-name-generator","wix business name generator","wix business name generator","SKIP_UNSAFE_OR_OUT_OF_SCOPE","","","high","noindex","Brand infringement risk"
"Shopify Store Name Generator","shopify-store-name-generator","shopify store name generator","shopify store name generator","SKIP_UNSAFE_OR_OUT_OF_SCOPE","","","high","noindex","Brand infringement risk"
"Business Name Generator Shopify","business-name-generator-shopify","business name generator shopify","business name generator shopify","SKIP_UNSAFE_OR_OUT_OF_SCOPE","","","high","noindex","Brand infringement risk"
"Canva Business Name Generator","canva-business-name-generator","canva business name generator","canva business name generator","SKIP_UNSAFE_OR_OUT_OF_SCOPE","","","high","noindex","Brand infringement risk"
"Hootsuite Business Name Generator","hootsuite-business-name-generator","hootsuite business name generator","hootsuite business name generator","SKIP_UNSAFE_OR_OUT_OF_SCOPE","","","high","noindex","Brand infringement risk"
"Domain Name Generator Godaddy","domain-name-generator-godaddy","domain name generator godaddy","domain name generator godaddy","SKIP_UNSAFE_OR_OUT_OF_SCOPE","","","high","noindex","Brand infringement risk"
"Generate Seo Tags","generate-seo-tags","generate seo tags","generate seo tags","SKIP_UNSAFE_OR_OUT_OF_SCOPE","","","low","medium","Genuinely unique user goal"
"Ahrefs Tag Generator","ahrefs-tag-generator","ahrefs tag generator","ahrefs tag generator","SKIP_UNSAFE_OR_OUT_OF_SCOPE","","","high","noindex","Brand infringement risk"
"Redbubble Tag Generator","redbubble-tag-generator","redbubble tag generator","redbubble tag generator","SKIP_UNSAFE_OR_OUT_OF_SCOPE","","","high","noindex","Brand infringement risk"
"Amazon Tag Generator","amazon-tag-generator","amazon tag generator","amazon tag generator","SKIP_UNSAFE_OR_OUT_OF_SCOPE","","","high","noindex","Brand infringement risk"
"Ebay Tag Generator","ebay-tag-generator","ebay tag generator","ebay tag generator","SKIP_UNSAFE_OR_OUT_OF_SCOPE","","","high","noindex","Brand infringement risk"
"Aws Generated Tags","aws-generated-tags","aws generated tags","aws generated tags","SKIP_UNSAFE_OR_OUT_OF_SCOPE","","","high","noindex","Brand infringement risk"
"Dell Service Tag Generator","dell-service-tag-generator","dell service tag generator","dell service tag generator","SKIP_UNSAFE_OR_OUT_OF_SCOPE","","","high","noindex","Brand infringement risk"
"Cash App Tag Generator","cash-app-tag-generator","cash app tag generator","cash app tag generator","SKIP_UNSAFE_OR_OUT_OF_SCOPE","","","high","noindex","Brand infringement risk"
"Elementor Dynamic Tag Generator","elementor-dynamic-tag-generator","elementor dynamic tag generator","elementor dynamic tag generator","SKIP_UNSAFE_OR_OUT_OF_SCOPE","","","high","noindex","Brand infringement risk"
"Subscribt Generator","subscribt-generator","subscribt generator","subscribt generator","SKIP_UNSAFE_OR_OUT_OF_SCOPE","","","high","noindex","Unsafe, typo, or adult term"
