batch,position,slug,name,metadata_fix,faq_fix,relatedSlugs_fix,duplicate_slug_check,broken_relatedSlugs_check,rendered_index_follow,canonical_check,noindexToolSlugs_unchanged,active_tools_count,indexable_in_sitemap,noindex_in_sitemap
8,1,fancy-text-generator,Fancy Text Generator,title 47; description 133,3 useful FAQs,bold-text-generator|cursive-text-generator|unicode-text-generator|cool-text-generator,pass,pass,pass,pass,pass,430,379,0
8,2,youtube-tag-generator,YouTube Tag Generator,title 52; description 134,3 useful FAQs,hashtag-generator|pinterest-tag-generator|etsy-tag-generator|meta-tag-generator,pass,pass,pass,pass,pass,430,379,0
8,3,cursive-text-generator,Cursive Text Generator,title 49; description 135,3 useful FAQs,fancy-text-generator|italic-text-generator|bold-text-generator|unicode-text-generator,pass,pass,pass,pass,pass,430,379,0
8,4,word-counter,Word Counter,title 44; description 125,3 useful FAQs,text-case-converter|sentence-generator|paragraph-generator|random-text-generator,pass,pass,pass,pass,pass,430,379,0
8,5,random-number-generator,Random Number Generator,title 50; description 136,3 useful FAQs,dice-roller|coin-flip|random-letter-generator|random-list-generator,pass,pass,pass,pass,pass,430,379,0
8,6,underline-text-generator,Underline Text Generator,title 51; description 137,3 useful FAQs,fancy-text-generator|bold-text-generator|italic-text-generator|unicode-text-generator,pass,pass,pass,pass,pass,430,379,0
8,7,discord-name-generator,Discord Name Generator,title 44; description 135,3 useful FAQs,username-generator|gaming-name-generator|clan-name-generator|twitch-name-generator,pass,pass,pass,pass,pass,430,379,0
8,8,rap-name-generator,Rap Name Generator,title 40; description 131,3 useful FAQs,stage-name-generator|band-name-generator|song-name-generator|performer-names-generator,pass,pass,pass,pass,pass,430,379,0
8,9,hreflang-tag-generator,Hreflang Tag Generator,title 53; description 135,3 useful FAQs,canonical-tag-generator|meta-tag-generator|robots-txt-generator|sitemap-generator,pass,pass,pass,pass,pass,430,379,0
8,10,hash-generator,Hash Generator,title 53; description 127,3 useful FAQs,uuid-generator|random-id-generator|slug-generator|json-formatter,pass,pass,pass,pass,pass,430,379,0
8,11,json-formatter,JSON Formatter,title 53; description 127,3 useful FAQs,json-schema-generator|typescript-type-generator|graphql-query-generator|mock-api-generator,pass,pass,pass,pass,pass,430,379,0
8,12,dice-roller,Dice Roller,title 38; description 124,3 useful FAQs,random-number-generator|coin-flip|truth-or-dare-generator|wheel-spinner-generator,pass,pass,pass,pass,pass,430,379,0
8,13,demon-name-generator,Demon Name Generator,title 42; description 133,3 useful FAQs,fantasy-name-generator|villain-name-generator|monster-name-generator|tiefling-name-generator,pass,pass,pass,pass,pass,430,379,0
8,14,hashtag-generator,Hashtag Generator,title 48; description 130,3 useful FAQs,youtube-tag-generator|pinterest-tag-generator|etsy-tag-generator|seo-title-generator,pass,pass,pass,pass,pass,430,379,0
8,15,anime-name-generator,Anime Name Generator,title 42; description 133,3 useful FAQs,character-name-generator|fantasy-name-generator|japanese-name-generator|story-name-generator,pass,pass,pass,pass,pass,430,379,0
8,16,dnd-name-generator,D&D Name Generator,title 40; description 131,3 useful FAQs,fantasy-name-generator|character-name-generator|orc-name-generator|tiefling-name-generator,pass,pass,pass,pass,pass,430,379,0
8,17,orc-name-generator,Orc Name Generator,title 40; description 131,3 useful FAQs,fantasy-name-generator|dnd-name-generator|barbarian-name-generator|warrior-name-generator,pass,pass,pass,pass,pass,430,379,0
8,18,alien-name-generator,Alien Name Generator,title 42; description 133,3 useful FAQs,scifi-name-generator|planet-name-generator|spaceship-name-generator|character-name-generator,pass,pass,pass,pass,pass,430,379,0
8,19,fairy-name-generator,Fairy Name Generator,title 42; description 133,3 useful FAQs,fantasy-name-generator|elf-name-generator|magic-name-generator|character-name-generator,pass,pass,pass,pass,pass,430,379,0
8,20,character-name-generator,Character Name Generator,title 46; description 137,3 useful FAQs,fantasy-name-generator|story-name-generator|dnd-name-generator|villain-name-generator,pass,pass,pass,pass,pass,430,379,0
8,21,random-phrase-generator,Random Phrase Generator,title 50; description 136,3 useful FAQs,random-text-generator|sentence-generator|writing-prompt-generator|random-question-generator,pass,pass,pass,pass,pass,430,379,0
8,22,special-character-generator,Special Character Generator,title 54; description 140,3 useful FAQs,unicode-text-generator|ascii-text-generator|fancy-text-generator|small-text-generator,pass,pass,pass,pass,pass,430,379,0
8,23,ascii-text-generator,ASCII Text Art Generator,title 51; description 137,3 useful FAQs,special-character-generator|unicode-text-generator|fancy-text-generator|big-text-generator,pass,pass,pass,pass,pass,430,379,0
8,24,gaming-name-generator,Gaming Name Generator,title 43; description 134,3 useful FAQs,username-generator|discord-name-generator|clan-name-generator|guild-name-generator,pass,pass,pass,pass,pass,430,379,0
8,25,cool-text-generator,Cool Text Generator,title 46; description 132,3 useful FAQs,fancy-text-generator|unicode-text-generator|glitch-text-generator|vaporwave-text-generator,pass,pass,pass,pass,pass,430,379,0
8,26,old-english-text-generator,Old English Text Generator,title 53; description 139,3 useful FAQs,fancy-text-generator|cursive-text-generator|unicode-text-generator|serif-generator,pass,pass,pass,pass,pass,430,379,0
8,27,leet-text-generator,Leet Speak Generator,title 47; description 133,3 useful FAQs,fancy-text-generator|unicode-text-generator|gibberish-generator|random-text-generator,pass,pass,pass,pass,pass,430,379,0
