slug,risk_type,category_group,current_noindex_status,premium_content_readiness,remaining_risk,recommended_decision,reason
instagram-bio-generator,platform_abuse,social profile/content tools,yes,"premium_done but needs explicit FAQ and disclaimer before indexing","Platform profile copy can drift into impersonation unsupported claims or fake engagement expectations",index_third_batch,"Safest remaining social intent because it is profile brainstorming rather than engagement automation; harden explicit safety framing first"
twitter-bio-generator,platform_abuse,social profile/content tools,yes,"premium_done but needs explicit FAQ and disclaimer before indexing","Platform profile copy can drift into impersonation unsupported claims or fake engagement expectations",index_third_batch,"Safest remaining social intent because it is profile brainstorming rather than engagement automation; harden explicit safety framing first"
tiktok-bio-generator,platform_abuse,social profile/content tools,yes,"premium_done but needs explicit FAQ and disclaimer before indexing","Platform profile copy can drift into impersonation unsupported claims or fake engagement expectations",index_third_batch,"Safest remaining social intent because it is profile brainstorming rather than engagement automation; harden explicit safety framing first"
linkedin-bio-generator,platform_abuse,social profile/content tools,yes,"premium_done but needs explicit FAQ and disclaimer before indexing","Professional profile copy can drift into unsupported credentials or employment outcome expectations",index_third_batch,"Close match to already-hardened LinkedIn headline and summary pages; harden explicit safety framing first"
youtube-name-generator,platform_abuse,social profile/content tools,yes,"premium_done but needs explicit FAQ and disclaimer before indexing","Channel naming can imply platform affiliation availability or guaranteed growth if not framed carefully",index_third_batch,"Lower-risk brainstorming intent compared with posts hashtags prompts or docs; harden explicit safety framing first"
tiktok-name-generator,platform_abuse,social profile/content tools,yes,"premium_done but needs explicit FAQ and disclaimer before indexing","Account naming can imply platform affiliation availability or impersonation if not framed carefully",index_third_batch,"Lower-risk brainstorming intent compared with posts hashtags prompts or docs; harden explicit safety framing first"
instagram-name-generator,platform_abuse,social profile/content tools,yes,"premium_done but needs explicit FAQ and disclaimer before indexing","Account naming can imply platform affiliation availability or impersonation if not framed carefully",index_third_batch,"Lower-risk brainstorming intent compared with posts hashtags prompts or docs; harden explicit safety framing first"
twitter-name-generator,platform_abuse,social profile/content tools,yes,"premium_done but needs explicit FAQ and disclaimer before indexing","Account naming can imply platform affiliation availability or impersonation if not framed carefully",index_third_batch,"Lower-risk brainstorming intent compared with posts hashtags prompts or docs; harden explicit safety framing first"
instagram-caption-generator,platform_abuse,social profile/content tools,yes,"premium_done but needs explicit FAQ and disclaimer before indexing","Caption drafts can encourage spam clickbait unsupported claims or engagement chasing",index_later,"Useful but more publication-facing than profile/name tools; hold for a later content-safety hardening pass"
facebook-post-generator,platform_abuse,social profile/content tools,yes,"premium_done but needs explicit FAQ and disclaimer before indexing","Post drafts can encourage spam fake engagement unsupported claims or platform policy issues",index_later,"Higher platform-abuse surface than profile/name tools; hold for later explicit platform-policy hardening"
