slug,tool_name,category,index_priority,has_intent_specific_logic,output_quality,ui_quality,upgrade_priority,reason,recommended_next_action,classification
fancy-text-generator,Fancy Text Generator,Font & Text Style Generators,medium,yes,premium,premium,none,"Current renderer has slug-specific premium output with structured copy blocks, grouped cards, or a premium visual/section suite.",No upgrade now; keep in regression QA.,premium_done
name-generator,Name Generator,Name Generators,high,yes,premium,premium,none,"Current renderer has slug-specific premium output with structured copy blocks, grouped cards, or a premium visual/section suite.",No upgrade now; keep in regression QA.,premium_done
username-generator,Username Generator,Name Generators,high,yes,premium,premium,none,"Current renderer has slug-specific premium output with structured copy blocks, grouped cards, or a premium visual/section suite.",No upgrade now; keep in regression QA.,premium_done
business-name-generator,Business Name Generator,Business & Brand Generators,high,yes,premium,premium,none,"Current renderer has slug-specific premium output with structured copy blocks, grouped cards, or a premium visual/section suite.",No upgrade now; keep in regression QA.,premium_done
youtube-tag-generator,YouTube Tag Generator,Social Media & Tag Generators,medium,yes,premium,premium,none,"Current renderer has slug-specific premium output with structured copy blocks, grouped cards, or a premium visual/section suite.",No upgrade now; keep in regression QA.,premium_done
instagram-bio-generator,Instagram Bio Generator,Bio & Caption Generators,medium,yes,premium,premium,none,"Current renderer has slug-specific premium output with structured copy blocks, grouped cards, or a premium visual/section suite.",No upgrade now; keep in regression QA.,premium_done
meta-tag-generator,Meta Tag Generator,SEO & Marketing Generators,high,yes,premium,premium,none,"Current renderer has slug-specific premium output with structured copy blocks, grouped cards, or a premium visual/section suite.",No upgrade now; keep in regression QA.,premium_done
bold-text-generator,Bold Text Generator,Font & Text Style Generators,low,yes,okay,basic,low,"Clear enough user intent, but current output lacks deeper structured premium formatting or robust option-aware copy.",Consider for a later coherent premium pass if it fits the next batch theme.,needs_premium_upgrade
cursive-text-generator,Cursive Text Generator,Font & Text Style Generators,medium,yes,premium,premium,none,"Current renderer has slug-specific premium output with structured copy blocks, grouped cards, or a premium visual/section suite.",No upgrade now; keep in regression QA.,premium_done
glitch-text-generator,Glitch Text Generator,Font & Text Style Generators,low,yes,okay,basic,low,"Clear enough user intent, but current output lacks deeper structured premium formatting or robust option-aware copy.",Consider for a later coherent premium pass if it fits the next batch theme.,needs_premium_upgrade
password-generator,Password Generator,Utility Generators,noindex,yes,strong,premium,none,"Sensitive legal, policy, payment, credential, or official-document adjacent tool; keep out of general premium batches unless separately scoped with stricter disclaimers.",Hold for a dedicated safety/compliance review rather than a general premium upgrade pass.,hold_sensitive
lorem-ipsum-generator,Lorem Ipsum Generator,Utility Generators,high,yes,premium,premium,none,"Current renderer has slug-specific premium output with structured copy blocks, grouped cards, or a premium visual/section suite.",No upgrade now; keep in regression QA.,premium_done
fantasy-name-generator,Fantasy Name Generator,Gaming & Fantasy Generators,medium,yes,okay,basic,medium,"Clear enough user intent, but current output lacks deeper structured premium formatting or robust option-aware copy.",Consider for a later coherent premium pass if it fits the next batch theme.,needs_premium_upgrade
instagram-hashtag-generator,Instagram Hashtag Generator,Social Media & Tag Generators,medium,yes,premium,premium,none,"Current renderer has slug-specific premium output with structured copy blocks, grouped cards, or a premium visual/section suite.",No upgrade now; keep in regression QA.,premium_done
text-case-converter,Text Case Converter,Utility Generators,high,yes,premium,premium,none,"Current renderer has slug-specific premium output with structured copy blocks, grouped cards, or a premium visual/section suite.",No upgrade now; keep in regression QA.,premium_done
team-name-generator,Team Name Generator,Name Generators,medium,yes,okay,basic,medium,"Clear enough user intent, but current output lacks deeper structured premium formatting or robust option-aware copy.",Consider for a later coherent premium pass if it fits the next batch theme.,needs_premium_upgrade
robots-txt-generator,Robots.txt Generator,SEO & Marketing Generators,high,yes,premium,premium,none,"Current renderer has slug-specific premium output with structured copy blocks, grouped cards, or a premium visual/section suite.",No upgrade now; keep in regression QA.,premium_done
word-counter,Word Counter,Utility Generators,high,yes,premium,premium,none,"Current renderer has slug-specific premium output with structured copy blocks, grouped cards, or a premium visual/section suite.",No upgrade now; keep in regression QA.,premium_done
uuid-generator,UUID Generator,Developer & Web Generators,high,yes,premium,premium,none,"Current renderer has slug-specific premium output with structured copy blocks, grouped cards, or a premium visual/section suite.",No upgrade now; keep in regression QA.,premium_done
random-number-generator,Random Number Generator,Random Generators,noindex,yes,strong,premium,none,"Low-priority, franchise-adjacent, novelty, or thin utility intent; not a good next premium batch candidate.","Leave as-is for now; revisit only for cleanup, safety, or noindex decisions.",noindex_or_low_priority
small-text-generator,Small Text Generator,Font & Text Style Generators,low,yes,okay,basic,low,"Clear enough user intent, but current output lacks deeper structured premium formatting or robust option-aware copy.",Consider for a later coherent premium pass if it fits the next batch theme.,needs_premium_upgrade
italic-text-generator,Italic Text Generator,Font & Text Style Generators,low,yes,okay,basic,low,"Clear enough user intent, but current output lacks deeper structured premium formatting or robust option-aware copy.",Consider for a later coherent premium pass if it fits the next batch theme.,needs_premium_upgrade
strikethrough-text-generator,Strikethrough Text Generator,Font & Text Style Generators,low,yes,okay,basic,low,"Clear enough user intent, but current output lacks deeper structured premium formatting or robust option-aware copy.",Consider for a later coherent premium pass if it fits the next batch theme.,needs_premium_upgrade
underline-text-generator,Underline Text Generator,Font & Text Style Generators,low,yes,okay,basic,low,"Clear enough user intent, but current output lacks deeper structured premium formatting or robust option-aware copy.",Consider for a later coherent premium pass if it fits the next batch theme.,needs_premium_upgrade
vaporwave-text-generator,Vaporwave Text Generator,Font & Text Style Generators,low,yes,okay,basic,low,"Clear enough user intent, but current output lacks deeper structured premium formatting or robust option-aware copy.",Consider for a later coherent premium pass if it fits the next batch theme.,needs_premium_upgrade
reverse-text-generator,Reverse Text Generator,Font & Text Style Generators,low,yes,okay,basic,low,"Clear enough user intent, but current output lacks deeper structured premium formatting or robust option-aware copy.",Consider for a later coherent premium pass if it fits the next batch theme.,needs_premium_upgrade
unicode-text-generator,Unicode Text Generator,Font & Text Style Generators,low,yes,okay,basic,low,"Clear enough user intent, but current output lacks deeper structured premium formatting or robust option-aware copy.",Consider for a later coherent premium pass if it fits the next batch theme.,needs_premium_upgrade
tiktok-hashtag-generator,TikTok Hashtag Generator,Social Media & Tag Generators,medium,yes,premium,premium,none,"Current renderer has slug-specific premium output with structured copy blocks, grouped cards, or a premium visual/section suite.",No upgrade now; keep in regression QA.,premium_done
twitter-bio-generator,Twitter/X Bio Generator,Bio & Caption Generators,medium,yes,premium,premium,none,"Current renderer has slug-specific premium output with structured copy blocks, grouped cards, or a premium visual/section suite.",No upgrade now; keep in regression QA.,premium_done
tiktok-bio-generator,TikTok Bio Generator,Bio & Caption Generators,medium,yes,premium,premium,none,"Current renderer has slug-specific premium output with structured copy blocks, grouped cards, or a premium visual/section suite.",No upgrade now; keep in regression QA.,premium_done
linkedin-bio-generator,LinkedIn Bio Generator,Bio & Caption Generators,medium,yes,premium,premium,none,"Current renderer has slug-specific premium output with structured copy blocks, grouped cards, or a premium visual/section suite.",No upgrade now; keep in regression QA.,premium_done
domain-name-generator,Domain Name Generator,Business & Brand Generators,high,yes,premium,premium,none,"Current renderer has slug-specific premium output with structured copy blocks, grouped cards, or a premium visual/section suite.",No upgrade now; keep in regression QA.,premium_done
product-name-generator,Product Name Generator,Business & Brand Generators,high,yes,premium,premium,none,"Current renderer has slug-specific premium output with structured copy blocks, grouped cards, or a premium visual/section suite.",No upgrade now; keep in regression QA.,premium_done
baby-name-generator,Baby Name Generator,Name Generators,medium,yes,okay,basic,medium,"Clear enough user intent, but current output lacks deeper structured premium formatting or robust option-aware copy.",Consider for a later coherent premium pass if it fits the next batch theme.,needs_premium_upgrade
middle-name-generator,Middle Name Generator,Name Generators,medium,yes,okay,basic,medium,"Clear enough user intent, but current output lacks deeper structured premium formatting or robust option-aware copy.",Consider for a later coherent premium pass if it fits the next batch theme.,needs_premium_upgrade
last-name-generator,Last Name Generator,Name Generators,medium,yes,okay,basic,medium,"Clear enough user intent, but current output lacks deeper structured premium formatting or robust option-aware copy.",Consider for a later coherent premium pass if it fits the next batch theme.,needs_premium_upgrade
discord-name-generator,Discord Name Generator,Name Generators,medium,yes,okay,basic,medium,"Clear enough user intent, but current output lacks deeper structured premium formatting or robust option-aware copy.",Consider for a later coherent premium pass if it fits the next batch theme.,needs_premium_upgrade
clan-name-generator,Clan Name Generator,Gaming & Fantasy Generators,medium,yes,okay,basic,medium,"Clear enough user intent, but current output lacks deeper structured premium formatting or robust option-aware copy.",Consider for a later coherent premium pass if it fits the next batch theme.,needs_premium_upgrade
band-name-generator,Band Name Generator,Creative & Story Generators,high,yes,premium,premium,none,"Current renderer has slug-specific premium output with structured copy blocks, grouped cards, or a premium visual/section suite.",No upgrade now; keep in regression QA.,premium_done
superhero-name-generator,Superhero Name Generator,Creative & Story Generators,medium,yes,okay,basic,medium,"Clear enough user intent, but current output lacks deeper structured premium formatting or robust option-aware copy.",Consider for a later coherent premium pass if it fits the next batch theme.,needs_premium_upgrade
rap-name-generator,Rap Name Generator,Creative & Story Generators,medium,yes,okay,good,low,"Has slug-specific logic and options that satisfy the basic user intent, but not enough search value or batch fit to prioritize immediately.",Keep as good-enough; consider after higher-value gaps are closed.,good_enough
song-name-generator,Song Name Generator,Creative & Story Generators,high,yes,premium,premium,none,"Current renderer has slug-specific premium output with structured copy blocks, grouped cards, or a premium visual/section suite.",No upgrade now; keep in regression QA.,premium_done
paragraph-generator,Paragraph Generator,AI Text & Writing Generators,high,yes,premium,premium,none,"Current renderer has slug-specific premium output with structured copy blocks, grouped cards, or a premium visual/section suite.",No upgrade now; keep in regression QA.,premium_done
sentence-generator,Sentence Generator,AI Text & Writing Generators,high,yes,premium,premium,none,"Current renderer has slug-specific premium output with structured copy blocks, grouped cards, or a premium visual/section suite.",No upgrade now; keep in regression QA.,premium_done
blog-name-generator,Blog Name Generator,AI Text & Writing Generators,high,yes,premium,premium,none,"Current renderer has slug-specific premium output with structured copy blocks, grouped cards, or a premium visual/section suite.",No upgrade now; keep in regression QA.,premium_done
pirate-name-generator,Pirate Name Generator,Gaming & Fantasy Generators,medium,yes,okay,basic,medium,"Clear enough user intent, but current output lacks deeper structured premium formatting or robust option-aware copy.",Consider for a later coherent premium pass if it fits the next batch theme.,needs_premium_upgrade
medieval-name-generator,Medieval Name Generator,Gaming & Fantasy Generators,medium,yes,okay,basic,medium,"Clear enough user intent, but current output lacks deeper structured premium formatting or robust option-aware copy.",Consider for a later coherent premium pass if it fits the next batch theme.,needs_premium_upgrade
hreflang-tag-generator,Hreflang Tag Generator,SEO & Marketing Generators,medium,yes,okay,basic,medium,"Clear enough user intent, but current output lacks deeper structured premium formatting or robust option-aware copy.",Consider for a later coherent premium pass if it fits the next batch theme.,needs_premium_upgrade
schema-tag-generator,Schema Markup Generator,SEO & Marketing Generators,high,yes,premium,premium,none,"Current renderer has slug-specific premium output with structured copy blocks, grouped cards, or a premium visual/section suite.",No upgrade now; keep in regression QA.,premium_done
slug-generator,URL Slug Generator,Developer & Web Generators,high,yes,premium,premium,none,"Current renderer has slug-specific premium output with structured copy blocks, grouped cards, or a premium visual/section suite.",No upgrade now; keep in regression QA.,premium_done
hash-generator,Hash Generator,Developer & Web Generators,high,yes,premium,premium,none,"Current renderer has slug-specific premium output with structured copy blocks, grouped cards, or a premium visual/section suite.",No upgrade now; keep in regression QA.,premium_done
json-formatter,JSON Formatter,Developer & Web Generators,high,yes,premium,premium,none,"Current renderer has slug-specific premium output with structured copy blocks, grouped cards, or a premium visual/section suite.",No upgrade now; keep in regression QA.,premium_done
coin-flip,Coin Flip Generator,Random Generators,noindex,yes,okay,basic,none,"Low-priority, franchise-adjacent, novelty, or thin utility intent; not a good next premium batch candidate.","Leave as-is for now; revisit only for cleanup, safety, or noindex decisions.",noindex_or_low_priority
dice-roller,Dice Roller,Random Generators,noindex,yes,okay,basic,none,"Low-priority, franchise-adjacent, novelty, or thin utility intent; not a good next premium batch candidate.","Leave as-is for now; revisit only for cleanup, safety, or noindex decisions.",noindex_or_low_priority
color-palette-generator,Color Palette Generator,Developer & Web Generators,high,yes,premium,premium,none,"Current renderer has slug-specific premium output with structured copy blocks, grouped cards, or a premium visual/section suite.",No upgrade now; keep in regression QA.,premium_done
town-name-generator,Town Name Generator,Gaming & Fantasy Generators,medium,yes,okay,basic,medium,"Clear enough user intent, but current output lacks deeper structured premium formatting or robust option-aware copy.",Consider for a later coherent premium pass if it fits the next batch theme.,needs_premium_upgrade
kingdom-name-generator,Kingdom Name Generator,Gaming & Fantasy Generators,medium,yes,okay,basic,medium,"Clear enough user intent, but current output lacks deeper structured premium formatting or robust option-aware copy.",Consider for a later coherent premium pass if it fits the next batch theme.,needs_premium_upgrade
dragon-name-generator,Dragon Name Generator,Gaming & Fantasy Generators,medium,yes,okay,basic,medium,"Clear enough user intent, but current output lacks deeper structured premium formatting or robust option-aware copy.",Consider for a later coherent premium pass if it fits the next batch theme.,needs_premium_upgrade
wolf-name-generator,Wolf Name Generator,Gaming & Fantasy Generators,medium,yes,okay,basic,medium,"Clear enough user intent, but current output lacks deeper structured premium formatting or robust option-aware copy.",Consider for a later coherent premium pass if it fits the next batch theme.,needs_premium_upgrade
demon-name-generator,Demon Name Generator,Gaming & Fantasy Generators,medium,yes,okay,basic,medium,"Clear enough user intent, but current output lacks deeper structured premium formatting or robust option-aware copy.",Consider for a later coherent premium pass if it fits the next batch theme.,needs_premium_upgrade
elf-name-generator,Elf Name Generator,Gaming & Fantasy Generators,medium,yes,okay,basic,medium,"Clear enough user intent, but current output lacks deeper structured premium formatting or robust option-aware copy.",Consider for a later coherent premium pass if it fits the next batch theme.,needs_premium_upgrade
podcast-name-generator,Podcast Name Generator,Creative & Story Generators,high,yes,premium,premium,none,"Current renderer has slug-specific premium output with structured copy blocks, grouped cards, or a premium visual/section suite.",No upgrade now; keep in regression QA.,premium_done
