classification,slug,tool_name,unique_user_intent,premium_tool_depth,seo_content_quality,adsense_adx_safety,spam_risk,legal_financial_medical_security_risk,ai_prompt_image_generation_risk,brand_ip_platform_dependency,fake_identity_document_risk,hate_harassment_threat_risk,decision_reason,hardening_checklist
Needs hardening first,fake-text-generator,Fake Text Generator,Moderate: realistic placeholder text is useful but the fake wording creates ambiguity,Weak: no custom options and no custom FAQs,Moderate: useful placeholder intent but thin safety/context depth,Mostly safe if positioned as mockup filler only,Medium: could be used for deceptive filler or fake messages,Low direct YMYL risk,Low,Low,Medium due fake/deceptive wording,Low,"Close but not ready; needs clearer placeholder-only positioning before indexed acquisition.","Add custom FAQs; say mockups/prototypes/testing only; prohibit deception misinformation impersonation reviews testimonials and official records; consider renaming copy emphasis to placeholder text."
Needs hardening first,x-post-generator,X/Twitter Post Generator,High: short post/thread drafting for X is distinct,Moderate: one option but no custom FAQs,Moderate: adequate metadata but thin page-specific guidance once noindex fallback disappears,Conditionally safe with strong safety framing,High: spam outrage bait harassment and misleading claims are plausible,Low direct YMYL risk,Low,High platform dependency,Low,Medium,"Not ready for Sixth Batch because platform posting is abuse-prone and has no custom FAQs.","Add anti-spam anti-harassment and no engagement guarantee FAQs; require claim verification; avoid outrage bait; clarify no X/Twitter affiliation."
Needs hardening first,youtube-hook-generator,YouTube Hook Generator,High: video intro hook drafting is distinct,Moderate: hook-style option but no custom FAQs,Moderate: useful keyword intent but page-specific content is thin,Conditionally safe if anti-clickbait language is visible,High: clickbait retention and growth claims risk,Low direct YMYL risk,Low,High platform dependency,Low,Low,"Close but not ready; hooks directly affect attention manipulation and need explicit anti-clickbait safeguards.","Add custom FAQs about truthful hooks; prohibit misleading promises; no retention views ranking or subscriber guarantees; no YouTube affiliation."
Needs hardening first,twitter-card-generator,Twitter Card Generator,High: metadata drafting is a distinct SEO/dev utility,Good: four metadata options,Moderate: useful but lacks custom FAQs about preview limits,Generally safe as a dev utility,Medium: fake previews or misleading metadata possible,Low direct YMYL risk,Low,High X/Twitter platform dependency,Low,Low,"Probably the closest future candidate but not ready because it needs preview-accuracy and non-affiliation FAQs.","Add custom FAQs for truthful metadata cache behavior image limits validation and no guaranteed rendering; clarify no platform affiliation."
Needs hardening first,youtube-tag-generator,YouTube Tag Generator,High: video tag brainstorming is distinct,Good: three options and one FAQ,Moderate: strong keyword demand but spam-adjacent,Conditional only with relevance-first framing,High: keyword stuffing and ranking expectations,Low direct YMYL risk,Low,High YouTube dependency,Low,Low,"Not ready; tag tools need a dedicated anti-spam hardening pass.","Add FAQs for relevance-only tags; prohibit stuffing unrelated trends and misleading topics; no search volume ranking visibility or view guarantees; no affiliation."
Needs hardening first,instagram-hashtag-generator,Instagram Hashtag Generator,Moderate: common platform hashtag intent,Good: three options but no custom FAQs,Moderate: high demand but thin safety content,Conditional only with explicit anti-spam language,High: reach chasing trend stuffing and engagement spam,Low direct YMYL risk,Low,High Instagram dependency,Low,Low,"Not ready; hashtag growth surfaces remain too spam-adjacent.","Add custom FAQs; relevance-only hashtags; no reach trend follower or engagement guarantees; no platform affiliation; discourage bulk irrelevant tags."
Needs hardening first,tiktok-hashtag-generator,TikTok Hashtag Generator,Moderate: common platform hashtag intent,Good: three options but no custom FAQs,Moderate: strong demand but viral/trend risk,Conditional only with explicit no-viral framing,High: trend abuse and reach expectations,Low direct YMYL risk,Low,High TikTok dependency,Low,Low,"Not ready because TikTok hashtag intent is too close to viral/reach claims.","Add custom FAQs; no viral reach views follower or trend guarantees; relevance-only; no platform affiliation; discourage spam."
Needs hardening first,etsy-tag-generator,Etsy Tag Generator,High: marketplace listing tags are distinct,Good: three options but no custom FAQs,Good SEO demand but marketplace claims need depth,Conditional with truthful product-attribute framing,Medium-high: keyword stuffing and fake relevance,Medium commercial reliance risk,Low,High Etsy marketplace dependency,Low,Low,"Close but not ready; marketplace tags need truthfulness and no-ranking safeguards.","Add FAQs about truthful attributes; no sales ranking placement or search-volume guarantees; no Etsy affiliation; warn against irrelevant tags and unsupported product claims."
Needs hardening first,pinterest-tag-generator,Pinterest Tag Generator,High: pin and board tag brainstorming is distinct,Good: three options but no custom FAQs,Good SEO utility but traffic expectation risk remains,Conditional with no-traffic guarantee language,Medium-high: keyword stuffing and traffic claims,Low direct YMYL risk,Low,High Pinterest dependency,Low,Low,"Close but not ready; needs platform and traffic-limit hardening first.","Add FAQs for truthful pin/board relevance; no traffic ranking search-volume or visibility guarantees; no Pinterest affiliation."
Needs hardening first,soundcloud-tag-generator,SoundCloud Tag Generator,High: music genre/mood tagging is distinct,Moderate: one option and no custom FAQs,Moderate: niche but useful,Conditional with genre truthfulness framing,Medium: misleading genre tags and play-growth expectations,Low direct YMYL risk,Low,High SoundCloud dependency,Low,Low,"Not ready; needs explicit no-play-growth and truthful-genre copy.","Add custom FAQs; require accurate genre mood and context; no plays discovery ranking or trend guarantees; no platform affiliation."
