slug,tool_name,category,index_status,human_tone_score,natural_or_template_like,repetitive_phrasing_risk,robotic_ai_like_wording_risk,recommended_rewrite_if_needed,intent_match_score,exact_user_intent_solved,options_output_aligned_with_keyword,missing_user_expectations,semantic_coverage_score,primary_keyword_natural_usage,secondary_intent_coverage,related_terms_entities_use_cases,over_optimization_risk,thin_content_risk,topical_authority_score,category_cluster_fit,related_tools_quality,internal_linking_usefulness,missing_supporting_pages_blog_category_content,usefulness_score,intro_clarity,options_clarity,output_usefulness,copy_button_usefulness,explanation_disclaimer_quality,mobile_readability_concern,overall_content_score,helpful_content_risk,scaled_content_risk,doorway_thin_content_risk,duplicate_template_risk,unsafe_claim_risk,adsense_adx_risk,main_issue,recommended_fix,priority
fancy-text-generator,Fancy Text Generator,Font & Text Style Generators,index,9.3,natural enough for utility page,low,low,none,10,yes,yes,none,9.5,strong,strong,strong,low,low,8.9,strong,strong,strong,category hub could use subcategory sections and editorial guidance,8.9,strong,minimal,intent-specific and copyable,strong shared copy controls,not required,low from code structure,9.3,low,low,low,low,low,low,No material helpful-content issue found.,No rewrite needed before launch.,none
name-generator,Name Generator,Name Generators,index,7.3,somewhat template-like,medium,medium,"Add specific examples, user scenarios, and less formulaic FAQ language.",10,yes,yes,Template-like phrasing or thin FAQ pattern makes the page feel less human.,8.7,review,strong,strong,medium,low,8.9,strong,strong,strong,minor supporting content opportunity only,9.7,strong,clear,intent-specific and copyable,strong shared copy controls,not required,low from code structure,8.9,medium,low,low,medium,low,low,Template-like phrasing or thin FAQ pattern makes the page feel less human.,Rewrite intro/FAQ in more concrete user language with examples and output-specific detail.,medium
username-generator,Username Generator,Name Generators,index,7.6,natural enough for utility page,low,low,none,10,yes,yes,FAQ support is thin.,9.2,strong,strong,strong,low,minor,8.9,strong,strong,strong,minor supporting content opportunity only,9,adequate,clear,intent-specific and copyable,strong shared copy controls,not required,low from code structure,8.9,medium,low,low,low,low,low,FAQ support is thin.,"Add intent-specific FAQs covering usage, limitations, and best-fit outputs.",medium
business-name-generator,Business Name Generator,Business & Brand Generators,index,9,natural enough for utility page,low,low,none,8.8,yes,partial,Options are minimal for the expected intent.,9.2,strong,strong,strong,low,low,8.9,strong,strong,strong,category hub could use subcategory sections and editorial guidance,8.9,strong,minimal,intent-specific and copyable,strong shared copy controls,not required,low from code structure,9,low,low,low,low,low,low,Options are minimal for the expected intent.,Add or clarify format/style/depth controls that match the keyword.,none
youtube-tag-generator,YouTube Tag Generator,Social Media & Tag Generators,noindex,7.5,natural enough for utility page,low,low,none,10,yes,yes,FAQ support is thin.,9.2,strong,strong,strong,low,minor,8.6,strong,strong,strong,minor supporting content opportunity only,9.4,strong,clear,intent-specific and copyable,strong shared copy controls,not required,low from code structure,8.9,medium,low,low,low,low,low,FAQ support is thin.,"Add intent-specific FAQs covering usage, limitations, and best-fit outputs.",medium
instagram-bio-generator,Instagram Bio Generator,Bio & Caption Generators,noindex,7.6,natural enough for utility page,low,low,none,10,yes,yes,FAQ support is thin.,8.9,strong,strong,strong,low,minor,8.6,strong,strong,strong,minor supporting content opportunity only,9.4,strong,clear,intent-specific and copyable,strong shared copy controls,not required,low from code structure,8.9,medium,low,low,low,low,low,FAQ support is thin.,"Add intent-specific FAQs covering usage, limitations, and best-fit outputs.",medium
meta-tag-generator,Meta Tag Generator,SEO & Marketing Generators,index,7.6,natural enough for utility page,low,low,none,10,yes,yes,FAQ support is thin.,9.2,strong,strong,strong,low,minor,8.6,strong,strong,strong,minor supporting content opportunity only,9,adequate,clear,intent-specific and copyable,strong shared copy controls,not required,low from code structure,8.9,low,low,low,low,low,low,FAQ support is thin.,"Add intent-specific FAQs covering usage, limitations, and best-fit outputs.",low
bold-text-generator,Bold Text Generator,Font & Text Style Generators,index,7.9,natural enough for utility page,low,low,none,10,yes,yes,FAQ support is thin.,8.2,strong,strong,strong,low,medium,8.6,strong,strong,strong,category hub could use subcategory sections and editorial guidance,8.2,adequate,minimal,intent-specific and copyable,strong shared copy controls,not required,low from code structure,8.6,medium,low,medium,low,low,low,FAQ support is thin.,"Add intent-specific FAQs covering usage, limitations, and best-fit outputs.",medium
cursive-text-generator,Cursive Text Generator,Font & Text Style Generators,index,7.5,natural enough for utility page,low,low,none,10,yes,yes,FAQ support is thin.,8.2,strong,strong,strong,low,medium,8.6,strong,strong,strong,category hub could use subcategory sections and editorial guidance,8.2,adequate,minimal,intent-specific and copyable,strong shared copy controls,not required,low from code structure,8.5,medium,low,medium,low,low,low,FAQ support is thin.,"Add intent-specific FAQs covering usage, limitations, and best-fit outputs.",medium
glitch-text-generator,Glitch Text Generator,Font & Text Style Generators,index,7.8,natural enough for utility page,low,low,none,10,yes,yes,FAQ support is thin.,8.8,strong,strong,strong,low,medium,8.9,strong,strong,strong,category hub could use subcategory sections and editorial guidance,8.6,strong,minimal,intent-specific and copyable,strong shared copy controls,not required,low from code structure,8.8,medium,low,medium,low,low,low,FAQ support is thin.,"Add intent-specific FAQs covering usage, limitations, and best-fit outputs.",medium
