tool_name,slug,category,build_priority_score,reason_for_mvp,must_have_features,index_status
"Trademark Name Generator","trademark-name-generator","trademark name generator","90","Core utility, highly unique, strong value, zero brand risk.","Generator UI, copy/reset, responsive design","index"
"Newsletter Name Generator","newsletter-name-generator","newsletter name generator","90","Core utility, highly unique, strong value, zero brand risk.","Generator UI, copy/reset, responsive design","index"
"Cake Company Names Generator","cake-company-names-generator","cake company names generator","90","Core utility, highly unique, strong value, zero brand risk.","Generator UI, copy/reset, responsive design","index"
"Ai Generated Business Names","ai-generated-business-names","ai generated business names","90","Core utility, highly unique, strong value, zero brand risk.","Generator UI, copy/reset, responsive design","index"
"Price Tag Generator","price-tag-generator","price tag generator","90","Core utility, highly unique, strong value, zero brand risk.","Generator UI, copy/reset, responsive design","index"
"Product Tag Generator","product-tag-generator","product tag generator","90","Core utility, highly unique, strong value, zero brand risk.","Generator UI, copy/reset, responsive design","index"
"Barcode Tag Generator","barcode-tag-generator","barcode tag generator","90","Core utility, highly unique, strong value, zero brand risk.","Generator UI, copy/reset, responsive design","index"
"Clothing Tag Generator","clothing-tag-generator","clothing tag generator","90","Core utility, highly unique, strong value, zero brand risk.","Generator UI, copy/reset, responsive design","index"
"Temporary Tag Generator","temporary-tag-generator","temporary tag generator","90","Core utility, highly unique, strong value, zero brand risk.","Generator UI, copy/reset, responsive design","index"
"Ai Generated Metadata Tags","ai-generated-metadata-tags","ai generated metadata tags","90","Core utility, highly unique, strong value, zero brand risk.","Generator UI, copy/reset, responsive design","index"
"Event Tag Generator","event-tag-generator","event tag generator","90","Core utility, highly unique, strong value, zero brand risk.","Generator UI, copy/reset, responsive design","index"
"Minutes Of Meeting Generator","minutes-of-meeting-generator","minutes of meeting generator","90","Core utility, highly unique, strong value, zero brand risk.","Generator UI, copy/reset, responsive design","index"
"College Name Generator","college-name-generator","college name generator","85","Core utility, highly unique, strong value, zero brand risk.","Generator UI, copy/reset, responsive design","index"
"Sibling Name Generator","sibling-name-generator","sibling name generator","85","Core utility, highly unique, strong value, zero brand risk.","Generator UI, copy/reset, responsive design","index"
"Diner Name Generator","diner-name-generator","diner name generator","85","Core utility, highly unique, strong value, zero brand risk.","Generator UI, copy/reset, responsive design","index"
"Car Name Generator","car-name-generator","car name generator","85","Core utility, highly unique, strong value, zero brand risk.","Generator UI, copy/reset, responsive design","index"
"Continent Name Generator","continent-name-generator","continent name generator","85","Core utility, highly unique, strong value, zero brand risk.","Generator UI, copy/reset, responsive design","index"
"Cult Name Generator","cult-name-generator","cult name generator","85","Core utility, highly unique, strong value, zero brand risk.","Generator UI, copy/reset, responsive design","index"
"Species Name Generator","species-name-generator","species name generator","85","Core utility, highly unique, strong value, zero brand risk.","Generator UI, copy/reset, responsive design","index"
"Event Name Generator","event-name-generator","event name generator","85","Core utility, highly unique, strong value, zero brand risk.","Generator UI, copy/reset, responsive design","index"
"Flower Name Generator","flower-name-generator","flower name generator","85","Core utility, highly unique, strong value, zero brand risk.","Generator UI, copy/reset, responsive design","index"
"Goddess Name Generator","goddess-name-generator","goddess name generator | god and goddess name generator","85","Core utility, highly unique, strong value, zero brand risk.","Generator UI, copy/reset, responsive design","index"
"Science Fiction Name Generator","science-fiction-name-generator","science fiction name generator","85","Core utility, highly unique, strong value, zero brand risk.","Generator UI, copy/reset, responsive design","index"
"Newspaper Name Generator","newspaper-name-generator","newspaper name generator","85","Core utility, highly unique, strong value, zero brand risk.","Generator UI, copy/reset, responsive design","index"
"Theme Park Name Generator","theme-park-name-generator","theme park name generator","85","Core utility, highly unique, strong value, zero brand risk.","Generator UI, copy/reset, responsive design","index"
"Title Name Generator","title-name-generator","title name generator | book title name generator","85","Core utility, highly unique, strong value, zero brand risk.","Generator UI, copy/reset, responsive design","index"
"Amusement Park Name Generator","amusement-park-name-generator","amusement park name generator","85","Core utility, highly unique, strong value, zero brand risk.","Generator UI, copy/reset, responsive design","index"
"Military Operation Name Generator","military-operation-name-generator","military operation name generator","85","Core utility, highly unique, strong value, zero brand risk.","Generator UI, copy/reset, responsive design","index"
"Musician Name Generator","musician-name-generator","musician name generator","85","Core utility, highly unique, strong value, zero brand risk.","Generator UI, copy/reset, responsive design","index"
"Pick A Name Generator","pick-a-name-generator","pick a name generator","85","Core utility, highly unique, strong value, zero brand risk.","Generator UI, copy/reset, responsive design","index"
"Plant Name Generator","plant-name-generator","plant name generator","85","Core utility, highly unique, strong value, zero brand risk.","Generator UI, copy/reset, responsive design","index"
"Name Generator By Country","name-generator-by-country","name generator by country","85","Core utility, highly unique, strong value, zero brand risk.","Generator UI, copy/reset, responsive design","index"
"Name Generator For Superheroes","name-generator-for-superheroes","name generator for superheroes","85","Core utility, highly unique, strong value, zero brand risk.","Generator UI, copy/reset, responsive design","index"
"Superhero Team Name Generator","superhero-team-name-generator","superhero team name generator","85","Core utility, highly unique, strong value, zero brand risk.","Generator UI, copy/reset, responsive design","index"
"Name Generator Wheel","name-generator-wheel","name generator wheel","85","Core utility, highly unique, strong value, zero brand risk.","Generator UI, copy/reset, responsive design","index"
"Artificial Intelligence Name Generator","artificial-intelligence-name-generator","artificial intelligence name generator","85","Core utility, highly unique, strong value, zero brand risk.","Generator UI, copy/reset, responsive design","index"
"Political Party Name Generator","political-party-name-generator","political party name generator","85","Core utility, highly unique, strong value, zero brand risk.","Generator UI, copy/reset, responsive design","index"
"Name Font Generator","name-font-generator","name font generator","80","Core utility, highly unique, strong value, zero brand risk.","Generator UI, copy/reset, responsive design","index"
"Circle Generator","circle-generator","circle generator","80","Core utility, highly unique, strong value, zero brand risk.","Generator UI, copy/reset, responsive design","index"
