tool_name,slug,category,already_exists,duplicate_slug,duplicate_intent_risk,brand_or_policy_risk,implementation_complexity,recommended_action,reason
Fantasy Map Generator,fantasy-map-generator,fantasy map generator,no,no,medium,low,high,add,"Unique safe creative utility; overlaps worldbuilding tools loosely but needs canvas/SVG rendering and map-generation logic."
Skyrim Name Generator,skyrim-name-generator,skyrim name generator,no,no,medium,high,medium,hold,"Franchise-specific Elder Scrolls/Skyrim term creates brand risk; do not add as immediate standalone tool."
40k Name Generator,40k-name-generator,40k name generator | w40k name generator | warhammer 40k name generator,no,no,high,high,medium,hold,"Warhammer 40k is a protected franchise and overlaps Warhammer naming intent; hold rather than add."
Wow Name Generator,wow-name-generator,wow name generator,no,no,high,high,medium,hold,"World of Warcraft abbreviation creates brand/platform risk and overlaps fantasy character naming; hold."
Transformers Name Generator,transformers-name-generator,transformers name generator,no,no,medium,high,medium,hold,"Transformers is a protected franchise; hold instead of adding a standalone tool."
Elden Ring Name Generator,elden-ring-name-generator,elden ring name generator,no,no,medium,high,medium,hold,"Elden Ring is a protected franchise; hold rather than immediate add."
Naruto Name Generator,naruto-name-generator,naruto name generator,no,no,medium,high,medium,hold,"Naruto is a protected franchise; hold rather than adding a direct franchise page."
One Piece Name Generator,one-piece-name-generator,one piece name generator,no,no,medium,high,medium,hold,"One Piece is a protected franchise; hold rather than adding a direct franchise page."
Warhammer Name Generator,warhammer-name-generator,warhammer name generator,no,no,high,high,medium,hold,"Warhammer is a protected franchise and overlaps 40k naming intent; hold."
Dune Name Generator,dune-name-generator,dune name generator,no,no,medium,high,medium,hold,"Dune is a protected franchise; hold rather than adding a standalone branded generator."
Warcraft Name Generator,warcraft-name-generator,warcraft name generator | world of warcraft name generator,no,no,high,high,medium,hold,"Warcraft/World of Warcraft is a protected franchise and overlaps Wow Name Generator; hold."
Homestuck Troll Name Generator,homestuck-troll-name-generator,homestuck troll name generator,no,no,medium,high,medium,hold,"Homestuck is a protected franchise/fandom-specific property; hold direct branded page."
Stardew Valley Farm Name Generator,stardew-valley-farm-name-generator,stardew valley farm name generator,no,no,high,high,medium,hold,"Stardew Valley is a protected game brand and overlaps existing farm-name-generator intent; hold."
Wings Of Fire Name Generator,wings-of-fire-name-generator,wings of fire name generator,no,no,medium,high,medium,hold,"Wings of Fire is a protected book franchise; hold rather than adding branded generator."
Call Of Duty Name Generator,call-of-duty-name-generator,call of duty name generator,no,no,medium,high,medium,hold,"Call of Duty is a protected franchise/platform property; hold direct branded page."
Dark Souls Name Generator,dark-souls-name-generator,dark souls name generator,no,no,high,high,medium,hold,"Dark Souls is a protected franchise and overlaps existing dark-souls-text-generator theme; hold."
Mha Name Generator,mha-name-generator,mha name generator,no,no,high,high,medium,hold,"My Hero Academia abbreviation creates franchise risk and overlaps Mha Hero Name Generator; hold."
Pokemon Blue Missingno Name Generator,pokemon-blue-missingno-name-generator,pokemon blue missingno name generator,no,no,high,high,medium,hold,"Pokemon/MissingNo are protected franchise terms and overlap existing pokemon-name-generator; hold."
Demon Slayer Name Generator,demon-slayer-name-generator,demon slayer name generator,no,no,medium,high,medium,hold,"Demon Slayer is a protected franchise; hold direct branded page."
Acnh Island Name Generator,acnh-island-name-generator,acnh island name generator,no,no,high,high,medium,hold,"Animal Crossing/New Horizons abbreviation creates franchise risk and overlaps existing island-name-generator; hold."
Mha Hero Name Generator,mha-hero-name-generator,mha hero name generator,no,no,high,high,medium,hold,"My Hero Academia abbreviation creates franchise risk and overlaps Mha Name Generator; hold."
Roblox Generator,roblox-generator,roblox generator,no,no,high,high,medium,hold,"Roblox is a platform brand and the broad intent overlaps existing roblox-name-generator and roblox-username-generator; hold."
Minecraft Generator,minecraft-generator,minecraft generator,no,no,high,high,medium,hold,"Minecraft is a platform/franchise brand and overlaps existing minecraft-name-generator and minecraft-text-generator; hold."
Fortnite Generator,fortnite-generator,fortnite generator,no,no,high,high,medium,hold,"Fortnite is a platform/franchise brand and overlaps existing fortnite-name-generator; hold."
Hogwarts Legacy Name Generator,hogwarts-legacy-name-generator,hogwarts legacy name generator,no,no,high,high,medium,hold,"Hogwarts Legacy is a protected franchise title and overlaps existing harry-potter-name-generator; hold."
