section,item,recommendation,details
Route structure,English routes,Keep unchanged,"Keep existing English URLs exactly as /tools/{english-slug}/, /tools/{hub}/, /categories/{category}/, and /. Do not add /en/ unless separately approved."
Route structure,Localized tool routes,Use language prefix,"Generate localized tools as /{lang}/tools/{localized-slug}/ for hi es ru fr de it pt bn ja ko ms pl id ar bg tr sv."
Route structure,Localized homepage,Use /{lang}/,"Each language gets its own localized discovery homepage with local copy, localized hub links, and hreflang alternatives."
Route structure,Localized hubs,Use /{lang}/tools/{localized-hub-slug}/,"Create localized hub pages for safe high-value groups; map each hub with a stable internal hub ID and localized route."
Route structure,Localized categories,Use /{lang}/categories/{localized-category-slug}/ only if categories remain useful,"Prefer localized hubs for SEO landing pages; categories can be localized as navigation/discovery pages once hub mapping is stable."
Route structure,Removed redirected tools,Do not localize standalone,"The 20 redirected/merged English source URLs must not get localized standalone pages. If requested, redirect to the localized target if available or English target."
Route generation,Stable internal IDs,Required,"Every active tool keeps canonicalToolId equal to current English slug. Localized route data is keyed by canonicalToolId, not by translated slug."
Route generation,Localized slugs,Per-language route map,"Store localizedSlug by lang and canonicalToolId. Generate pages only when localizationStatus is ready and route is unique for that language."
Route generation,Fallback routes,Do not generate fallback pages,"If a tool is not localized, language switch can fall back to English same-tool URL. Do not generate thin machine-fallback localized pages."
Slug strategy,Latin scripts,Use localized roman-script keyword slugs,"For es fr de it pt ms pl id tr sv, use local keyword phrase in the native Latin spelling, ASCII-normalized where practical for accents, lowercase, hyphenated."
Slug strategy,Cyrillic scripts,Prefer romanized slugs for technical stability,"For ru bg, store native keyword and optional Unicode slug, but recommend romanized SEO-safe slugs to reduce sharing/encoding issues."
Slug strategy,Indic scripts,Prefer romanized high-intent slugs initially,"For hi bn, store native keyword and native-script display title, but recommend romanized slugs for stable URLs unless local SEO research proves Unicode slug value is higher."
Slug strategy,East Asian scripts,Prefer romanized or English-hybrid slugs initially,"For ja ko, native keyword belongs in H1/title/meta; use romanized or English-hybrid slugs because Unicode paths are less readable when percent-encoded."
Slug strategy,Arabic,Prefer romanized Arabic keyword slugs initially,"For ar, store Arabic keyword and RTL content, but use romanized slugs to avoid percent-encoding/shareability problems."
Slug strategy,Collision handling,Append intent qualifier,"If localized slugs collide within a language, add a local qualifier that preserves intent, such as text, seo, business, random, or online. Never append arbitrary numbers for indexable pages."
Keyword strategy,Candidate discovery,Use local SERP and keyword data,"For each canonicalToolId and language, collect local candidates from Google autocomplete, SERP titles, People Also Ask, Search Console if available, keyword tools, and competitor page language."
Keyword strategy,Intent validation,Match tool intent before volume,"Reject keywords that imply a different output, risky use case, legal promise, impersonation, brand/IP target, or unavailable feature even if volume is higher."
Keyword strategy,Keyword selection,Highest intent first,"Choose the local phrase with the strongest same-intent demand; prefer high commercial or task intent over literal translation."
Keyword strategy,Slug generation,Keyword-derived but safe,"Generate slug from selected keyword, remove filler words when natural, transliterate where strategy recommends, normalize to lowercase hyphen-separated route segment."
Keyword strategy,Metadata alignment,Keep one primary local phrase,"Align localized H1, title, meta title, intro first sentence, and internal anchors around the chosen local keyword without stuffing."
Keyword strategy,Keyword QA,Human or native review,"Require native-language review for top languages before indexable launch; LLM translation alone is not enough for final keyword choice."
Content model,localizedTitle,Required,"Human-readable local page title, not necessarily identical to keyword."
Content model,localizedH1,Required,"H1 includes strongest local same-intent keyword."
Content model,localizedMetaTitle,Required,"SERP title localized for click intent, length-controlled per language."
Content model,localizedMetaDescription,Required,"Localized benefit and safe-use note, length-controlled and not a literal English translation."
Content model,localizedIntro,Required,"Helpful intro explaining what the tool does, who it is for, and when to review output."
Content model,localizedTagline,Required,"Short local summary for cards and internal links."
Content model,localizedFAQ,Required for indexable pages,"3 to 5 localized FAQs with local phrasing and no generic boilerplate."
Content model,localizedGuide,Required for priority tools,"Below-tool guide covering use cases, tips, review steps, and limitations."
Content model,localizedUiLabels,Required,"Translate labels, buttons, options, placeholders, validation text, copy buttons, and mode names."
Content model,localizedSafeUseNotes,Required,"Mirror English safety posture and adapt examples for local context."
Content model,localizedRelatedLabels,Required,"Related links use localized titles and localized URLs when available."
Content model,localizedHubCopy,Required,"Hub intro, group headings, descriptions, FAQs, and related hub links localized by intent."
Technical SEO,Canonical strategy,Self-canonical per localized URL,"Every localized page canonicalizes to its own https://taptogen.com/{lang}/... URL. Real localized pages must not canonicalize to English."
