check,actual,expected,status,notes
"es_pages_generated","40","40","pass",""
"fr_pages_generated","40","40","pass",""
"de_pages_generated","40","40","pass",""
"localized_pages_total","120","120","pass",""
"duplicate_localized_slugs_es","0","0","pass",""
"duplicate_localized_slugs_fr","0","0","pass",""
"duplicate_localized_slugs_de","0","0","pass",""
"sitemap_localized_urls","120","120","pass",""
"html_lang_failures_fr_de","0","0","pass",""
"localized_index_follow_failures_fr_de","0","0","pass",""
"canonical_self_reference_failures_fr_de","0","0","pass",""
"hreflang_en_es_fr_de_x_default_failures_fr_de","0","0","pass",""
"language_switch_same_tool_failures_fr_de","0","0","pass",""
"keyword_intent_presence_failures_fr_de","0","0","pass",""
"adsense_seo_risky_claim_flags_fr_de","0","0","pass","manual review found cautionary non-promise language only"
"english_self_canonical_failures_pilot","0","0","pass",""
"localized_noindex_tools","0","0","pass",""
"localized_redirect_source_tools","0","0","pass",""
"broken_internal_links_localized","0","0","pass",""
"hardcoded_vercel_or_localhost","0","0","pass",""
"active_tools","430","430","pass",""
"english_noindex_tools","51","51","pass","excludes redirected source tiktok-username-generator; source set contains 52 total"
"redirects","20","20","pass",""
"validation_tsc_no_emit","pass","pass","pass","npx.cmd tsc --noEmit"
"validation_astro_check","pass","pass","pass","0 errors, 0 warnings, 2 existing hints in src/data/tool-page-data.ts"
"validation_build","pass","pass","pass","579 pages built; Vite chunk-size warning; postbuild added 20 redirects"
"manual_fr_quality_gate","pass","pass","pass","fixed accent/transliteration leftovers, FAQ wording, and visible control labels found during recheck"
"manual_de_quality_gate","pass","pass","pass","fixed umlaut/transliteration leftovers, FAQ wording, and visible control labels found during recheck"
