slug,tool_name,current_output_problem,exact_intent_specific_features_to_add,maximum_relevant_options,expected_output_structure,per_result_actions,competitor_beating_features,safety_notes,validation_notes
name-generator-wheel,Name Generator Wheel,"Generic name output does not yet feel like a usable wheel picker; it needs visible entries, selection flow, and a result state.","Add an option-aware wheel experience with parsed entries, shuffle order, highlighted selected name, short celebration/result block, excluded/retry list guidance, and copy/share-ready winner text.","Entry source; number of entries; selection mode; remove winner yes/no; animation speed; theme; result tone.","Visual wheel/segment list, current spin result, alternate picks, copyable winner announcement, optional remaining entries list, fairness note.","Copy selected name; copy full winner announcement; copy remaining entries; reshuffle/spin again.","Feels like a decision tool rather than a plain list, supports repeat picking without duplicate winners, includes transparent fair-selection language.","Do not imply certified randomness or prize legality; keep usage framed for casual classroom/team/event picking.","Verify slug exists; verify wheel/list renders on mobile without overflow; validate copy buttons and no homepage fallback."
pick-a-name-generator,Pick A Name Generator,"Current output risks being a simple random name list rather than a focused picker with clear winner, alternates, and input cleanup.","Parse pasted names, remove empty duplicates when requested, select a winner, show runner-up alternates, add context-aware announcement copy, and provide a compact picker summary.","Entry list; number of winners; allow duplicates; picker context; tone; include alternates.","Winner result card, runner-up cards, cleaned entry count, fairness note, copyable announcement, optional CSV-style result summary.","Copy winner; copy announcement; copy full result; reroll selection.","Handles messy pasted entry lists better than basic pickers and provides announcement-ready copy for meetings, classrooms, and events.","Avoid gambling, sweepstakes, or legal fairness claims; say users should follow their own event rules.","Verify duplicate handling; verify long names wrap; ensure multiple-winner output stays readable."
raffle-generator,Raffle Generator,"Raffle output can be too close to generic random picking and may accidentally suggest gambling-style framing.","Create fair random selection for non-gambling giveaways with entrant cleanup, winner and backup winners, draw log summary, announcement copy, and rule reminder.","Entrant list; number of winners; backup count; remove duplicates; draw purpose; announcement tone.","Draw summary, winner list, backup list, entrant count, copyable announcement, simple draw log, fairness/reminder note.","Copy winner list; copy public announcement; copy draw log; copy remaining entrant list.","More operational than competitors by including backup winners, entrant cleanup, and a transparent draw summary.","No gambling framing, no lottery/sweepstakes legal claims, no guarantee of compliance; use for casual or policy-governed draws only.","Verify winner count cannot exceed cleaned entrants; validate no fake certification wording; check mobile wrapping for long entrant names."
random-number-generator,Random Number Generator,"Already functional but can become more useful with batches, labels, constraints, and copyable results instead of a bare number.","Add batch generation, min/max awareness, unique/repeat controls, sorted/unsorted views, labeled use cases, result stats, and copyable CSV/plain formats.","Minimum; maximum; quantity; unique values; sort order; number format; purpose label.","Primary result numbers, compact stats, copyable list, CSV line, usage note, seed/fairness note if applicable.","Copy single result; copy all numbers; copy CSV; regenerate.","Beats simple generators by producing practical batch formats and readable stats for classroom, testing, and planning workflows.","Do not claim cryptographic security, gambling suitability, or certified randomness.","Verify range edge cases; ensure long number lists scroll/wrap; no overflow in result cards."
random-word-generator,Random Word Generator,"Current random word output likely lacks categories, tone, and enough variants for brainstorming or writing workflows.","Generate multiple word variants grouped by category/tone, include definitions or usage hints where safe, prompt ideas, and copyable word banks.","Category; tone; count; word length; difficulty; include usage ideas.","Featured words, category groups, usage prompts, copyable word bank, short phrase pairings.","Copy word; copy category group; copy full word bank; regenerate.","More useful for writers and teachers through categorized banks, prompts, and tone-aware variants.","Avoid offensive/adult terms; avoid claiming dictionary completeness; keep classroom-safe defaults.","Verify requested count respected; check chip wrapping and long-word overflow."
sentence-generator,Sentence Generator,"Replacement for missing random-sentence-generator; current sentence output may be generic and not structured for writing practice.","Add random sentence variants with category, tone, length, grammar pattern, writing prompt tie-ins, and copyable grouped outputs.","Sentence type; tone; length; count; complexity; topic.","Featured sentence, variant list, grammar pattern labels, rewrite prompts, copyable sentence bank.","Copy sentence; copy all variants; copy prompt set; regenerate.","Covers the missing random sentence intent while staying tied to an existing slug; supports education and writing practice.","Avoid generating harmful, explicit, or defamatory sentence content; keep examples broadly safe.","Report replacement; verify slug exists; check long sentence wrapping and mobile spacing."
quiz-generator,Quiz Question Generator,"Current quiz output needs more educational structure than isolated questions.","Generate structured quizzes with question type, difficulty, answer key, explanations, learning objective, and scoring guidance.","Topic; grade level; question count; difficulty; question type; include answer key; include explanations.","Quiz overview, numbered questions, answer choices or expected answers, answer key, explanations, scoring notes.","Copy individual question; copy answer key; copy full quiz; export plain text.","Better than generic quiz tools by pairing questions with objectives, explanations, and classroom-ready scoring.","Avoid medical/legal/financial testing advice; avoid claiming curriculum alignment unless user provides standards.","Verify answer key matches generated questions; check result cards and long explanations for overflow."
flashcard-generator,Flashcard Generator,"Flashcards need front/back consistency, categories, review hints, and spaced repetition cues to feel premium.","Create structured flashcard decks with front prompts, back answers, hint, memory hook, tag/category, and review schedule suggestions.","Topic; grade level; card count; difficulty; card style; include hints; include review schedule.","Deck summary, flashcard cards, hints/hooks, category tags, review checkpoints, copyable deck format.","Copy card; copy deck; copy CSV-style deck; copy review plan.","Competitor-beating deck usability with memory hooks, tags, and import-friendly formats.","Avoid claiming guaranteed learning outcomes; sensitive topics should stay educational and age-appropriate.","Verify front/back mapping; check tag wrapping and mobile card layout."
lesson-plan-generator,Lesson Plan Generator,"Lesson plans can be too generic without objectives, timing, materials, activities, assessment, and differentiation.","Generate teacher-ready lesson plans with objectives, standards placeholder-free wording, timed agenda, materials, activities, checks for understanding, assessment, and extension.","Subject; grade level; duration; learning style; difficulty; assessment type; group size.","Lesson snapshot, objectives, materials, timed agenda, guided practice, independent task, assessment, differentiation, homework/extension.","Copy full lesson; copy agenda; copy objectives; copy materials list.","More complete than basic lesson generators by including timing, checks, differentiation, and realistic classroom flow.","Do not claim official standards alignment unless provided; avoid unsafe lab/activity instructions; age-appropriate language.","Verify no bracket placeholders; ensure tables/lists wrap; validate print/readability on mobile."
study-plan-generator,Study Plan Generator,"Study plans need schedules, review checkpoints, task sequencing, and progress structure beyond a generic list.","Generate personalized study schedules with goals, daily tasks, review checkpoints, practice blocks, catch-up buffer, and progress tracking.","Subject; timeframe; daily time; intensity; goal type; weak areas; include review days.","Plan overview, weekly/daily schedule, task blocks, review checkpoints, practice tests, progress checklist, adjustment tips.","Copy day plan; copy full schedule; copy checklist; copy review reminders.","Stronger than basic planners by including spaced review, buffers, and practical progress checkpoints.","Avoid guarantees of grades or outcomes; recommend breaks and realistic pacing.","Verify schedules fit selected timeframe; check long task rows and mobile spacing."
