Name,Slug,Category,Popular,Status,Score,Routing,Configured Options,Missing Options,Notes
"Fancy Text Generator","fancy-text-generator","Font & Text Style Generators",true,"🟢 Production Ready",10,"Switch Case","fancy-filter;fancy-decor","","Production ready. Options fully wired, verified, and quality checks passed."
"Name Generator","name-generator","Name Generators",true,"🟢 Production Ready",9,"Switch Case","name-type;name-style","",""
"Username Generator","username-generator","Name Generators",true,"🟢 Production Ready",10,"Switch Case","username-platform;username-style","","Production ready. Platform and style options are wired to generate customized username categories."
"YouTube Tag Generator","youtube-tag-generator","Social Media & Tag Generators",true,"🟢 Production Ready",10,"Switch Case","tag-content-type;tag-strategy;yt-audience;yt-metadata-focus;tag-count","","Production ready. Video format, tag strategy, audience, metadata focus, and tag count are fully implemented."
"Instagram Bio Generator","instagram-bio-generator","Bio & Caption Generators",true,"🟢 Production Ready",9,"Switch Case","ig-account-type;emoji-level","",""
"Meta Tag Generator","meta-tag-generator","SEO & Marketing Generators",true,"🟢 Production Ready",9,"Switch Case","meta-page-type;meta-robots;meta-card-type;meta-include-canonical","",""
"Bold Text Generator","bold-text-generator","Font & Text Style Generators",false,"🟢 Production Ready",10,"Switch Case","bold-filter;bold-decor","","Production ready. All bold filter styles and decorations are fully supported."
"Cursive Text Generator","cursive-text-generator","Font & Text Style Generators",false,"🟢 Production Ready",9,"Switch Case","","",""
"Glitch Text Generator","glitch-text-generator","Font & Text Style Generators",false,"🟢 Production Ready",9,"Switch Case","","",""
"Password Generator","password-generator","Utility Generators",true,"🟢 Production Ready",9,"Switch Case","password-length;password-mode;pw-uppercase;pw-lowercase;pw-numbers;pw-symbols","",""
"Lorem Ipsum Generator","lorem-ipsum-generator","Utility Generators",false,"🟢 Production Ready",9,"Switch Case","lorem-mode;lorem-count;lorem-start;lorem-format","",""
"Fantasy Name Generator","fantasy-name-generator","Gaming & Fantasy Generators",true,"🟢 Production Ready",9,"Pass19 Name Configs","pass19-style;pass19-tone;pass19-count","",""
"Text Case Converter","text-case-converter","Utility Generators",false,"🟢 Production Ready",10,"Switch Case","case-preserve-lines;case-focus","","Production ready. Preserving line breaks option and developer/simple case filtering option are fully wired."
"Team Name Generator","team-name-generator","Name Generators",false,"🟢 Production Ready",9,"Pass19 Name Configs","pass19-style;pass19-tone;pass19-count","",""
"Robots.txt Generator","robots-txt-generator","SEO & Marketing Generators",false,"🟢 Production Ready",9,"Switch Case","robots-mode;robots-include-sitemap;robots-crawl-delay;robots-block-ai;robots-block-seo","",""
"Word Counter","word-counter","Utility Generators",false,"🟢 Production Ready",10,"Switch Case","reading-wpm;speaking-wpm;word-include-density","","Production ready. Reading speed, speaking speed, and keyword density calculations are fully supported."
"UUID Generator","uuid-generator","Developer & Web Generators",false,"🟢 Production Ready",9,"Switch Case","uuid-version;uuid-count;uuid-case;uuid-hyphens","",""
