"audit_area","result","details"
"overall_status","PASS","Strict Spanish localization quality and SEO recheck passed for all 40 Spanish pilot pages under /es/tools/{localized-slug}/."
"source_changes_made","pass","Clear quality issues were found and fixed: Spanish breadcrumb wording, localized category badges, Spanish nav/footer labels, Spanish hub copy, Spanish form option labels, and accent/grammar polishing for generated Spanish copy."
"spanish_wording_quality","pass","Spanish visible copy now uses natural localized wording for H1, intro, FAQs, below-tool guides, safety notes, buttons, nav/footer labels, category badges, and pilot tool controls."
"keyword_intent_alignment","pass","The selected Spanish keywords and slugs keep the same tool intent as the English tools; no misleading, brand-risky, or off-intent localized keyword targets were found."
"meta_quality","pass","All Spanish meta titles and descriptions are unique, useful, and not keyword-stuffed; duplicate Spanish titles: 0; duplicate Spanish descriptions: 0."
"faq_and_guide_quality","pass","FAQ questions and answers are localized Spanish, practical, and specific enough for the pilot; below-tool guide sections provide real usage tips and review guidance rather than repeated filler."
"adsense_safety","pass","No adult, hateful, violent, deceptive, fake identity, fake document, credential/security, harassment, or spam framing found in the 40 Spanish pilot pages."
"unsupported_promises","pass","No positive promises around rankings, traffic, sales, followers, approvals, legal results, financial results, accuracy, or platform performance found; safety wording is framed as review/caution where relevant."
"spanish_pages_generated","pass","Exactly 40 Spanish localized pages generated in dist/es/tools."
"index_follow","pass","All 40 Spanish pilot pages render index/follow robots directives."
"canonicals","pass","All 40 Spanish pages self-canonicalize to their Spanish URLs; all 40 English source pages keep English self-canonicals."
"hreflang","pass","All 40 pilot pairs include correct en, es, and x-default hreflang alternates; x-default points to the English same-tool URL."
"language_switch","pass","English pages switch to the Spanish same-tool route; Spanish pages switch back to the English same-tool route; missing localization fallback remains same-tool English."
"sitemap","pass","Generated sitemap includes exactly 40 Spanish localized pilot URLs and no missing Spanish pilot URLs."
"duplicate_slugs","pass","Duplicate Spanish localized slugs: 0."
"noindex_and_redirect_exclusion","pass","Localized active noindex tools: 0; localized redirect-source tools: 0."
"hardcoded_hosts","pass","No hardcoded taptogen.vercel.app or localhost references found in scanned source, theme, public, scripts, or built Spanish tool pages."
"internal_links","pass","Built HTML internal-link crawl found 0 broken internal links."
"final_counts","pass","Active tools: 430; active English noindex tools: 51; active English indexable tools: 379; redirects: 20; final built pages: 499."
"validation_tsc","pass","npx.cmd tsc --noEmit completed with exit code 0."
"validation_astro_check","pass","npx.cmd astro check completed with exit code 0, 0 errors, 0 warnings, and 2 existing hints for unused pass28 controls in src/data/tool-page-data.ts."
"validation_build","pass","npm.cmd run build completed with exit code 0; Vite reported the existing large chunk warning; postbuild added 20 tool merge 301 redirects."
"commit_status","not_run","No commit was made."
