slug,tool_name,category,index_priority,has_intent_specific_logic,output_quality,ui_quality,upgrade_priority,reason,recommended_next_action,classification
fancy-text-generator,Fancy Text Generator,Font & Text Style Generators,high,yes,premium,premium,none,Completed in intent-specific premium logic Pass 1-13; keep as baseline unless QA finds regressions.,No Pass 14 work; keep in regression QA set.,premium_done
name-generator,Name Generator,Name Generators,noindex,yes,premium,premium,none,Completed in intent-specific premium logic Pass 1-13; keep as baseline unless QA finds regressions.,No Pass 14 work; keep in regression QA set.,premium_done
username-generator,Username Generator,Name Generators,noindex,yes,premium,premium,none,Completed in intent-specific premium logic Pass 1-13; keep as baseline unless QA finds regressions.,No Pass 14 work; keep in regression QA set.,premium_done
business-name-generator,Business Name Generator,Business & Brand Generators,low,yes,premium,premium,none,Completed in intent-specific premium logic Pass 1-13; keep as baseline unless QA finds regressions.,No Pass 14 work; keep in regression QA set.,premium_done
youtube-tag-generator,YouTube Tag Generator,Social Media & Tag Generators,low,yes,premium,premium,none,Completed in intent-specific premium logic Pass 1-13; keep as baseline unless QA finds regressions.,No Pass 14 work; keep in regression QA set.,premium_done
instagram-bio-generator,Instagram Bio Generator,Bio & Caption Generators,low,yes,premium,premium,none,Completed in intent-specific premium logic Pass 1-13; keep as baseline unless QA finds regressions.,No Pass 14 work; keep in regression QA set.,premium_done
meta-tag-generator,Meta Tag Generator,SEO & Marketing Generators,low,yes,premium,premium,none,Completed in intent-specific premium logic Pass 1-13; keep as baseline unless QA finds regressions.,No Pass 14 work; keep in regression QA set.,premium_done
bold-text-generator,Bold Text Generator,Font & Text Style Generators,low,yes,strong,good,none,Existing slug-specific logic is strong for current intent; monitor after higher-value gaps are closed.,Defer; revisit after urgent/high upgrade backlog.,good_enough
cursive-text-generator,Cursive Text Generator,Font & Text Style Generators,low,yes,premium,premium,none,Completed in intent-specific premium logic Pass 1-13; keep as baseline unless QA finds regressions.,No Pass 14 work; keep in regression QA set.,premium_done
glitch-text-generator,Glitch Text Generator,Font & Text Style Generators,low,yes,strong,good,none,Existing slug-specific logic is strong for current intent; monitor after higher-value gaps are closed.,Defer; revisit after urgent/high upgrade backlog.,good_enough
