slug,classification,reason,recommended_next_action,touch_priority
ao3-tag-generator,keep_noindex_risky,"Brand/platform/fandom-adjacent tag tool; risk of platform abuse, copyrighted-work metadata copying, and unofficial affiliation signals.","Do not touch until a broader brand/IP and platform policy pass defines safe boundaries.",do_not_touch
random-address-generator,keep_noindex_risky,"Fake identity/location data can enable deception, fraud, account abuse, or false records.","Do not index; only consider if converted to clearly fictional/sample address placeholders with strong abuse controls.",do_not_touch
fake-name-generator,keep_noindex_risky,"Fake identity tool can support impersonation, evasion, account abuse, or deceptive records.","Do not index; only consider if repositioned as fictional character/sample-data helper.",do_not_touch
pin-generator,already_hardened_but_hold,"Security-sensitive numeric secret generator; current framing treats outputs as samples, but credential-adjacent use remains high risk.","Hold noindex; keep as sample/demo utility only.",hold
midjourney-prompt-generator,safe_premium_upgrade_candidate,"AI image prompt helper can likely be upgraded with original-subject controls, rights/style guardrails, negative prompts, platform warnings, and no output guarantees.","Candidate for premium upgrade after image-prompt safety pattern review.",upgrade_candidate
stable-diffusion-prompt-generator,safe_premium_upgrade_candidate,"AI image prompt helper can likely be upgraded with model-neutral original prompt sections, rights/style guardrails, and safety warnings.","Candidate for premium upgrade after image-prompt safety pattern review.",upgrade_candidate
ransom-note-text-generator,keep_noindex_risky,"Threat-adjacent typography tool; even decorative framing can be misused for intimidation, coercion, or harassment.","Do not index; avoid expansion beyond safe fictional/prop framing.",do_not_touch
sith-name-generator,keep_noindex_risky,"Brand/IP-adjacent name tool with protected franchise signal and unofficial affiliation risk.","Do not touch until brand/IP strategy is settled.",do_not_touch
api-key-generator,already_hardened_but_hold,"Security-sensitive token-like output; hardened as sample/demo placeholders, but still credential-adjacent.","Hold noindex; avoid claims of production security suitability.",hold
license-key-generator,already_hardened_but_hold,"License-key-like output can be confused with entitlement or software activation material even when sample-labeled.","Hold noindex; keep sample/demo-only framing.",hold
recovery-code-generator,already_hardened_but_hold,"Account recovery-code-like output is security-sensitive and could be mistaken for real credentials.","Hold noindex; keep sample/demo-only framing.",hold
invoice-generator,keep_noindex_risky,"Official-record, debt, tax, and payment-adjacent document tool; misuse risk remains even after premium safeguards.","Keep noindex; do not index without much deeper accounting/legal/payment review.",do_not_touch
x-post-generator,needs_deeper_policy_review,"Platform posting helper; needs deeper platform-abuse, misinformation, harassment, spam, and affiliate/ads claim review before indexing.","Run dedicated social/posting policy review and premium-output audit.",policy_review
jwt-generator,already_hardened_but_hold,"Security/auth token-adjacent output; sample JWT structures can be confused with production auth material.","Hold noindex; avoid production auth or signing guarantees.",hold
receipt-generator,keep_noindex_risky,"Official proof-of-payment and tax/accounting-adjacent document tool; misuse risk remains even after premium safeguards.","Keep noindex; do not index without much deeper accounting/legal/payment review.",do_not_touch
star-wars-name-generator,keep_noindex_risky,"Brand/IP-adjacent name tool with protected franchise signal and unofficial affiliation risk.","Do not touch until brand/IP strategy is settled.",do_not_touch
roblox-name-generator,keep_noindex_risky,"Brand/platform/IP-adjacent name tool with username/platform affiliation and availability risks.","Do not touch until brand/IP and platform strategy is settled.",do_not_touch
harry-potter-name-generator,keep_noindex_risky,"Brand/IP-adjacent name tool with protected franchise signal and unofficial affiliation risk.","Do not touch until brand/IP strategy is settled.",do_not_touch
pokemon-name-generator,keep_noindex_risky,"Brand/IP-adjacent name tool with protected franchise signal and unofficial affiliation risk.","Do not touch until brand/IP strategy is settled.",do_not_touch
fortnite-name-generator,keep_noindex_risky,"Brand/platform/IP-adjacent name tool with username/platform affiliation and availability risks.","Do not touch until brand/IP and platform strategy is settled.",do_not_touch
minecraft-name-generator,keep_noindex_risky,"Brand/platform/IP-adjacent name tool with protected-game signal and unofficial affiliation risk.","Do not touch until brand/IP strategy is settled.",do_not_touch
valorant-name-generator,keep_noindex_risky,"Brand/platform/IP-adjacent name tool with protected-game signal and unofficial affiliation risk.","Do not touch until brand/IP strategy is settled.",do_not_touch
league-of-legends-name-generator,keep_noindex_risky,"Brand/platform/IP-adjacent name tool with protected-game signal and unofficial affiliation risk.","Do not touch until brand/IP strategy is settled.",do_not_touch
minecraft-text-generator,keep_noindex_risky,"Brand/IP-adjacent text style tool with protected-game signal and unofficial affiliation risk.","Do not touch until brand/IP strategy is settled.",do_not_touch
dark-souls-text-generator,keep_noindex_risky,"Brand/IP-adjacent text style tool with protected-game signal and unofficial affiliation risk.","Do not touch until brand/IP strategy is settled.",do_not_touch
star-wars-text-generator,keep_noindex_risky,"Brand/IP-adjacent text style tool with protected franchise signal and unofficial affiliation risk.","Do not touch until brand/IP strategy is settled.",do_not_touch
spongebob-text-generator,keep_noindex_risky,"Brand/IP-adjacent text style tool with protected character/franchise signal and unofficial affiliation risk.","Do not touch until brand/IP strategy is settled.",do_not_touch
undertale-text-generator,keep_noindex_risky,"Brand/IP-adjacent text style tool with protected-game signal and unofficial affiliation risk.","Do not touch until brand/IP strategy is settled.",do_not_touch
pokemon-text-generator,keep_noindex_risky,"Brand/IP-adjacent text style tool with protected franchise signal and unofficial affiliation risk.","Do not touch until brand/IP strategy is settled.",do_not_touch
roblox-username-generator,keep_noindex_risky,"Brand/platform/IP-adjacent username tool with availability, impersonation, and platform-rule risks.","Do not touch until brand/IP and platform strategy is settled.",do_not_touch
contract-generator,needs_deeper_policy_review,"High legal-template tool; risks include enforceability, legal correctness, jurisdiction fit, and professional-advice implications.","Needs legal-template premium review; keep noindex until expert-grade safeguards are in place.",policy_review
dalle-prompt-generator,safe_premium_upgrade_candidate,"AI image prompt helper can likely be upgraded with model-neutral wording, original-subject controls, rights/style guardrails, and no platform/output guarantees.","Candidate for premium upgrade after image-prompt safety pattern review.",upgrade_candidate
dmca-policy-generator,needs_deeper_policy_review,"Copyright/DMCA workflow tool; risks include valid takedown, safe harbor, counter-notice, filing, and jurisdiction-specific compliance implications.","Keep noindex; requires deeper copyright/legal process review.",policy_review
password-generator,already_hardened_but_hold,"Security-sensitive credential generator; even if browser-local, it needs sustained no-guarantee/security framing.","Hold noindex; avoid audited security or production suitability claims.",hold
instagram-hashtag-generator,needs_deeper_policy_review,"Platform tag tool; needs spam, reach/ranking, banned-tag, policy, and platform-affiliation review before any indexing decision.","Run dedicated social tag policy review; keep noindex for now.",policy_review
tiktok-hashtag-generator,needs_deeper_policy_review,"Platform tag tool; needs spam, trend abuse, reach/ranking, platform-rule, and monetization-claim review before indexing.","Run dedicated social tag policy review; keep noindex for now.",policy_review
shakespeare-insult-generator,safe_premium_upgrade_candidate,"Humor tool can likely be safely upgraded with consent, non-targeting, protected-class, and anti-harassment guardrails.","Candidate for premium humor-safety upgrade; noindex until reviewed.",upgrade_candidate
facebook-hashtag-generator,needs_deeper_policy_review,"Platform tag tool; needs spam, reach/ranking, platform-rule, and deceptive engagement review before indexing.","Run dedicated social tag policy review; keep noindex for now.",policy_review
comeback-generator,safe_premium_upgrade_candidate,"Humor/reply tool can likely be upgraded with consensual, de-escalating, non-harassing response controls.","Candidate for premium humor-safety upgrade; noindex until reviewed.",upgrade_candidate
privacy-policy-generator,needs_deeper_policy_review,"High privacy-law template; risks include GDPR/CCPA/CPRA/PIPEDA compliance, data rights, vendor, and jurisdiction implications.","Keep noindex; needs deeper privacy/legal review before any indexing decision.",policy_review
terms-generator,needs_deeper_policy_review,"High legal-template tool; risks include enforceability, consumer rights, subscription rules, jurisdiction fit, and legal correctness.","Keep noindex; needs deeper legal-template review before any indexing decision.",policy_review
roast-generator,safe_premium_upgrade_candidate,"Humor tool can likely be upgraded with consent, softness controls, anti-harassment guardrails, and safer fictional/social contexts.","Candidate for premium humor-safety upgrade; noindex until reviewed.",upgrade_candidate
tiktok-username-generator,needs_merge_or_canonical,"Platform username tool likely overlaps with username/tiktok name generators and carries availability, impersonation, and platform-rule risks.","Evaluate canonical merge into broader username or TikTok name flow before any upgrade/indexing work.",merge_review
nda-generator,needs_deeper_policy_review,"High legal-template tool; risks include enforceability, confidentiality obligations, remedies, jurisdiction fit, and professional-advice implications.","Keep noindex; needs legal-template premium review.",policy_review
service-agreement-generator,needs_deeper_policy_review,"High legal-template tool; risks include enforceability, scope obligations, payment terms, IP, termination, and jurisdiction fit.","Keep noindex; needs legal-template premium review.",policy_review
token-generator,already_hardened_but_hold,"Security-sensitive token-like output; hardened as browser-local/demo-safe but remains credential-adjacent.","Hold noindex; avoid production security guarantees.",hold
