"slug","name","category","indexable","overall_severity","issue_count","blocker_count","should_fix_count","nice_to_have_count","issue_codes","issue_details","tools_needing_premium_functionality_improvement","tools_needing_seo_content_improvement","should_reconsider_noindex","title_length","meta_description_length","faq_count","related_tool_count","has_tool_options","has_premium_controls","has_premium_guide_copy","unique_tool_intent","premium_tool_functionality","input_driven_output","non_generic_output","title_h1_meta","helpful_intro","useful_below_tool_content","specific_faqs","canonical","robots","related_links","duplicate_page_issue","risky_indexable","mojibake","unsafe_legacy_js","sitemap","ads_safe","layout_cls"
"dnd-character-generator","D&D Character Generator","gaming-generators","yes","should_fix","5","0","2","3","should_fix:seo_metadata_review|should_fix:generic_or_thin_faqs|nice_to_have:no_visible_specialized_options|nice_to_have:generic_initial_output_state|nice_to_have:intro_content_thin_or_keyword_light","seo_metadata_review: titleLength=50; metaDescriptionLength=98; h1Matches=false. || generic_or_thin_faqs: FAQ count=0; at least one FAQ appears generic or too broad. || no_visible_specialized_options: Indexable page has only generic input controls; consider specific modes/options. || generic_initial_output_state: Initial output state is generic; acceptable before user input, but page would benefit from a richer example or mode-specific preview. || intro_content_thin_or_keyword_light: Source description is short or not clearly aligned with the primary keyword.","no","yes","no","50","98","0","3","no","no","yes","pass","pass","review","review","review","review","pass","review","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass"
"dj-name-generator","DJ Name Generator","creative-generators","yes","should_fix","4","0","4","0","should_fix:near_duplicate_intent_cluster|should_fix:seo_metadata_review|should_fix:generic_or_thin_faqs|should_fix:weak_related_links","near_duplicate_intent_cluster: Shares normalized primary intent with: disc-jockey-names-generator|dj-name-generator. || seo_metadata_review: titleLength=40; metaDescriptionLength=67; h1Matches=true. || generic_or_thin_faqs: FAQ count=0; at least one FAQ appears generic or too broad. || weak_related_links: Only 0 related tool cards found.","no","yes","no","40","67","0","0","no","yes","yes","pass","pass","pass","pass","review","pass","pass","review","pass","pass","review","review","pass","pass","pass","pass","pass","pass"
"dungeon-generator","Dungeon Generator","gaming-generators","yes","should_fix","4","0","2","2","should_fix:seo_metadata_review|should_fix:generic_or_thin_faqs|nice_to_have:no_visible_specialized_options|nice_to_have:generic_initial_output_state","seo_metadata_review: titleLength=46; metaDescriptionLength=76; h1Matches=true. || generic_or_thin_faqs: FAQ count=0; at least one FAQ appears generic or too broad. || no_visible_specialized_options: Indexable page has only generic input controls; consider specific modes/options. || generic_initial_output_state: Initial output state is generic; acceptable before user input, but page would benefit from a richer example or mode-specific preview.","no","yes","no","46","76","0","3","no","no","yes","pass","pass","review","review","review","pass","pass","review","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass"
"gaming-name-generator","Gaming Name Generator","gaming-generators","yes","should_fix","4","0","2","2","should_fix:seo_metadata_review|should_fix:generic_or_thin_faqs|nice_to_have:no_visible_specialized_options|nice_to_have:generic_initial_output_state","seo_metadata_review: titleLength=49; metaDescriptionLength=74; h1Matches=true. || generic_or_thin_faqs: FAQ count=0; at least one FAQ appears generic or too broad. || no_visible_specialized_options: Indexable page has only generic input controls; consider specific modes/options. || generic_initial_output_state: Initial output state is generic; acceptable before user input, but page would benefit from a richer example or mode-specific preview.","no","yes","no","49","74","0","3","no","no","yes","pass","pass","review","review","review","pass","pass","review","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass"
"hashtag-generator","Hashtag Generator","social-media-tools","yes","should_fix","4","0","2","2","should_fix:seo_metadata_review|should_fix:generic_or_thin_faqs|nice_to_have:no_visible_specialized_options|nice_to_have:generic_initial_output_state","seo_metadata_review: titleLength=51; metaDescriptionLength=90; h1Matches=true. || generic_or_thin_faqs: FAQ count=1; at least one FAQ appears generic or too broad. || no_visible_specialized_options: Indexable page has only generic input controls; consider specific modes/options. || generic_initial_output_state: Initial output state is generic; acceptable before user input, but page would benefit from a richer example or mode-specific preview.","no","yes","no","51","90","1","2","no","no","yes","pass","pass","review","review","review","pass","pass","review","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass"
"keyword-generator","Keyword Generator","seo-generators","yes","should_fix","2","0","2","0","should_fix:seo_metadata_review|should_fix:generic_or_thin_faqs","seo_metadata_review: titleLength=37; metaDescriptionLength=80; h1Matches=true. || generic_or_thin_faqs: FAQ count=0; at least one FAQ appears generic or too broad.","no","yes","no","37","80","0","3","yes","yes","yes","pass","pass","pass","pass","review","pass","pass","review","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass"
"app-icon-generator","App Icon Generator","business-generators","yes","should_fix","3","0","3","0","should_fix:seo_metadata_review|should_fix:generic_or_thin_faqs|should_fix:weak_related_links","seo_metadata_review: titleLength=45; metaDescriptionLength=59; h1Matches=true. || generic_or_thin_faqs: FAQ count=0; at least one FAQ appears generic or too broad. || weak_related_links: Only 0 related tool cards found.","no","yes","no","45","59","0","0","yes","yes","yes","pass","pass","pass","pass","review","pass","pass","review","pass","pass","review","pass","pass","pass","pass","pass","pass","pass"
"banner-generator","Banner Generator","text-font-generators","yes","should_fix","3","0","3","0","should_fix:seo_metadata_review|should_fix:generic_or_thin_faqs|should_fix:weak_related_links","seo_metadata_review: titleLength=47; metaDescriptionLength=77; h1Matches=true. || generic_or_thin_faqs: FAQ count=0; at least one FAQ appears generic or too broad. || weak_related_links: Only 0 related tool cards found.","no","yes","no","47","77","0","0","yes","yes","yes","pass","pass","pass","pass","review","pass","pass","review","pass","pass","review","pass","pass","pass","pass","pass","pass","pass"
"barbarian-name-generator","Barbarian Name Generator","gaming-generators","yes","should_fix","3","0","3","0","should_fix:seo_metadata_review|should_fix:generic_or_thin_faqs|should_fix:weak_related_links","seo_metadata_review: titleLength=47; metaDescriptionLength=96; h1Matches=true. || generic_or_thin_faqs: FAQ count=0; at least one FAQ appears generic or too broad. || weak_related_links: Only 0 related tool cards found.","no","yes","no","47","96","0","0","no","yes","yes","pass","pass","pass","pass","review","pass","pass","review","pass","pass","review","pass","pass","pass","pass","pass","pass","pass"
"big-text-generator","Big Text Generator","text-font-generators","yes","should_fix","3","0","3","0","should_fix:seo_metadata_review|should_fix:generic_or_thin_faqs|should_fix:weak_related_links","seo_metadata_review: titleLength=44; metaDescriptionLength=68; h1Matches=true. || generic_or_thin_faqs: FAQ count=0; at least one FAQ appears generic or too broad. || weak_related_links: Only 0 related tool cards found.","no","yes","no","44","68","0","0","no","yes","yes","pass","pass","pass","pass","review","pass","pass","review","pass","pass","review","pass","pass","pass","pass","pass","pass","pass"
