"canonicalToolId","language","localizedPath","primaryKeyword","localizedSlug","h1","qualityStatus","qualityNotes","technicalStatus","technicalNotes"
"name-generator","hi","/hi/tools/naam-generator/","नाम जनरेटर","naam-generator","नाम जनरेटर","PASS","Keyword, ASCII slug, H1, FAQ topics, intent alignment, safety category, and localized UI support pass strict review; no noindex or redirected canonical tool included.","PASS","Built page exists, indexable robots directive, self-canonical, complete hreflang set across all pilot languages, x-default, English same-tool route, localized UI chrome, and no preview/local host markers."
"name-generator","bn","/bn/tools/nam-generator/","নাম জেনারেটর","nam-generator","নাম জেনারেটর","PASS","Keyword, ASCII slug, H1, FAQ topics, intent alignment, safety category, and localized UI support pass strict review; no noindex or redirected canonical tool included.","PASS","Built page exists, indexable robots directive, self-canonical, complete hreflang set across all pilot languages, x-default, English same-tool route, localized UI chrome, and no preview/local host markers."
"name-generator","ja","/ja/tools/namae-generator/","名前ジェネレーター","namae-generator","名前ジェネレーター","PASS","Keyword, ASCII slug, H1, FAQ topics, intent alignment, safety category, and localized UI support pass strict review; no noindex or redirected canonical tool included.","PASS","Built page exists, indexable robots directive, self-canonical, complete hreflang set across all pilot languages, x-default, English same-tool route, localized UI chrome, and no preview/local host markers."
"name-generator","ko","/ko/tools/ireum-saengseonggi/","이름 생성기","ireum-saengseonggi","이름 생성기","PASS","Keyword, ASCII slug, H1, FAQ topics, intent alignment, safety category, and localized UI support pass strict review; no noindex or redirected canonical tool included.","PASS","Built page exists, indexable robots directive, self-canonical, complete hreflang set across all pilot languages, x-default, English same-tool route, localized UI chrome, and no preview/local host markers."
"name-generator","ar","/ar/tools/muwallid-asma/","مولد أسماء","muwallid-asma","مولد أسماء","PASS","Keyword, ASCII slug, H1, FAQ topics, intent alignment, safety category, and localized UI support pass strict review; no noindex or redirected canonical tool included.","PASS","Built page exists, indexable robots directive, self-canonical, complete hreflang set across all pilot languages, x-default, English same-tool route, localized UI chrome, and no preview/local host markers."
"username-generator","hi","/hi/tools/username-generator-hi/","यूजरनेम जनरेटर","username-generator-hi","यूजरनेम जनरेटर","PASS","Keyword, ASCII slug, H1, FAQ topics, intent alignment, safety category, and localized UI support pass strict review; no noindex or redirected canonical tool included.","PASS","Built page exists, indexable robots directive, self-canonical, complete hreflang set across all pilot languages, x-default, English same-tool route, localized UI chrome, and no preview/local host markers."
"username-generator","bn","/bn/tools/username-generator-bn/","ইউজারনেম জেনারেটর","username-generator-bn","ইউজারনেম জেনারেটর","PASS","Keyword, ASCII slug, H1, FAQ topics, intent alignment, safety category, and localized UI support pass strict review; no noindex or redirected canonical tool included.","PASS","Built page exists, indexable robots directive, self-canonical, complete hreflang set across all pilot languages, x-default, English same-tool route, localized UI chrome, and no preview/local host markers."
"username-generator","ja","/ja/tools/yuzame-generator/","ユーザー名ジェネレーター","yuzame-generator","ユーザー名ジェネレーター","PASS","Keyword, ASCII slug, H1, FAQ topics, intent alignment, safety category, and localized UI support pass strict review; no noindex or redirected canonical tool included.","PASS","Built page exists, indexable robots directive, self-canonical, complete hreflang set across all pilot languages, x-default, English same-tool route, localized UI chrome, and no preview/local host markers."
"username-generator","ko","/ko/tools/sayongja-ireum-saengseonggi/","사용자 이름 생성기","sayongja-ireum-saengseonggi","사용자 이름 생성기","PASS","Keyword, ASCII slug, H1, FAQ topics, intent alignment, safety category, and localized UI support pass strict review; no noindex or redirected canonical tool included.","PASS","Built page exists, indexable robots directive, self-canonical, complete hreflang set across all pilot languages, x-default, English same-tool route, localized UI chrome, and no preview/local host markers."
"username-generator","ar","/ar/tools/muwallid-ism-mustakhdim/","مولد اسم مستخدم","muwallid-ism-mustakhdim","مولد اسم مستخدم","PASS","Keyword, ASCII slug, H1, FAQ topics, intent alignment, safety category, and localized UI support pass strict review; no noindex or redirected canonical tool included.","PASS","Built page exists, indexable robots directive, self-canonical, complete hreflang set across all pilot languages, x-default, English same-tool route, localized UI chrome, and no preview/local host markers."
