tool_name,slug,category,current_action,risk_level,complexity,reason_for_selection,must_have_features,index_status
Anagram Of Name Generator,anagram-of-name-generator,anagram of name generator,upgrade_existing,low,low,Existing low-risk wordplay utility with clear output and no sensitive or brand dependency.,"Real anagram/list parsing, result count control, readable name-based variants, copy/reset output.",index
Cyberpunk Name Generator,cyberpunk-name-generator,cyberpunk name generator,upgrade_existing,low,low,Existing fictional worldbuilding tool; safe if kept original and franchise-neutral.,"Fictional role presets, original aliases, faction/crew-safe worldbuilding notes, no franchise references.",index
Goth Name Generator,goth-name-generator,goth name generator,upgrade_existing,low,low,Existing aesthetic/name tool that can remain style-focused and non-sensitive.,"Safe aesthetic styles, profile/character modes, dark-romantic outputs without harmful or adult framing.",index
Project Name Generator Keywords,project-name-generator-keywords,project name generator keywords,upgrade_existing,low,low,Existing practical keyword utility with broad business/creative usefulness.,"Keyword parsing, style presets, project codename formats, practical shortlist output.",index
Scifi Name Generator,scifi-name-generator,scifi name generator,upgrade_existing,low,low,"Existing generic sci-fi worldbuilding tool with clear, franchise-neutral output.","Entity-type options for ships/species/planets/characters, original worldbuilding output.",index
Forest Name Generator,forest-name-generator,forest name generator,upgrade_existing,low,low,Existing fictional geography tool with clear output and broad writing/map use.,"Biome/style options, fictional map-ready names, short lore/location variants.",index
Mountain Name Generator,mountain-name-generator,mountain name generator,upgrade_existing,low,low,Existing fictional geography tool with clear output and broad writing/map use.,"Peak/range/volcano options, natural/fantasy styles, map-ready place names.",index
Team Name Generator Using Keywords,team-name-generator-using-keywords,team name generator using keywords,upgrade_existing,low,low,Existing practical naming utility with keyword-driven output and low policy risk.,"Keyword inclusion, tone presets, team/event/gaming variants, avoid trademarked references.",index
Disc Jockey Names Generator,disc-jockey-names-generator,disc jockey names generator,upgrade_existing,low,low,Existing performer-name tool; safe when original and not tied to real artists.,"Genre/style presets, original performer aliases, availability reminder, no real artist imitation.",index
Name Pronunciation Generator,name-pronunciation-generator,name pronunciation generator,upgrade_existing,low,low,Existing accessibility/professional utility with clear helpful output.,"Plain phonetic spelling, syllable breakdown, simple/professional formatting options.",index
