check,actual,expected,status,details
"active_tools","430","430","pass",""
"indexable_tools","379","379","pass",""
"noindex_tools","51","51","pass",""
"noindex_tools_in_sitemap","0","0","pass",""
"indexable_tools_in_sitemap","379","379","pass",""
"redirects_patched","20","20","pass",""
"duplicate_slugs","0","0","pass",""
"broken_relatedSlugs","0","0","pass",""
"removed_brand_ip_slugs_in_dist_astro_client_js","0","0","pass",""
"full_polish_blockers","0","0","pass",""
"full_polish_should_fix","0","0","pass",""
"full_polish_nice_to_have","0","0","pass",""
"full_polish_status","ready_for_deploy","ready_for_deploy","pass",""
