tool_name,slug,category,already_exists,duplicate_slug,duplicate_intent_risk,brand_or_policy_risk,implementation_complexity,recommended_action,reason
Thieves Guild Names Generator,thieves-guild-names-generator,thieves guild names generator,no,no,high,medium,low,merge_as_mode,"Overlaps guild/fantasy naming and uses a fictional crime-framed concept; safer as a fantasy guild style mode rather than standalone."
Fun Generator Name,fun-generator-name,fun generator name,no,no,high,low,low,hold,"Unclear phrasing and intent; likely a typo/anomaly rather than a distinct useful tool."
K Pop Group Name Generator,k-pop-group-name-generator,k pop group name generator,no,no,medium,medium,medium,hold,"K-pop is culture/industry-specific and can drift into real group/label imitation; needs human review before any page."
Name Picker Generator,name-picker-generator,name picker generator,no,no,high,low,low,merge_as_mode,"Duplicate intent with pick-a-name-generator, name-generator-wheel, and random choice tools."
Name Randomizer Generator,name-randomizer-generator,name randomizer generator,no,no,high,low,low,merge_as_mode,"Duplicate intent with pick-a-name-generator and name-generator-wheel."
Performer Names Generator,performer-names-generator,performer names generator,yes,no,low,low,medium,upgrade_existing,"Slug already exists; upgrade only if unresolved quality issues remain."
Cake Bakery Names Generator,cake-bakery-names-generator,cake bakery names generator,no,no,high,low,low,merge_as_mode,"Overlaps cake-company-names-generator and bakery-name-generator; best as a bakery/cake style mode."
Free Ambigram Generator Two Names,free-ambigram-generator-two-names,free ambigram generator two names,no,no,medium,low,high,hold,"Visual ambigram generation is high complexity and not supported by current text-only tool patterns."
Insta Namen Generator,insta-namen-generator,insta namen generator,no,no,medium,high,medium,hold,"Platform/brand-adjacent and unclear mixed-language intent; do not add without review."
Project Name Generator Using Keywords,project-name-generator-using-keywords,project name generator using keywords,no,no,high,low,low,merge_as_mode,"Duplicate intent with project-name-generator-keywords, already upgraded."
My Little Pony Name Generator,my-little-pony-name-generator,my little pony name generator,no,no,medium,high,medium,hold,"Franchise/IP-specific tool; should not be added."
Piraten Namen Generator,piraten-namen-generator,piraten namen generator,no,no,medium,medium,medium,hold,"Non-English pirate-name variant with unclear localization scope; likely duplicate of pirate-name-generator and needs review."
Last Name And First Name Generator,last-name-and-first-name-generator,last name and first name generator,yes,no,low,low,medium,upgrade_existing,"Slug already exists and was upgraded; only revisit for new unresolved issues."
Baby Name Generator With Last Name,baby-name-generator-with-last-name,baby name generator with last name,yes,no,low,low,medium,upgrade_existing,"Slug already exists and was upgraded; only revisit for new unresolved issues."
High Valyrian Last Name Generator,high-valyrian-last-name-generator,high valyrian last name generator,no,no,medium,high,medium,hold,"Franchise/language IP risk; should not be added."
Nickname Generator Based On Name,nickname-generator-based-on-name,nickname generator based on name,yes,no,low,low,medium,upgrade_existing,"Slug already exists and was upgraded; only revisit for new unresolved issues."
