"rank","slug","tool_name","category","index_priority","why_next","recommended_next_action"
"1","keyword-generator","Keyword Generator","SEO & Marketing Generators","low","Safe indexable SEO/content intent with clear structured output and copy actions.","Upgrade in Pass 14 with structured sections, per-result copy actions, concise safety notes, and lightweight browser-only logic."
"2","faq-generator","FAQ Generator","SEO & Marketing Generators","low","Safe indexable SEO/content intent with clear structured output and copy actions.","Upgrade in Pass 14 with structured sections, per-result copy actions, concise safety notes, and lightweight browser-only logic."
"3","tiktok-bio-generator","TikTok Bio Generator","Bio & Caption Generators","low","Creator/business profile intent with strong search value and lightweight structured output.","Upgrade in Pass 14 with structured sections, per-result copy actions, concise safety notes, and lightweight browser-only logic."
"4","linkedin-headline-generator","LinkedIn Headline Generator","Bio & Caption Generators","low","Creator/business profile intent with strong search value and lightweight structured output.","Upgrade in Pass 14 with structured sections, per-result copy actions, concise safety notes, and lightweight browser-only logic."
"5","linkedin-post-generator","LinkedIn Post Generator","Bio & Caption Generators","low","Creator/business profile intent with strong search value and lightweight structured output.","Upgrade in Pass 14 with structured sections, per-result copy actions, concise safety notes, and lightweight browser-only logic."
"6","linkedin-summary-generator","LinkedIn Summary Generator","Bio & Caption Generators","low","Creator/business profile intent with strong search value and lightweight structured output.","Upgrade in Pass 14 with structured sections, per-result copy actions, concise safety notes, and lightweight browser-only logic."
"7","x-post-generator","X/Twitter Post Generator","Bio & Caption Generators","low","Creator/business profile intent with strong search value and lightweight structured output.","Upgrade in Pass 14 with structured sections, per-result copy actions, concise safety notes, and lightweight browser-only logic."
"8","youtube-hook-generator","YouTube Hook Generator","Bio & Caption Generators","low","Creator/business profile intent with strong search value and lightweight structured output.","Upgrade in Pass 14 with structured sections, per-result copy actions, concise safety notes, and lightweight browser-only logic."
"9","soundcloud-tag-generator","SoundCloud Tag Generator","Social Media & Tag Generators","low","Platform discovery intent with tag groups, dedupe, and copyable sets; no heavy infrastructure needed.","Upgrade in Pass 14 with structured sections, per-result copy actions, concise safety notes, and lightweight browser-only logic."
"10","product-name-generator","Product Name Generator","Business & Brand Generators","low","Commercial naming or business utility intent with strong user value and simple structured browser output.","Upgrade in Pass 14 with structured sections, per-result copy actions, concise safety notes, and lightweight browser-only logic."
"11","shop-name-generator","Shop Name Generator","Business & Brand Generators","low","Commercial naming or business utility intent with strong user value and simple structured browser output.","Upgrade in Pass 14 with structured sections, per-result copy actions, concise safety notes, and lightweight browser-only logic."
"12","cafe-name-generator","Cafe Name Generator","Business & Brand Generators","low","Commercial naming or business utility intent with strong user value and simple structured browser output.","Upgrade in Pass 14 with structured sections, per-result copy actions, concise safety notes, and lightweight browser-only logic."
"13","project-name-generator","Project Name Generator","Business & Brand Generators","low","Commercial naming or business utility intent with strong user value and simple structured browser output.","Upgrade in Pass 14 with structured sections, per-result copy actions, concise safety notes, and lightweight browser-only logic."
"14","sku-generator","SKU Generator","Business & Brand Generators","low","Commercial naming or business utility intent with strong user value and simple structured browser output.","Upgrade in Pass 14 with structured sections, per-result copy actions, concise safety notes, and lightweight browser-only logic."
"15","coupon-code-generator","Coupon Code Generator","Business & Brand Generators","noindex","Commercial naming or business utility intent with strong user value and simple structured browser output.","Upgrade in Pass 14 with structured sections, per-result copy actions, concise safety notes, and lightweight browser-only logic."
"16","startup-name-generator","Startup Name Generator","Business & Brand Generators","low","Commercial naming or business utility intent with strong user value and simple structured browser output.","Upgrade in Pass 14 with structured sections, per-result copy actions, concise safety notes, and lightweight browser-only logic."
"17","photography-name-generator","Photography Business Name Generator","Business & Brand Generators","low","Commercial naming or business utility intent with strong user value and simple structured browser output.","Upgrade in Pass 14 with structured sections, per-result copy actions, concise safety notes, and lightweight browser-only logic."
"18","email-name-generator","Email Address Name Generator","Business & Brand Generators","low","Commercial naming or business utility intent with strong user value and simple structured browser output.","Upgrade in Pass 14 with structured sections, per-result copy actions, concise safety notes, and lightweight browser-only logic."
"19","restaurant-name-generator","Restaurant Name Generator","Business & Brand Generators","low","Commercial naming or business utility intent with strong user value and simple structured browser output.","Upgrade in Pass 14 with structured sections, per-result copy actions, concise safety notes, and lightweight browser-only logic."
"20","coffee-shop-name-generator","Coffee Shop Name Generator","Business & Brand Generators","low","Commercial naming or business utility intent with strong user value and simple structured browser output.","Upgrade in Pass 14 with structured sections, per-result copy actions, concise safety notes, and lightweight browser-only logic."
