slug,tool_name,category,current_status,should_upgrade_to_premium,safe_to_upgrade,premium_upgrade_type,required_safe_framing,recommended_index_status,pass_number,reason
fancy-text-generator,Fancy Text Generator,Font & Text Style Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,high,,Already classified premium after Pass 18; keep in regression QA.
name-generator,Name Generator,Name Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,noindex,,Already classified premium after Pass 18; keep in regression QA.
username-generator,Username Generator,Name Generators,premium_done,no,yes,already premium; regression QA only,"fictional/creative use only; no impersonation, fraud, evasion, or identity misuse",noindex,,Already classified premium after Pass 18; keep in regression QA. Sensitive or platform-adjacent intent should be premiumized with safe framing and conservative indexing.
business-name-generator,Business Name Generator,Business & Brand Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA.
youtube-tag-generator,YouTube Tag Generator,Social Media & Tag Generators,hold_sensitive,yes,yes,"platform-aware social content suite with compliant tags/captions, grouping, limits, and copy actions","platform-aware drafting only; avoid spam, impersonation, evasion, deceptive engagement, or trademark affiliation claims",noindex,29,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as premium_done; Pass 18 status is treated as current. Sensitive or platform-adjacent intent should be premiumized with safe framing and conservative indexing.
instagram-bio-generator,Instagram Bio Generator,Bio & Caption Generators,hold_sensitive,yes,yes,"platform-aware profile/caption suite with tone, length, CTA, variants, and copy actions","platform-aware drafting only; avoid spam, impersonation, evasion, deceptive engagement, or trademark affiliation claims",noindex,26,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as premium_done; Pass 18 status is treated as current. Sensitive or platform-adjacent intent should be premiumized with safe framing and conservative indexing.
meta-tag-generator,Meta Tag Generator,SEO & Marketing Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA.
bold-text-generator,Bold Text Generator,Font & Text Style Generators,noindex_or_low_priority,yes,yes,"intent-specific text transformation suite with style groups, live preview, variants, and copy blocks",none required beyond normal quality controls,low,24,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as good_enough; Pass 18 status is treated as current.
cursive-text-generator,Cursive Text Generator,Font & Text Style Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA.
glitch-text-generator,Glitch Text Generator,Font & Text Style Generators,noindex_or_low_priority,yes,yes,"intent-specific text transformation suite with style groups, live preview, variants, and copy blocks",none required beyond normal quality controls,low,24,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as good_enough; Pass 18 status is treated as current.
password-generator,Password Generator,Utility Generators,hold_sensitive,yes,yes,"utility workflow suite with validation, settings, structured result panels, and copy/export actions",generate locally; never store or transmit results; include entropy guidance and security disclaimer,noindex,29,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as premium_done; Pass 18 status is treated as current. Sensitive or platform-adjacent intent should be premiumized with safe framing and conservative indexing.
lorem-ipsum-generator,Lorem Ipsum Generator,Utility Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA.
fantasy-name-generator,Fantasy Name Generator,Gaming & Fantasy Generators,needs_premium_upgrade,yes,yes,"intent-specific naming suite with themed batches, filters, meanings, shortlist cards, and copy actions",none required beyond normal quality controls,low,19,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as good_enough; Pass 18 status is treated as current.
instagram-hashtag-generator,Instagram Hashtag Generator,Social Media & Tag Generators,hold_sensitive,yes,yes,"platform-aware social content suite with compliant tags/captions, grouping, limits, and copy actions","platform-aware drafting only; avoid spam, impersonation, evasion, deceptive engagement, or trademark affiliation claims",noindex,29,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as premium_done; Pass 18 status is treated as current. Sensitive or platform-adjacent intent should be premiumized with safe framing and conservative indexing.
text-case-converter,Text Case Converter,Utility Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA.
team-name-generator,Team Name Generator,Name Generators,needs_premium_upgrade,yes,yes,"intent-specific naming suite with themed batches, filters, meanings, shortlist cards, and copy actions",none required beyond normal quality controls,low,19,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as good_enough; Pass 18 status is treated as current.
robots-txt-generator,Robots.txt Generator,SEO & Marketing Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA.
word-counter,Word Counter,Utility Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA.
uuid-generator,UUID Generator,Developer & Web Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,noindex,,Already classified premium after Pass 18; keep in regression QA.
random-number-generator,Random Number Generator,Random Generators,good_enough,yes,yes,"randomizer suite with constraints, batch generation, history, and copyable structured results",none required beyond normal quality controls,low,23,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as premium_done; Pass 18 status is treated as current.
small-text-generator,Small Text Generator,Font & Text Style Generators,noindex_or_low_priority,yes,yes,"intent-specific text transformation suite with style groups, live preview, variants, and copy blocks",none required beyond normal quality controls,low,24,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as good_enough; Pass 18 status is treated as current.
italic-text-generator,Italic Text Generator,Font & Text Style Generators,noindex_or_low_priority,yes,yes,"intent-specific text transformation suite with style groups, live preview, variants, and copy blocks",none required beyond normal quality controls,low,24,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as good_enough; Pass 18 status is treated as current.
strikethrough-text-generator,Strikethrough Text Generator,Font & Text Style Generators,noindex_or_low_priority,yes,yes,"intent-specific text transformation suite with style groups, live preview, variants, and copy blocks",none required beyond normal quality controls,low,24,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as good_enough; Pass 18 status is treated as current.
