master_keyword,final_status,confidence,existing_tool_slug,final_tool_name,final_slug,category,reason,recommended_action
"woman name generator","SHOULD_BE_MODE_OR_OPTION","high","name-generator","Name Generator","name-generator","name-generators","Modifier 'woman' applied to 'name-generator'","Add as mode/filter"
"fancy name generator","SHOULD_BE_MODE_OR_OPTION","high","name-generator","Name Generator","name-generator","name-generators","Modifier 'fancy' applied to 'name-generator'","Add as mode/filter"
"french name generator","SHOULD_BE_MODE_OR_OPTION","high","name-generator","Name Generator","name-generator","name-generators","Modifier 'french' applied to 'name-generator'","Add as mode/filter"
"russian name generator","SHOULD_BE_MODE_OR_OPTION","high","name-generator","Name Generator","name-generator","name-generators","Modifier 'russian' applied to 'name-generator'","Add as mode/filter"
"asian name generator","SHOULD_BE_MODE_OR_OPTION","high","name-generator","Name Generator","name-generator","name-generators","Modifier 'asian' applied to 'name-generator'","Add as mode/filter"
"name card qr code generator","SHOULD_BE_MODE_OR_OPTION","high","qr-code-generator","QR Code Generator","qr-code-generator","utility-generators","Sub-type of existing tool","Add as mode/option"
"random account name generator","SHOULD_BE_MODE_OR_OPTION","high","name-generator","Name Generator","name-generator","name-generators","Modifier 'random account' applied to 'name-generator'","Add as mode/filter"
"cute name generator","SHOULD_BE_MODE_OR_OPTION","high","name-generator","Name Generator","name-generator","name-generators","Modifier 'cute' applied to 'name-generator'","Add as mode/filter"
"italian name generator","SHOULD_BE_MODE_OR_OPTION","high","name-generator","Name Generator","name-generator","name-generators","Modifier 'italian' applied to 'name-generator'","Add as mode/filter"
"man name generator","SHOULD_BE_MODE_OR_OPTION","high","name-generator","Name Generator","name-generator","name-generators","Modifier 'man' applied to 'name-generator'","Add as mode/filter"
"random bleach name generator","SHOULD_BE_MODE_OR_OPTION","high","name-generator","Name Generator","name-generator","name-generators","Modifier 'random bleach' applied to 'name-generator'","Add as mode/filter"
"black name generator","SHOULD_BE_MODE_OR_OPTION","high","name-generator","Name Generator","name-generator","name-generators","Modifier 'black' applied to 'name-generator'","Add as mode/filter"
"red indian name generator","SHOULD_BE_MODE_OR_OPTION","high","name-generator","Name Generator","name-generator","name-generators","Modifier 'red indian' applied to 'name-generator'","Add as mode/filter"
"spanish name generator","SHOULD_BE_MODE_OR_OPTION","high","name-generator","Name Generator","name-generator","name-generators","Modifier 'spanish' applied to 'name-generator'","Add as mode/filter"
"indian name generator","SHOULD_BE_MODE_OR_OPTION","high","name-generator","Name Generator","name-generator","name-generators","Modifier 'indian' applied to 'name-generator'","Add as mode/filter"
"black person name generator","SHOULD_BE_MODE_OR_OPTION","high","name-generator","Name Generator","name-generator","name-generators","Modifier 'black person' applied to 'name-generator'","Add as mode/filter"
"hispanic name generator","SHOULD_BE_MODE_OR_OPTION","high","name-generator","Name Generator","name-generator","name-generators","Modifier 'hispanic' applied to 'name-generator'","Add as mode/filter"
"old west name generator","SHOULD_BE_MODE_OR_OPTION","high","name-generator","Name Generator","name-generator","name-generators","Modifier 'old west' applied to 'name-generator'","Add as mode/filter"
