slug,tool_name,category,index_status,intent_match_score,exact_keyword_intent_satisfied,missing_user_expectations,tool_options_match_intent,semantic_coverage_score,primary_keyword_coverage,secondary_keyword_coverage,related_entity_topic_coverage,over_optimization_risk,thin_repetitive_content_risk,topical_authority_score,category_cluster_fit,related_tools_quality,internal_link_strength,missing_supporting_pages_or_blog_content,category_page_improvement_needs,ux_score,tool_clarity,options_clarity,output_usefulness,copy_button_usefulness,mobile_readability_risk,friction_points,content_quality_score,intro_usefulness,faq_usefulness,disclaimer_quality_where_needed,uniqueness_vs_similar_tools,human_tone,adsense_safe_language,overall_score,issue_level,main_issue,recommended_fix,priority
fancy-text-generator,Fancy Text Generator,Font & Text Style Generators,high,10,yes,none,yes,9.5,strong,strong,strong,low,low,9.2,strong,strong,strong,none obvious,large cluster would benefit from subcategory sections and editorial intro depth,8.1,clear,minimal controls,intent-specific output,strong - shared copy all and per-section/per-result copy controls,low,limited option depth for niche intent,8.8,strong,strong,not required,distinct enough for current cluster,clear and utility-focused,safe,9.1,none,No material issue found.,No fix required before launch.,none
name-generator,Name Generator,Name Generators,noindex,10,yes,none,yes,8.6,strong,strong,strong,medium,low,9,strong,strong,strong,none obvious,minor category copy/internal linking polish only,9.1,clear,clear,intent-specific output,strong - shared copy all and per-section/per-result copy controls,low,low,8.8,strong,strong,not required,distinct enough for current cluster,clear and utility-focused,safe,9.1,none,No material issue found.,No fix required before launch.,none
username-generator,Username Generator,Name Generators,noindex,10,yes,add targeted FAQ support,yes,9.2,strong,strong,strong,low,minor,9,strong,strong,strong,none obvious,minor category copy/internal linking polish only,9.1,clear,clear,intent-specific output,strong - shared copy all and per-section/per-result copy controls,low,low,7.4,adequate,basic,not required,distinct enough for current cluster,clear and utility-focused,safe,8.9,minor,add targeted FAQ support,add targeted FAQ support.,low
business-name-generator,Business Name Generator,Business & Brand Generators,low,8.3,yes,add intent-matched controls,partial,9.2,strong,strong,strong,low,low,9,strong,strong,strong,none obvious,large cluster would benefit from subcategory sections and editorial intro depth,8.1,clear,minimal controls,intent-specific output,strong - shared copy all and per-section/per-result copy controls,low,limited option depth for niche intent,9,strong,strong,not required,distinct enough for current cluster,clear and utility-focused,safe,8.7,none,add intent-matched controls,add intent-matched controls.,none
youtube-tag-generator,YouTube Tag Generator,Social Media & Tag Generators,noindex,9.7,yes,add targeted FAQ support,yes,9.2,strong,strong,strong,low,minor,8.8,strong,strong,strong,consider category/blog support if search volume justifies it,minor category copy/internal linking polish only,9.3,clear,clear,intent-specific output,strong - shared copy all and per-section/per-result copy controls,low,low,7.4,strong,basic,not required,distinct enough for current cluster,clear and utility-focused,safe,8.9,minor,add targeted FAQ support,add targeted FAQ support.,low
instagram-bio-generator,Instagram Bio Generator,Bio & Caption Generators,noindex,9.7,yes,add targeted FAQ support,yes,8.8,strong,strong,strong,low,minor,8.8,strong,strong,strong,consider category/blog support if search volume justifies it,minor category copy/internal linking polish only,9.3,clear,clear,intent-specific output,strong - shared copy all and per-section/per-result copy controls,low,low,8.1,strong,basic,not required,distinct enough for current cluster,clear and utility-focused,safe,8.9,minor,add targeted FAQ support,add targeted FAQ support.,low
meta-tag-generator,Meta Tag Generator,SEO & Marketing Generators,low,9.7,yes,add targeted FAQ support,yes,9.2,strong,strong,strong,low,minor,8.8,strong,strong,strong,consider category/blog support if search volume justifies it,minor category copy/internal linking polish only,9.3,clear,clear,intent-specific output,strong - shared copy all and per-section/per-result copy controls,low,low,7.4,adequate,basic,not required,distinct enough for current cluster,clear and utility-focused,safe,8.9,minor,add targeted FAQ support,add targeted FAQ support.,low
bold-text-generator,Bold Text Generator,Font & Text Style Generators,low,9.7,yes,add targeted FAQ support,yes,8.1,strong,strong,strong,low,medium,8.8,strong,strong,strong,consider category/blog support if search volume justifies it,large cluster would benefit from subcategory sections and editorial intro depth,8.1,clear,minimal controls,intent-specific output,strong - shared copy all and per-section/per-result copy controls,low,limited option depth for niche intent,6.8,adequate,thin,not required,distinct enough for current cluster,clear and utility-focused,safe,8.3,minor,add targeted FAQ support,add targeted FAQ support.,low
cursive-text-generator,Cursive Text Generator,Font & Text Style Generators,low,9.7,yes,add targeted FAQ support,yes,8.1,strong,strong,strong,low,medium,8.8,strong,strong,strong,consider category/blog support if search volume justifies it,large cluster would benefit from subcategory sections and editorial intro depth,8.1,clear,minimal controls,intent-specific output,strong - shared copy all and per-section/per-result copy controls,low,limited option depth for niche intent,6.8,adequate,thin,not required,distinct enough for current cluster,clear and utility-focused,safe,8.3,minor,add targeted FAQ support,add targeted FAQ support.,low
glitch-text-generator,Glitch Text Generator,Font & Text Style Generators,low,9.7,yes,add targeted FAQ support,yes,8.5,strong,strong,strong,low,medium,9,strong,strong,strong,none obvious,large cluster would benefit from subcategory sections and editorial intro depth,8.1,clear,minimal controls,intent-specific output,strong - shared copy all and per-section/per-result copy controls,low,limited option depth for niche intent,6.8,strong,thin,not required,distinct enough for current cluster,clear and utility-focused,safe,8.4,minor,add targeted FAQ support,add targeted FAQ support.,low
