master_keyword,final_status,confidence,existing_tool_slug,final_tool_name,final_slug,category,reason,recommended_action
"2025 generation name","OUT_OF_SCOPE_OR_UNSAFE","high","","","","","Matches policy or out-of-scope pattern","Skip"
"current generation name","OUT_OF_SCOPE_OR_UNSAFE","high","","","","","Matches policy or out-of-scope pattern","Skip"
"new generation name","OUT_OF_SCOPE_OR_UNSAFE","high","","","","","Matches policy or out-of-scope pattern","Skip"
"generating name","OUT_OF_SCOPE_OR_UNSAFE","high","","","","","Matches policy or out-of-scope pattern","Skip"
"stripper name generator","OUT_OF_SCOPE_OR_UNSAFE","high","","","","","Matches policy or out-of-scope pattern","Skip"
"2000 generation name","OUT_OF_SCOPE_OR_UNSAFE","high","","","","","Matches policy or out-of-scope pattern","Skip"
"newest generation name","OUT_OF_SCOPE_OR_UNSAFE","high","","","","","Matches policy or out-of-scope pattern","Skip"
"striper name generater","OUT_OF_SCOPE_OR_UNSAFE","high","","","","","Matches policy or out-of-scope pattern","Skip"
"porn name generator","OUT_OF_SCOPE_OR_UNSAFE","high","","","","","Matches policy or out-of-scope pattern","Skip"
"1980 generation name","OUT_OF_SCOPE_OR_UNSAFE","high","","","","","Matches policy or out-of-scope pattern","Skip"
"1998 generation name","OUT_OF_SCOPE_OR_UNSAFE","high","","","","","Matches policy or out-of-scope pattern","Skip"
"porn star name generator","OUT_OF_SCOPE_OR_UNSAFE","high","","","","","Matches policy or out-of-scope pattern","Skip"
"1997 generation name","OUT_OF_SCOPE_OR_UNSAFE","high","","","","","Matches policy or out-of-scope pattern","Skip"
"1999 generation name","OUT_OF_SCOPE_OR_UNSAFE","high","","","","","Matches policy or out-of-scope pattern","Skip"
"present generation name","OUT_OF_SCOPE_OR_UNSAFE","high","","","","","Matches policy or out-of-scope pattern","Skip"
"1970 generation name","OUT_OF_SCOPE_OR_UNSAFE","high","","","","","Matches policy or out-of-scope pattern","Skip"
"1977 generation name","OUT_OF_SCOPE_OR_UNSAFE","high","","","","","Matches policy or out-of-scope pattern","Skip"
"1979 generation name","OUT_OF_SCOPE_OR_UNSAFE","high","","","","","Matches policy or out-of-scope pattern","Skip"
"1982 generation name","OUT_OF_SCOPE_OR_UNSAFE","high","","","","","Matches policy or out-of-scope pattern","Skip"
"1987 generation name","OUT_OF_SCOPE_OR_UNSAFE","high","","","","","Matches policy or out-of-scope pattern","Skip"
"1995 generation name","OUT_OF_SCOPE_OR_UNSAFE","high","","","","","Matches policy or out-of-scope pattern","Skip"
"2012 generation name","OUT_OF_SCOPE_OR_UNSAFE","high","","","","","Matches policy or out-of-scope pattern","Skip"
"2014 generation name","OUT_OF_SCOPE_OR_UNSAFE","high","","","","","Matches policy or out-of-scope pattern","Skip"
"next generation name","OUT_OF_SCOPE_OR_UNSAFE","high","","","","","Matches policy or out-of-scope pattern","Skip"
"1976 generation name","OUT_OF_SCOPE_OR_UNSAFE","high","","","","","Matches policy or out-of-scope pattern","Skip"
"1990 generation name","OUT_OF_SCOPE_OR_UNSAFE","high","","","","","Matches policy or out-of-scope pattern","Skip"
"2010 generation name","OUT_OF_SCOPE_OR_UNSAFE","high","","","","","Matches policy or out-of-scope pattern","Skip"
"2011 generation name","OUT_OF_SCOPE_OR_UNSAFE","high","","","","","Matches policy or out-of-scope pattern","Skip"
"2013 generation name","OUT_OF_SCOPE_OR_UNSAFE","high","","","","","Matches policy or out-of-scope pattern","Skip"
"2015 generation name","OUT_OF_SCOPE_OR_UNSAFE","high","","","","","Matches policy or out-of-scope pattern","Skip"
"2016 generation name","OUT_OF_SCOPE_OR_UNSAFE","high","","","","","Matches policy or out-of-scope pattern","Skip"
"2020 generation name","OUT_OF_SCOPE_OR_UNSAFE","high","","","","","Matches policy or out-of-scope pattern","Skip"
