slug,tool_name,classification,next_indexing_batch_recommendation,spam_risk,platform_brand_non_affiliation,no_ranking_reach_viral_guarantees,helpful_content_quality,adsense_adx_safe_wording,output_safety_notes,faq_disclaimer_completeness,exact_reason
x-post-generator,X/Twitter Post Generator,Keep noindex for now,no,high,pass,pass,good,conditional,strong,strong,"Strong post-hardening language is present, but social-post generation remains spam and harassment adjacent. Keep noindex until there is more evidence that responsible-use framing suppresses engagement-bait and platform-abuse intent."
youtube-tag-generator,YouTube Tag Generator,Ready for indexing,yes,medium,pass,pass,strong,strong,strong,strong,"Best next-batch candidate: relevance-first tag drafting, explicit YouTube/Google non-affiliation, no ranking views recommendation or engagement guarantees, complete FAQs/disclaimer, and clear output notes against keyword stuffing."
instagram-hashtag-generator,Instagram Hashtag Generator,Keep noindex for now,no,high,pass,pass,good,conditional,strong,strong,"Hardening is materially stronger, but Instagram hashtag intent remains reach-chasing and trend-spam prone. Keep noindex until social hashtag pages prove they do not attract low-quality bulk-tag traffic."
tiktok-hashtag-generator,TikTok Hashtag Generator,Keep noindex for now,no,high,pass,pass,good,conditional,strong,strong,"No-viral framing and FAQs are strong, but TikTok hashtag demand is especially close to viral/reach manipulation and trend abuse. Keep noindex for now despite complete safety language."
etsy-tag-generator,Etsy Tag Generator,Ready for indexing,yes,medium,pass,pass,strong,strong,strong,strong,"Strong marketplace-safe candidate: truthful product-attribute framing, Etsy non-affiliation, no ranking sales traffic approval or search-volume guarantees, and useful FAQs for seller review before publishing."
pinterest-tag-generator,Pinterest Tag Generator,Ready for indexing,yes,medium,pass,pass,strong,strong,strong,strong,"Good future indexing candidate: pin/board/destination relevance is clear, Pinterest non-affiliation is explicit, traffic/ranking/saves/click guarantees are removed, and output notes discourage keyword stuffing."
soundcloud-tag-generator,SoundCloud Tag Generator,Ready for indexing,yes,medium,pass,pass,strong,strong,strong,strong,"Good niche candidate: genre mood instrument and context truthfulness are clear, SoundCloud non-affiliation is explicit, no plays discovery ranking or engagement guarantees are present, and FAQs/disclaimer are complete."
midjourney-prompt-generator,Midjourney Prompt Generator,Keep noindex for now,no,medium,pass,pass,good,conditional,strong,strong,"Rights-aware prompt hardening is strong, but named AI image platform intent still carries IP, likeness, unsafe image, and platform-policy risk. Keep noindex until AI-image prompt pages receive a separate indexing review."
stable-diffusion-prompt-generator,Stable Diffusion Prompt Generator,Keep noindex for now,no,medium,not_applicable,pass,good,conditional,strong,strong,"Safety and rights warnings are complete, but AI image prompt intent remains sensitive because model outputs can involve IP, likeness, unsafe-content, and commercial-use ambiguity. Keep noindex for now."
chatgpt-prompt-generator,ChatGPT Prompt Generator,Needs more hardening,no,medium,pass,pass,moderate,conditional,strong,strong,"FAQs and disclaimers are strong, but Helpful Content quality is still thinner than ideal for indexed acquisition because tool options and related links remain sparse and the brand-adjacent AI advice surface is broad. Add deeper prompt categories and adjacent workflow links before indexing."
