component,rule,recommendation,example_or_detail
Stable identity,canonicalToolId,Use English slug as stable ID,"canonicalToolId=name-generator remains constant across all languages."
English route,en route,Keep existing URL,"/tools/name-generator/"
Localized route,fr route,Map same ID to localized slug,"/fr/tools/generateur-de-noms/"
Localized route,es route,Map same ID to localized slug,"/es/tools/generador-de-nombres/"
Localized route,de route,Map same ID to localized slug,"/de/tools/namensgenerator/"
Switch resolver,input,Use current canonicalToolId and target language,"Resolve from page context, not from visible slug text."
Switch resolver,preferred output,Same localized tool if ready,"/tools/name-generator/ selecting fr goes to /fr/tools/generateur-de-noms/."
Switch resolver,first fallback,English same tool,"If fr localized page missing, send to /tools/name-generator/ rather than /fr/."
Switch resolver,second fallback,Same-language hub,"If same-tool route is unavailable or intentionally withheld, use /fr/tools/generateurs-de-noms/ or equivalent hub."
Switch resolver,last fallback,Language homepage only as last resort,"Use /fr/ only when no safe same-tool or same-hub destination exists."
Noindex switch behavior,noindex localized missing,Do not create indexable fallback,"If English tool is noindex and not localized, language switch may stay on English noindex same tool or use a safe hub; never create a thin localized indexable page."
Redirected tool behavior,redirect source selected,Resolve to target canonicalToolId,"A removed/merged source should switch to localized version of its redirect target if available."
Hreflang generation,tool pages,Use same canonicalToolId,"Alternates include only language versions of the exact same tool that are ready and indexable/noindex-consistent."
Hreflang generation,hubs,Use stable hubId,"Alternates include same topical hub across languages, not loosely similar categories."
Hreflang generation,x-default,English same page,"For tool pages x-default points to /tools/{english-slug}/."
Canonical generation,localized pages,Self-canonical,"/fr/tools/generateur-de-noms/ canonicalizes to https://taptogen.com/fr/tools/generateur-de-noms/."
Missing translation,state tracking,Use status field,"draft, keyword-review, native-review, ready, hold, noindex-only, retired. Generate public pages only for ready or approved noindex-only."
Validation,reciprocity,Required,"Every hreflang alternate must link back to the current page in its own alternate set."
Validation,route existence,Required,"Every language-switch URL must resolve to a generated page or approved redirect."
Validation,homepage avoidance,Required,"Audit that tool pages do not switch to language homepages unless fallbackReason is recorded."
Validation,duplicate localized slugs,Required,"Each language has unique localized tool slugs; hubs and tools cannot collide within the same path namespace."
