slug,tool_name,risk_type,issue_found,fixes_applied,content_quality_after,safe_framing_after,can_be_indexed_after_cleanup,must_remain_noindex,reason
ao3-tag-generator,AO3 Tag Generator,brand_ip,yes,Added shared risk-specific visible disclaimer; Added fallback intent-specific FAQ set where the tool data is thin; Cleaned unsafe or overclaiming metadata/intro wording,premium,strong,yes,no,Potentially indexable only after separate index approval because safety framing is now stronger but platform/legal/humor wording still needs conservative review.
college-name-generator,College Name Generator,safe_low_risk,yes,Added shared risk-specific visible disclaimer; Added fallback intent-specific FAQ set where the tool data is thin,premium,strong,yes,no,Low-risk page now has explicit safety framing and FAQ support; index decision still requires separate approval.
shipping-policy-generator,Shipping Policy Generator,legal_template,yes,Added shared risk-specific visible disclaimer; Added fallback intent-specific FAQ set where the tool data is thin; Cleaned unsafe or overclaiming metadata/intro wording,premium,strong,no,yes,Legal/policy/compliance template risk remains too high for indexing as a generator page.
content-calendar-generator,Content Calendar Generator,safe_low_risk,yes,Added shared risk-specific visible disclaimer; Added fallback intent-specific FAQ set where the tool data is thin; Cleaned unsafe or overclaiming metadata/intro wording,premium,strong,yes,no,Low-risk page now has explicit safety framing and FAQ support; index decision still requires separate approval.
random-address-generator,Random Address Generator,fake_identity,yes,Added shared risk-specific visible disclaimer; Added fallback intent-specific FAQ set where the tool data is thin; Cleaned unsafe or overclaiming metadata/intro wording,premium,strong,no,yes,"Could support deceptive identity, fake address, fake document, or fraudulent record use."
fake-text-generator,Fake Text Generator,fake_identity,yes,Added shared risk-specific visible disclaimer; Added fallback intent-specific FAQ set where the tool data is thin,premium,strong,no,yes,"Could support deceptive identity, fake address, fake document, or fraudulent record use."
fake-name-generator,Fake Name Generator,fake_identity,yes,Added shared risk-specific visible disclaimer; Added fallback intent-specific FAQ set where the tool data is thin; Cleaned unsafe or overclaiming metadata/intro wording,premium,strong,no,yes,"Could support deceptive identity, fake address, fake document, or fraudulent record use."
pin-generator,PIN Generator,security_sensitive,yes,Added shared risk-specific visible disclaimer; Added fallback intent-specific FAQ set where the tool data is thin; Cleaned unsafe or overclaiming metadata/intro wording,premium,strong,no,yes,"Security-sensitive output can be misunderstood as production-safe secrets, keys, tokens, or credentials."
geo-tag-generator,Geo Tag Generator,platform_abuse,yes,Added shared risk-specific visible disclaimer; Added fallback intent-specific FAQ set where the tool data is thin,premium,strong,no,yes,Platform abuse/deception risk remains too high without a deeper rewrite.
art-tag-generator,Art Tag Generator,platform_abuse,yes,Added shared risk-specific visible disclaimer; Added fallback intent-specific FAQ set where the tool data is thin,premium,strong,no,yes,Platform abuse/deception risk remains too high without a deeper rewrite.
email-tag-generator,Email Tag Generator,platform_abuse,yes,Added shared risk-specific visible disclaimer; Added fallback intent-specific FAQ set where the tool data is thin,premium,strong,no,yes,Platform abuse/deception risk remains too high without a deeper rewrite.
demon-name-generator,Demon Name Generator,safe_low_risk,yes,Added shared risk-specific visible disclaimer; Added fallback intent-specific FAQ set where the tool data is thin,premium,strong,yes,no,Low-risk page now has explicit safety framing and FAQ support; index decision still requires separate approval.
instagram-bio-generator,Instagram Bio Generator,platform_abuse,yes,Added shared risk-specific visible disclaimer; Added fallback intent-specific FAQ set where the tool data is thin,premium,strong,yes,no,Potentially indexable only after separate index approval because safety framing is now stronger but platform/legal/humor wording still needs conservative review.
instagram-caption-generator,Instagram Caption Generator,platform_abuse,yes,Added shared risk-specific visible disclaimer; Added fallback intent-specific FAQ set where the tool data is thin,premium,strong,yes,no,Potentially indexable only after separate index approval because safety framing is now stronger but platform/legal/humor wording still needs conservative review.
midjourney-prompt-generator,Midjourney Prompt Generator,platform_abuse,yes,Added shared risk-specific visible disclaimer; Added fallback intent-specific FAQ set where the tool data is thin; Cleaned unsafe or overclaiming metadata/intro wording,premium,strong,yes,no,Potentially indexable only after separate index approval because safety framing is now stronger but platform/legal/humor wording still needs conservative review.
random-choice-generator,Random Choice Generator,random_utility,yes,Added shared risk-specific visible disclaimer; Added fallback intent-specific FAQ set where the tool data is thin,premium,strong,yes,no,Low-risk page now has explicit safety framing and FAQ support; index decision still requires separate approval.
facebook-post-generator,Facebook Post Generator,platform_abuse,yes,Added shared risk-specific visible disclaimer; Added fallback intent-specific FAQ set where the tool data is thin; Cleaned unsafe or overclaiming metadata/intro wording,premium,strong,yes,no,Potentially indexable only after separate index approval because safety framing is now stronger but platform/legal/humor wording still needs conservative review.
