row_type,slug,task,verdict,robots,googlebot,audit_result,final_reason,next_action
summary,,batch_1_total,complete,,,,"Batch 1 reviewed 10 tools from artifacts/remaining_42_noindex_final_action_plan.csv.","No source changes; no noindexToolSlugs changes; no indexing."
summary,,approved_tools,complete,,,,"No tools approved for indexing in this batch.","Keep all 10 tools noindex."
summary,,all_10_noindex_follow,pass,noindex follow,noindex follow,"All 10 generated pages render robots and googlebot noindex, follow.","No action required."
tool,contract-generator,final_indexing_audit,keep_noindex_legal_sensitive,"noindex, follow","noindex, follow","Premium/input-driven: yes; draft-only/not legal advice: yes; no enforceability/legal-validity/compliance/jurisdiction guarantee: yes; professional-review warnings: yes; useful sections/optional clauses/review checklist: yes.","Still a legal contract outline. Even with strong safeguards, users may rely on generated clauses for enforceability, liability, payment, IP, jurisdiction, compliance, or professional-review replacement.","Keep in noindexToolSlugs; do not index without explicit legal-risk acceptance and a new approval artifact."
tool,nda-generator,final_indexing_audit,keep_noindex_legal_sensitive,"noindex, follow","noindex, follow","Premium/input-driven: yes; draft-only/not legal advice: yes; no enforceability/compliance/jurisdiction guarantee: yes; professional-review warnings: yes; useful sections/clauses/review note: yes.","Still a confidentiality/legal agreement outline. Even with strong safeguards, users may rely on generated confidentiality scope, exclusions, remedies, term, jurisdiction, or enforceability.","Keep in noindexToolSlugs; do not index without explicit legal-risk acceptance and a new approval artifact."
tool,service-agreement-generator,final_indexing_audit,keep_noindex_legal_sensitive,"noindex, follow","noindex, follow","Premium/input-driven: yes; draft-only/not legal advice: yes; no enforceability/payment/compliance/tax/jurisdiction guarantee: yes; professional-review warnings: yes; useful sections/optional clauses/review checklist: yes.","Still a service contract outline involving payment, deliverables, IP, confidentiality, liability, termination, governing law, and local service rules.","Keep in noindexToolSlugs; do not index without explicit legal-risk acceptance and a new approval artifact."
tool,invoice-generator,final_keep_noindex_closure,final_keep_noindex_fake_identity_or_document,"noindex, follow","noindex, follow","Closure only; not upgraded for indexing.","Official-record, accounting, tax, debt, payment, and payment-proof risk.","Keep permanently noindex."
tool,receipt-generator,final_keep_noindex_closure,final_keep_noindex_fake_identity_or_document,"noindex, follow","noindex, follow","Closure only; not upgraded for indexing.","Official-record, accounting, tax, proof-of-payment, and payment-proof risk.","Keep permanently noindex."
tool,random-address-generator,final_keep_noindex_closure,final_keep_noindex_fake_identity_or_document,"noindex, follow","noindex, follow","Closure only; not upgraded for indexing.","Fake identity/location risk; can enable deception, false records, account abuse, fraud, or evasion.","Keep permanently noindex."
tool,fake-name-generator,final_keep_noindex_closure,final_keep_noindex_fake_identity_or_document,"noindex, follow","noindex, follow","Closure only; not upgraded for indexing.","Fake identity risk; can enable impersonation, synthetic identity misuse, account abuse, or deceptive records.","Keep permanently noindex."
tool,pin-generator,final_keep_noindex_closure,final_keep_noindex_security_sensitive,"noindex, follow","noindex, follow","Closure only; not upgraded for indexing.","Security credential risk; PIN-like secrets are credential-adjacent and high-stakes.","Keep permanently noindex."
tool,api-key-generator,final_keep_noindex_closure,final_keep_noindex_security_sensitive,"noindex, follow","noindex, follow","Closure only; not upgraded for indexing.","Security credential risk; API-key-like output can be confused with production secrets or access material.","Keep permanently noindex."
tool,password-generator,final_keep_noindex_closure,final_keep_noindex_security_sensitive,"noindex, follow","noindex, follow","Closure only; not upgraded for indexing.","Security credential risk; password generation is high-stakes and can be mistaken for audited production security.","Keep permanently noindex."
