section,metric,status,value,details
Overall,predeploy verification,PASS,0 blockers,"Verification passed after homepage hub and interlinking updates; no source files changed during this verification pass."
Validation,git status --short,PASS,completed,"Uncommitted homepage hub sitemap footer and tool-link changes remain; artifact generated."
Validation,npx.cmd tsc --noEmit,PASS,exit 0,"TypeScript completed with no errors."
Validation,npx.cmd astro check,PASS,"0 errors; 0 warnings; 2 hints","Astro check completed; existing hints only for pass28TextControls/pass28NameControls."
Validation,npm.cmd run build,PASS,"459 pages built","Build completed; Vite reported chunk-size warning only; postbuild added 20 tool merge 301 redirects."
Counts,active tools,PASS,430,"Locked active tool count unchanged."
Counts,indexable active tools,PASS,379,"Locked indexable active tool count unchanged."
Counts,noindex active tools,PASS,51,"Locked active noindex tool count unchanged."
Counts,redirects,PASS,20,"Locked redirect count unchanged."
Counts,final built page count,PASS,459,"Matches expected final built page count."
Counts,duplicate slugs,PASS,0,"No duplicate tool slugs found."
Counts,broken relatedSlugs,PASS,0,"All relatedSlugs resolve to active tool slugs."
Homepage,render and required sections,PASS,present,"Homepage has brand hero value proposition hub links popular tools category links safe-use note and FAQ schema."
Homepage,valid internal page links,PASS,0 broken,"Homepage page links resolve to valid active pages or valid hubs; asset/XML links excluded from page-link audit."
Homepage,redirected or removed tool links,PASS,0,"No homepage links to removed or redirected tool URLs found."
Homepage,noindex tool links in SEO sections,PASS,0,"No homepage links to noindex tools found in primary SEO/discovery sections."
Hubs,/tools/name-generators/,PASS,index/follow,"Exists renders with self canonical https://taptogen.com/tools/name-generators/ and appears in sitemap; 30 active indexable primary tool links."
Hubs,/tools/text-generators/,PASS,index/follow,"Exists renders with self canonical https://taptogen.com/tools/text-generators/ and appears in sitemap; 30 active indexable primary tool links."
Hubs,/tools/writing-generators/,PASS,index/follow,"Exists renders with self canonical https://taptogen.com/tools/writing-generators/ and appears in sitemap; 30 active indexable primary tool links."
Hubs,/tools/seo-generators/,PASS,index/follow,"Exists renders with self canonical https://taptogen.com/tools/seo-generators/ and appears in sitemap; 30 active indexable primary tool links."
Hubs,/tools/business-generators/,PASS,index/follow,"Exists renders with self canonical https://taptogen.com/tools/business-generators/ and appears in sitemap; 30 active indexable primary tool links."
Hubs,/tools/creative-generators/,PASS,index/follow,"Exists renders with self canonical https://taptogen.com/tools/creative-generators/ and appears in sitemap; 30 active indexable primary tool links."
Hubs,metadata and content,PASS,present,"Each hub has title H1 meta description intro content related hub links and FAQ section."
Hubs,primary tool link safety,PASS,0 issues,"Hub primary tool lists link only to active indexable tools; no noindex redirected or removed tool links found."
Sitemap,indexable tool URLs,PASS,379,"All 379 indexable active tool pages are included."
Sitemap,hub URLs,PASS,6,"All 6 hub pages are included."
Sitemap,noindex tool URLs excluded,PASS,51,"All 51 active noindex tool pages are excluded."
Sitemap,redirect URLs excluded,PASS,20,"All 20 redirected or merged URLs are excluded."
Sitemap,duplicate sitemap URLs,PASS,0,"No duplicate sitemap URLs found."
Sitemap,broken sitemap paths,PASS,0,"No broken sitemap paths found for generated pages."
Robots,indexable tool pages,PASS,379,"All indexable active tool pages render index/follow."
Robots,noindex tool pages,PASS,51,"All active noindex tool pages render noindex/follow."
Robots,hub pages,PASS,6,"All hub pages render index/follow."
Canonicals,hub self canonicals,PASS,6,"All hub pages use correct production self-canonicals."
Canonicals,redirect source standalone pages,PASS,0,"Removed or redirected source URLs do not self-canonicalize as standalone pages."
Redirects,vercel output redirects,PASS,20,".vercel/output/config.json includes the expected 20 tool merge redirects."
Redirects,redirect target validity,PASS,0 issues,"All redirect targets exist and render index/follow."
Redirects,standalone source HTML,PASS,0,"Removed or redirected tools do not generate standalone HTML pages."
Redirects,redirect URL discovery presence,PASS,0,"Removed or redirected URLs do not appear in sitemap homepage hubs discovery pages or category pages."
Internal linking,relatedSlugs validity,PASS,0 broken,"All relatedSlugs are valid."
Internal linking,indexable source to noindex relatedSlugs,PASS,0,"Indexable source pages do not point to noindex relatedSlugs."
Internal linking,hub and footer links,PASS,0 broken,"Hub links and footer navigation links resolve."
Internal linking,homepage hub tool-card links,PASS,0 broken,"No broken internal links from homepage hubs or tool cards."
SEO content,blockers,PASS,0,"No blocker SEO/content issues found."
SEO content,should-fix,PASS,0,"No should-fix SEO/content issues found."
SEO content,nice-to-have,PASS,0,"No nice-to-have SEO/content issues found."
SEO content,tools to reconsider for noindex,PASS,0,"No additional tools flagged for noindex reconsideration."
SEO content,hub thin or generic content,PASS,0,"Hub pages did not introduce thin or generic content issues."
Safety client bundle,removed brand IP slugs in client JS,PASS,0,"Removed brand/IP slug strings absent from dist/_astro client JS."
Safety client bundle,active noindex safety strings in client JS,PASS,2 informational,"Active noindex tool data strings for ransom-note and shakespeare-insult appear in shared client JS; they remain noindex and are not removed/redirected brand-IP slugs."
Safety client bundle,risky legal security fake IP harassment tools indexable,PASS,0,"No risky legal/security/fake/IP/harassment tools accidentally indexable after token-boundary audit."
Safety client bundle,mojibake or encoding blockers,PASS,0,"Targeted homepage hub source and built-page search found no mojibake blockers."
Safety client bundle,ad placeholder or CLS issue,PASS,0,"No obvious ad placeholder or CLS markup issue found."
Production domain,taptogen.vercel.app hardcoded,PASS,0,"No hardcoded taptogen.vercel.app hits in source or dist."
Production domain,localhost hardcoded,PASS,0,"No hardcoded localhost hits in source or dist."
Production domain,canonicals sitemap OG URLs,PASS,production config,"Canonicals sitemap and OG URLs use the production domain configuration/root-relative-safe links."
Production domain,internal links,PASS,root-relative,"Internal links are root-relative where possible."
Production domain,redirect paths,PASS,root-relative,"Redirects use root-relative paths."
