tool_name,slug,category,batch,build_priority_score,risk_level,complexity_level,search_value_estimate,why_this_batch,must_have_features,index_status
"Xbox Generated Names","xbox-generated-names","xbox generated names","Batch 4","","low","low","low","Unclear mapping","Generator UI, copy/reset, responsive design","hold"
"Generations By Name","generations-by-name","generations by name","Batch 4","","low","low","low","Unclear mapping","Generator UI, copy/reset, responsive design","hold"
"Fake Name Generat","fake-name-generat","fake name generat | fake name generation","Batch 4","","high","low","low","Brand, fraud, or policy risk","N/A","hold"
"Voice Tag Generator","voice-tag-generator","voice tag generator","Batch 4","10","medium","high","low","Audio generation requires complex backend/API, holding for now","N/A","hold"
"Gorilla Tag Voice Generator","gorilla-tag-voice-generator","gorilla tag voice generator","Batch 4","10","medium","high","low","Audio generation requires complex backend/API, holding for now","N/A","hold"
"Robot Speech Generator","robot-speech-generator","robot speech generator","Batch 4","10","medium","high","low","Audio generation requires complex backend/API, holding for now","N/A","hold"
"Robot Voice Generator","robot-voice-generator","robot voice generator","Batch 4","10","medium","high","low","Audio generation requires complex backend/API, holding for now","N/A","hold"
"Stephen Hawking Voice Generator","stephen-hawking-voice-generator","stephen hawking voice generator","Batch 4","10","medium","high","low","Audio generation requires complex backend/API, holding for now","N/A","hold"
"Robotic Voice Generator","robotic-voice-generator","robotic voice generator","Batch 4","10","medium","high","low","Audio generation requires complex backend/API, holding for now","N/A","hold"
"Sam Voice Generator","sam-voice-generator","sam voice generator","Batch 4","10","medium","high","low","Audio generation requires complex backend/API, holding for now","N/A","hold"
"Girl Voice Generator","girl-voice-generator","girl voice generator","Batch 4","10","medium","high","low","Audio generation requires complex backend/API, holding for now","N/A","hold"
"Analog Horror Voice Generator","analog-horror-voice-generator","analog horror voice generator","Batch 4","10","medium","high","low","Audio generation requires complex backend/API, holding for now","N/A","hold"
"Speak Spell Voice Generator","speak-spell-voice-generator","speak spell voice generator","Batch 4","10","medium","high","low","Audio generation requires complex backend/API, holding for now","N/A","hold"
"Leet Voice Generator","leet-voice-generator","leet voice generator","Batch 4","10","medium","high","low","Audio generation requires complex backend/API, holding for now","N/A","hold"
