slug,classification,reason,recommended_next_action,touch_priority
ao3-tag-generator,keep_noindex_risky,"Brand/platform/fandom-adjacent tag tool; risk of platform abuse, copyrighted-work metadata copying, and unofficial affiliation signals remains high.","Do not touch until a broader brand/IP and platform policy pass defines safe boundaries.",do_not_touch
random-address-generator,keep_noindex_risky,"Fake identity/location data can enable deception, fraud, account abuse, false records, or evasion.","Do not index; only consider if converted to clearly fictional/sample address placeholders with strong abuse controls.",do_not_touch
fake-name-generator,keep_noindex_risky,"Fake identity tool can support impersonation, evasion, account abuse, synthetic identity misuse, or deceptive records.","Do not index; only consider if repositioned as fictional character/sample-data helper.",do_not_touch
pin-generator,already_hardened_but_hold,"Security-sensitive numeric secret generator; current framing treats outputs as samples, but credential-adjacent use remains high risk.","Hold noindex; keep as sample/demo utility only.",hold
ransom-note-text-generator,keep_noindex_risky,"Threat-adjacent typography tool; even decorative framing can be misused for intimidation, coercion, extortion aesthetics, or harassment.","Do not index; avoid expansion beyond safe fictional/prop framing.",do_not_touch
sith-name-generator,keep_noindex_risky,"Brand/IP-adjacent name tool with protected franchise signal and unofficial affiliation risk.","Do not touch until brand/IP strategy is settled.",do_not_touch
api-key-generator,already_hardened_but_hold,"Security-sensitive token-like output; hardened as sample/demo placeholders, but still credential-adjacent.","Hold noindex; avoid claims of production security suitability.",hold
license-key-generator,already_hardened_but_hold,"License-key-like output can be confused with entitlement, software activation, piracy, or access material even when sample-labeled.","Hold noindex; keep sample/demo-only framing.",hold
recovery-code-generator,already_hardened_but_hold,"Account recovery-code-like output is security-sensitive and could be mistaken for real backup credentials.","Hold noindex; keep sample/demo-only framing.",hold
invoice-generator,keep_noindex_risky,"Official-record, debt, tax, accounting, and payment-adjacent document tool; misuse risk remains even after premium safeguards.","Keep noindex; do not index without much deeper accounting/legal/payment review.",do_not_touch
x-post-generator,needs_deeper_policy_review,"Platform posting helper; needs deeper platform-abuse, misinformation, harassment, spam, ads/affiliate, and deceptive engagement review before indexing.","Run dedicated social/posting policy review and premium-output audit.",policy_review
jwt-generator,already_hardened_but_hold,"Security/auth token-adjacent output; sample JWT structures can be confused with production auth material.","Hold noindex; avoid production auth, signing, or security guarantees.",hold
receipt-generator,keep_noindex_risky,"Official proof-of-payment and tax/accounting-adjacent document tool; misuse risk remains even after premium safeguards.","Keep noindex; do not index without much deeper accounting/legal/payment review.",do_not_touch
star-wars-name-generator,keep_noindex_risky,"Brand/IP-adjacent name tool with protected franchise signal and unofficial affiliation risk.","Do not touch until brand/IP strategy is settled.",do_not_touch
roblox-name-generator,keep_noindex_risky,"Brand/platform/IP-adjacent name tool with username/platform affiliation, availability, and impersonation risks.","Do not touch until brand/IP and platform strategy is settled.",do_not_touch
harry-potter-name-generator,keep_noindex_risky,"Brand/IP-adjacent name tool with protected franchise signal and unofficial affiliation risk.","Do not touch until brand/IP strategy is settled.",do_not_touch
pokemon-name-generator,keep_noindex_risky,"Brand/IP-adjacent name tool with protected franchise signal and unofficial affiliation risk.","Do not touch until brand/IP strategy is settled.",do_not_touch
fortnite-name-generator,keep_noindex_risky,"Brand/platform/IP-adjacent name tool with username/platform affiliation and availability risks.","Do not touch until brand/IP and platform strategy is settled.",do_not_touch
minecraft-name-generator,keep_noindex_risky,"Brand/platform/IP-adjacent name tool with protected-game signal and unofficial affiliation risk.","Do not touch until brand/IP strategy is settled.",do_not_touch
valorant-name-generator,keep_noindex_risky,"Brand/platform/IP-adjacent name tool with protected-game signal and unofficial affiliation risk.","Do not touch until brand/IP strategy is settled.",do_not_touch
league-of-legends-name-generator,keep_noindex_risky,"Brand/platform/IP-adjacent name tool with protected-game signal and unofficial affiliation risk.","Do not touch until brand/IP strategy is settled.",do_not_touch
minecraft-text-generator,keep_noindex_risky,"Brand/IP-adjacent text style tool with protected-game signal and unofficial affiliation risk.","Do not touch until brand/IP strategy is settled.",do_not_touch
dark-souls-text-generator,keep_noindex_risky,"Brand/IP-adjacent text style tool with protected-game signal and unofficial affiliation risk.","Do not touch until brand/IP strategy is settled.",do_not_touch
star-wars-text-generator,keep_noindex_risky,"Brand/IP-adjacent text style tool with protected franchise signal and unofficial affiliation risk.","Do not touch until brand/IP strategy is settled.",do_not_touch
spongebob-text-generator,keep_noindex_risky,"Brand/IP-adjacent text style tool with protected character/franchise signal and unofficial affiliation risk.","Do not touch until brand/IP strategy is settled.",do_not_touch
undertale-text-generator,keep_noindex_risky,"Brand/IP-adjacent text style tool with protected-game signal and unofficial affiliation risk.","Do not touch until brand/IP strategy is settled.",do_not_touch
pokemon-text-generator,keep_noindex_risky,"Brand/IP-adjacent text style tool with protected franchise signal and unofficial affiliation risk.","Do not touch until brand/IP strategy is settled.",do_not_touch
roblox-username-generator,keep_noindex_risky,"Brand/platform/IP-adjacent username tool with availability, impersonation, account-abuse, and platform-rule risks.","Do not touch until brand/IP and platform strategy is settled.",do_not_touch
