slug,name,categorySlug,generatorType,premium_done,basic_or_generic,missing_intent_specific_output,generic_fallback_only,has_renderer_case,built_page_exists,noindex_expected,noindex_follow_rendered,missing_required_fields,missing_meta,invalid_category_slug,broken_related_slugs,duplicate_slug,mojibake_source_markers,mojibake_built_markers,notes
fancy-text-generator,Fancy Text Generator,text-font-generators,text-transform,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
name-generator,Name Generator,name-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
username-generator,Username Generator,name-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
business-name-generator,Business Name Generator,business-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
youtube-tag-generator,YouTube Tag Generator,social-media-tools,template,yes,no,no,no,yes,yes,yes,yes,,,no,,no,0,0,
instagram-bio-generator,Instagram Bio Generator,bio-caption-generators,template,yes,no,no,no,yes,yes,yes,yes,,,no,,no,0,0,
meta-tag-generator,Meta Tag Generator,seo-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
bold-text-generator,Bold Text Generator,text-font-generators,text-transform,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
cursive-text-generator,Cursive Text Generator,text-font-generators,text-transform,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
glitch-text-generator,Glitch Text Generator,text-font-generators,text-transform,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
password-generator,Password Generator,utility-generators,utility,yes,no,no,no,yes,yes,yes,yes,,,no,,no,0,0,
lorem-ipsum-generator,Lorem Ipsum Generator,utility-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
fantasy-name-generator,Fantasy Name Generator,gaming-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
instagram-hashtag-generator,Instagram Hashtag Generator,social-media-tools,template,yes,no,no,no,yes,yes,yes,yes,,,no,,no,0,0,
text-case-converter,Text Case Converter,utility-generators,text-transform,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
team-name-generator,Team Name Generator,name-generators,random-combo,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
robots-txt-generator,Robots.txt Generator,seo-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
word-counter,Word Counter,utility-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
uuid-generator,UUID Generator,developer-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
random-number-generator,Random Number Generator,random-generators,utility,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
small-text-generator,Small Text Generator,text-font-generators,text-transform,yes,no,no,no,yes,yes,no,yes,,,no,,no,0,0,
