slug,tool_name,categorySlug,has_intent_specific_output,classification,noindex_tool,built_robots_meta,noindex_follow_render_ok,broken_relatedSlugs,invalid_categorySlug,missing_meta_title_or_description,missing_required_fields,built_html_mojibake_marker_count,issues
fancy-text-generator,Fancy Text Generator,text-font-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
name-generator,Name Generator,name-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
username-generator,Username Generator,name-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
business-name-generator,Business Name Generator,business-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
youtube-tag-generator,YouTube Tag Generator,social-media-tools,yes,premium_done,yes,"noindex, follow",yes,,,no,,0,
instagram-bio-generator,Instagram Bio Generator,bio-caption-generators,yes,premium_done,yes,"noindex, follow",yes,,,no,,0,
meta-tag-generator,Meta Tag Generator,seo-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
bold-text-generator,Bold Text Generator,text-font-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
cursive-text-generator,Cursive Text Generator,text-font-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
glitch-text-generator,Glitch Text Generator,text-font-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
password-generator,Password Generator,utility-generators,yes,premium_done,yes,"noindex, follow",yes,,,no,,0,
lorem-ipsum-generator,Lorem Ipsum Generator,utility-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
fantasy-name-generator,Fantasy Name Generator,gaming-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
instagram-hashtag-generator,Instagram Hashtag Generator,social-media-tools,yes,premium_done,yes,"noindex, follow",yes,,,no,,0,
text-case-converter,Text Case Converter,utility-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
team-name-generator,Team Name Generator,name-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
robots-txt-generator,Robots.txt Generator,seo-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
word-counter,Word Counter,utility-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
uuid-generator,UUID Generator,developer-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
random-number-generator,Random Number Generator,random-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
small-text-generator,Small Text Generator,text-font-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
italic-text-generator,Italic Text Generator,text-font-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
strikethrough-text-generator,Strikethrough Text Generator,text-font-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
underline-text-generator,Underline Text Generator,text-font-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
vaporwave-text-generator,Vaporwave Text Generator,text-font-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
reverse-text-generator,Reverse Text Generator,text-font-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
unicode-text-generator,Unicode Text Generator,text-font-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
tiktok-hashtag-generator,TikTok Hashtag Generator,social-media-tools,yes,premium_done,yes,"noindex, follow",yes,,,no,,0,
twitter-bio-generator,Twitter/X Bio Generator,bio-caption-generators,yes,premium_done,yes,"noindex, follow",yes,,,no,,0,
tiktok-bio-generator,TikTok Bio Generator,bio-caption-generators,yes,premium_done,yes,"noindex, follow",yes,,,no,,0,
linkedin-bio-generator,LinkedIn Bio Generator,bio-caption-generators,yes,premium_done,yes,"noindex, follow",yes,,,no,,0,
domain-name-generator,Domain Name Generator,business-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
product-name-generator,Product Name Generator,business-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
baby-name-generator,Baby Name Generator,name-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
middle-name-generator,Middle Name Generator,name-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
last-name-generator,Last Name Generator,name-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
discord-name-generator,Discord Name Generator,name-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
clan-name-generator,Clan Name Generator,gaming-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
band-name-generator,Band Name Generator,creative-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
superhero-name-generator,Superhero Name Generator,creative-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
rap-name-generator,Rap Name Generator,creative-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
song-name-generator,Song Name Generator,creative-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
paragraph-generator,Paragraph Generator,ai-writing-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
sentence-generator,Sentence Generator,ai-writing-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
blog-name-generator,Blog Name Generator,ai-writing-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
pirate-name-generator,Pirate Name Generator,gaming-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
medieval-name-generator,Medieval Name Generator,gaming-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
hreflang-tag-generator,Hreflang Tag Generator,seo-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
schema-tag-generator,Schema Markup Generator,seo-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
slug-generator,URL Slug Generator,developer-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
hash-generator,Hash Generator,developer-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
json-formatter,JSON Formatter,developer-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
coin-flip,Coin Flip Generator,random-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
dice-roller,Dice Roller,random-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
color-palette-generator,Color Palette Generator,developer-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
town-name-generator,Town Name Generator,gaming-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
kingdom-name-generator,Kingdom Name Generator,gaming-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
dragon-name-generator,Dragon Name Generator,gaming-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
wolf-name-generator,Wolf Name Generator,gaming-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
demon-name-generator,Demon Name Generator,gaming-generators,yes,premium_done,yes,"noindex, follow",yes,,,no,,0,
elf-name-generator,Elf Name Generator,gaming-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
podcast-name-generator,Podcast Name Generator,creative-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
youtube-name-generator,YouTube Channel Name Generator,creative-generators,yes,premium_done,yes,"noindex, follow",yes,,,no,,0,
instagram-caption-generator,Instagram Caption Generator,bio-caption-generators,yes,premium_done,yes,"noindex, follow",yes,,,no,,0,
nickname-generator,Nickname Generator,name-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
hashtag-generator,Hashtag Generator,social-media-tools,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
etsy-tag-generator,Etsy Tag Generator,seo-generators,yes,premium_done,yes,"noindex, follow",yes,,,no,,0,
writing-prompt-generator,Writing Prompt Generator,ai-writing-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
text-to-binary-generator,Text to Binary Converter,developer-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
morse-code-generator,Morse Code Generator,developer-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
star-wars-name-generator,Star Wars Name Generator,gaming-generators,yes,premium_done,yes,"noindex, follow",yes,,,no,,0,
anime-name-generator,Anime Name Generator,creative-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
fake-name-generator,Fake Name Generator,utility-generators,yes,premium_done,yes,"noindex, follow",yes,,,no,,0,
qr-code-text-generator,QR Code Text Generator,utility-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
dnd-name-generator,D&D Name Generator,gaming-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
orc-name-generator,Orc Name Generator,gaming-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
witch-name-generator,Witch Name Generator,gaming-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
alien-name-generator,Alien Name Generator,gaming-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
vampire-name-generator,Vampire Name Generator,gaming-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
fairy-name-generator,Fairy Name Generator,gaming-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
goblin-name-generator,Goblin Name Generator,gaming-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
character-name-generator,Character Name Generator,creative-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
story-name-generator,Story Title Generator,creative-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
twitch-name-generator,Twitch Name Generator,creative-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
random-phrase-generator,Random Phrase Generator,random-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
special-character-generator,Special Character Generator,text-font-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
ascii-text-generator,ASCII Text Art Generator,text-font-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
creepy-text-generator,Creepy Text Generator,text-font-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
gaming-name-generator,Gaming Name Generator,gaming-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
guild-name-generator,Guild Name Generator,gaming-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
planet-name-generator,Planet Name Generator,gaming-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
island-name-generator,Island Name Generator,gaming-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
shop-name-generator,Shop Name Generator,business-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
cafe-name-generator,Cafe Name Generator,business-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
project-name-generator,Project Name Generator,business-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
stage-name-generator,Stage Name Generator,creative-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
wrestling-name-generator,Wrestling Name Generator,creative-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
cool-text-generator,Cool Text Generator,text-font-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
old-english-text-generator,Old English Text Generator,text-font-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
uwu-text-generator,UwU Text Generator,text-font-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
leet-text-generator,Leet Speak Generator,text-font-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
random-text-generator,Random Text Generator,random-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
discord-timestamp-generator,Discord Timestamp Generator,developer-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
canonical-tag-generator,Canonical Tag Generator,seo-generators,yes,premium_done,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",n/a,,,no,,0,
