slug,sub_batch,group,outcome,source_change,status_reason,next_action
terms-generator,2a,legal_policy_tool,final_keep_noindex_policy_sensitive,no,"Premium and input-driven, but terms generation remains enforceability, consumer-rights, subscription, jurisdiction, and legal-reliance sensitive.","Keep noindex."
nda-generator,2a,legal_policy_tool,upgraded_and_ready_for_audit,yes,"Added stronger draft-only metadata, FAQ, options, disclaimer, and removed obsolete NDA fallback switch case; still requires deeper legal approval.","Keep noindex pending final legal audit."
service-agreement-generator,2a,legal_policy_tool,upgraded_and_ready_for_audit,yes,"Added stronger draft-only metadata, FAQ, options, disclaimer, relatedSlugs, and removed obsolete service-agreement fallback switch case; still requires deeper legal approval.","Keep noindex pending final legal audit."
invoice-generator,2a,business_official_record,final_keep_noindex_risky,no,"Invoice generation is official-record, debt, payment, tax, and accounting adjacent even with draft-only safeguards.","Keep noindex."
receipt-generator,2a,business_official_record,final_keep_noindex_risky,no,"Receipt generation is proof-of-payment, tax, accounting, and official-record adjacent even with draft-only safeguards.","Keep noindex."
ao3-tag-generator,2a,brand_ip_platform,final_keep_noindex_brand_ip_or_fake_identity,no,"AO3/platform/fandom tag tooling is brand/platform/fandom adjacent and can imply unofficial affiliation or metadata abuse.","Keep noindex."
random-address-generator,2a,fake_identity,final_keep_noindex_brand_ip_or_fake_identity,no,"Fake address/location data can enable deception, fraud, account abuse, false records, or evasion.","Keep noindex."
fake-name-generator,2a,fake_identity,final_keep_noindex_brand_ip_or_fake_identity,no,"Fake identity output can enable impersonation, evasion, synthetic identity misuse, or deceptive records.","Keep noindex."
pin-generator,2a,security_sensitive,final_keep_noindex_security_sensitive,no,"PIN-like numeric secret generation is credential-adjacent and high-stakes even when sample-framed.","Keep noindex."
ransom-note-text-generator,2a,threat_adjacent,final_keep_noindex_risky,no,"Threat-adjacent typography can support intimidation, coercion, extortion aesthetics, or harassment.","Keep noindex."
sith-name-generator,2b,brand_ip_platform,final_keep_noindex_brand_ip_or_fake_identity,no,"Protected franchise/IP name tool with unofficial affiliation and brand-signal risk.","Keep noindex."
api-key-generator,2b,security_sensitive,final_keep_noindex_security_sensitive,no,"API-key-like output is credential-adjacent and can be confused with production secrets.","Keep noindex."
license-key-generator,2b,security_sensitive,final_keep_noindex_security_sensitive,no,"License-key-like output can be confused with entitlement, activation, piracy, or access material.","Keep noindex."
recovery-code-generator,2b,security_sensitive,final_keep_noindex_security_sensitive,no,"Recovery-code-like output is account-security sensitive and can be mistaken for real backup credentials.","Keep noindex."
jwt-generator,2b,security_sensitive,final_keep_noindex_security_sensitive,no,"JWT-like output is auth/security sensitive and can be confused with production token material.","Keep noindex."
password-generator,2b,security_sensitive,final_keep_noindex_security_sensitive,no,"Password generation is security-sensitive and high-stakes even with browser-local framing.","Keep noindex."
token-generator,2b,security_sensitive,final_keep_noindex_security_sensitive,no,"Token-like output is credential-adjacent and high-stakes even with demo-safe framing.","Keep noindex."
star-wars-name-generator,2b,brand_ip_platform,final_keep_noindex_brand_ip_or_fake_identity,no,"Protected franchise/IP name tool with unofficial affiliation risk.","Keep noindex."
roblox-name-generator,2b,brand_ip_platform,final_keep_noindex_brand_ip_or_fake_identity,no,"Brand/platform/IP name tool with account, availability, impersonation, and platform-rule risks.","Keep noindex."
harry-potter-name-generator,2b,brand_ip_platform,final_keep_noindex_brand_ip_or_fake_identity,no,"Protected franchise/IP name tool with unofficial affiliation risk.","Keep noindex."
pokemon-name-generator,2c,brand_ip_platform,final_keep_noindex_brand_ip_or_fake_identity,no,"Protected franchise/IP name tool with unofficial affiliation risk.","Keep noindex."
fortnite-name-generator,2c,brand_ip_platform,final_keep_noindex_brand_ip_or_fake_identity,no,"Brand/platform/IP name tool with account, availability, and unofficial affiliation risks.","Keep noindex."
minecraft-name-generator,2c,brand_ip_platform,final_keep_noindex_brand_ip_or_fake_identity,no,"Protected game/platform name tool with unofficial affiliation risk.","Keep noindex."
valorant-name-generator,2c,brand_ip_platform,final_keep_noindex_brand_ip_or_fake_identity,no,"Protected game/platform name tool with unofficial affiliation risk.","Keep noindex."
league-of-legends-name-generator,2c,brand_ip_platform,final_keep_noindex_brand_ip_or_fake_identity,no,"Protected game/platform name tool with unofficial affiliation risk.","Keep noindex."
minecraft-text-generator,2c,brand_ip_platform,final_keep_noindex_brand_ip_or_fake_identity,no,"Protected game/IP text-style tool with unofficial affiliation risk.","Keep noindex."
dark-souls-text-generator,2c,brand_ip_platform,final_keep_noindex_brand_ip_or_fake_identity,no,"Protected game/IP text-style tool with unofficial affiliation risk.","Keep noindex."
star-wars-text-generator,2c,brand_ip_platform,final_keep_noindex_brand_ip_or_fake_identity,no,"Protected franchise/IP text-style tool with unofficial affiliation risk.","Keep noindex."
spongebob-text-generator,2c,brand_ip_platform,final_keep_noindex_brand_ip_or_fake_identity,no,"Protected character/franchise/IP text-style tool with unofficial affiliation risk.","Keep noindex."
undertale-text-generator,2d,brand_ip_platform,final_keep_noindex_brand_ip_or_fake_identity,no,"Protected game/IP text-style tool with unofficial affiliation risk.","Keep noindex."
pokemon-text-generator,2d,brand_ip_platform,final_keep_noindex_brand_ip_or_fake_identity,no,"Protected franchise/IP text-style tool with unofficial affiliation risk.","Keep noindex."
roblox-username-generator,2d,brand_ip_platform,final_keep_noindex_brand_ip_or_fake_identity,no,"Brand/platform/IP username tool with availability, impersonation, account-abuse, and platform-rule risks.","Keep noindex."
facebook-hashtag-generator,2d,social_tag_tool,final_keep_noindex_policy_sensitive,no,"Platform hashtag generation remains platform/spam/reach-abuse sensitive and lacks final approval-to-index artifact.","Keep noindex."
