"slug","page_loads","correct_title","input_panel_ok","options_ok","output_panel_ok","copy_buttons_visible","mobile_layout_risk","visual_quality","issue_found","recommended_fix"
"cursive-text-generator","yes","yes","yes","yes","yes","yes","low","premium","none","none"
"fancy-text-generator","yes","yes","yes","yes","yes","yes","low","premium","none","none"
"business-name-generator","yes","yes","yes","yes","yes","yes","low","premium","none","none"
"gaming-name-generator","yes","yes","yes","yes","yes","yes","low","premium","none","none"
"color-palette-generator","yes","yes","yes","yes","yes","yes","low","premium","none","none"
"price-tag-generator","yes","yes","yes","yes","yes","yes","low","premium","none","none"
"fantasy-map-generator","yes","yes","yes","yes","yes","yes","low","premium","none","Fixed in shared visual polish pass."
"bio-generator","yes","yes","yes","yes","yes","yes","low","premium","none","none"
"hashtag-generator","yes","yes","yes","yes","yes","yes","low","premium","none","none"
"domain-name-generator","yes","yes","yes","yes","yes","yes","low","premium","none","none"
"blog-outline-generator","yes","yes","yes","yes","yes","yes","low","premium","none","none"
"cover-letter-generator","yes","yes","yes","yes","yes","yes","low","premium","none","none"
"author-bio-generator","yes","yes","yes","yes","yes","yes","low","premium","none","none"
"instagram-bio-generator","yes","yes","yes","yes","yes","yes","low","premium","none","none"
"headline-generator","yes","yes","yes","yes","yes","yes","low","premium","none","none"
"youtube-description-generator","yes","yes","yes","yes","yes","yes","low","premium","none","none"
"call-to-action-generator","yes","yes","yes","yes","yes","yes","low","premium","none","none"
"cold-email-generator","yes","yes","yes","yes","yes","yes","low","premium","none","none"
"content-brief-generator","yes","yes","yes","yes","yes","yes","low","premium","none","none"
"css-button-generator","yes","yes","yes","yes","yes","yes","low","premium","none","Fixed in shared visual polish pass."
"twitter-bio-generator","yes","yes","yes","yes","yes","yes","low","premium","none","none"
"linkedin-bio-generator","yes","yes","yes","yes","yes","yes","low","premium","none","none"
"facebook-post-generator","yes","yes","yes","yes","yes","yes","low","premium","none","none"
"social-media-post-generator","yes","yes","yes","yes","yes","yes","low","premium","none","none"
"product-description-generator","yes","yes","yes","yes","yes","yes","low","premium","none","none"
"email-subject-generator","yes","yes","yes","yes","yes","yes","low","premium","none","none"
"newsletter-name-generator","yes","yes","yes","yes","yes","yes","low","premium","none","none"
"brand-kit-generator","yes","yes","yes","yes","yes","yes","low","premium","none","none"
"business-card-generator","yes","yes","yes","yes","yes","yes","low","premium","none","none"
"customer-persona-generator","yes","yes","yes","yes","yes","yes","low","premium","none","none"
"logo-generator","yes","yes","yes","yes","yes","yes","low","premium","none","Fixed in shared visual polish pass."
"slogan-generator","yes","yes","yes","yes","yes","yes","low","premium","none","none"
"tagline-generator","yes","yes","yes","yes","yes","yes","low","premium","none","none"
"instagram-caption-generator","yes","yes","yes","yes","yes","yes","low","premium","none","none"
"tiktok-caption-generator","yes","yes","yes","yes","yes","yes","low","premium","none","none"
"resume-summary-generator","yes","yes","yes","yes","yes","yes","low","premium","none","none"
"citation-generator","yes","yes","yes","yes","yes","yes","low","premium","none","none"
"name-generator","yes","yes","yes","yes","yes","yes","low","premium","none","none"
"username-generator","yes","yes","yes","yes","yes","yes","low","premium","none","none"
"display-name-generator","yes","yes","yes","yes","yes","yes","low","premium","none","none"
"password-generator","yes","yes","yes","yes","yes","yes","low","premium","none","Fixed in shared visual polish pass."
"qr-code-generator","yes","yes","yes","yes","yes","yes","low","premium","none","Fixed in shared visual polish pass."
"email-signature-generator","yes","yes","yes","yes","yes","yes","low","premium","none","Fixed in shared visual polish pass."
"invoice-generator","yes","yes","yes","yes","yes","yes","low","premium","none","none"
"privacy-policy-generator","yes","yes","yes","yes","yes","yes","low","premium","none","none"
"terms-generator","yes","yes","yes","yes","yes","yes","low","premium","none","none"
"meta-description-generator","yes","yes","yes","yes","yes","yes","low","premium","none","none"
"seo-title-generator","yes","yes","yes","yes","yes","yes","low","premium","none","none"
"schema-tag-generator","yes","yes","yes","yes","yes","yes","low","premium","none","Fixed in shared visual polish pass."
"robots-txt-generator","yes","yes","yes","yes","yes","yes","low","premium","none","Fixed in shared visual polish pass."
"utm-generator","yes","yes","yes","yes","yes","yes","low","premium","none","Fixed in shared visual polish pass."
"slug-generator","yes","yes","yes","yes","yes","yes","low","premium","none","none"
