"canonicalToolId","language","localized primary keyword","localized slug","localized H1","localized meta title","localized meta description","localized intro summary","localized FAQ topic ideas","same-tool language switch route","search intent note","risk/safety note if needed"
"name-generator","es","generador de nombres","generador-de-nombres","Generador de nombres","Generador de nombres gratis","Crea ideas de nombres claras para proyectos, personajes, marcas o listas personales con resultados faciles de revisar.","Genera nombres en espanol con opciones amplias y revisa cada sugerencia antes de usarla en publico.","como elegir un nombre; nombres originales; revisar disponibilidad","/es/tools/generador-de-nombres/","High same-intent utility query; Spanish users search directly for name ideas.","Low risk; remind users to check trademarks and availability."
"name-generator","fr","generateur de noms","generateur-de-noms","Generateur de noms","Generateur de noms gratuit","Trouvez des idees de noms naturelles pour projets, personnages, marques ou listes personnelles.","Generez des noms en francais puis verifiez le sens, la disponibilite et le contexte avant usage.","choisir un nom; noms originaux; verifier un nom","/fr/tools/generateur-de-noms/","Strong direct French generator intent.","Low risk; include availability and trademark review note."
"name-generator","de","namensgenerator","namensgenerator","Namensgenerator","Namensgenerator kostenlos","Erstelle passende Namensideen fuer Projekte, Figuren, Marken oder persoenliche Listen.","Der Generator liefert deutsche und international nutzbare Namensideen, die vor der Nutzung geprueft werden sollten.","namen finden; originelle namen; verfuegbarkeit pruefen","/de/tools/namensgenerator/","German compound is the natural local head term.","Low risk; advise trademark and domain checks."
"username-generator","es","generador de nombres de usuario","generador-de-nombres-de-usuario","Generador de nombres de usuario","Generador de nombres de usuario gratis","Encuentra ideas de usuario para perfiles, cuentas y proyectos sin prometer disponibilidad en plataformas.","Crea nombres de usuario memorables y revisa si estan libres antes de registrarlos.","usuarios originales; usuario para redes; comprobar disponibilidad","/es/tools/generador-de-nombres-de-usuario/","Local intent is account handle discovery, not identity claims.","Avoid platform guarantees or impersonation angles."
"username-generator","fr","generateur de pseudo","generateur-de-pseudo","Generateur de pseudo","Generateur de pseudo gratuit","Creez des idees de pseudos pour comptes, jeux et profils avec une formulation simple a verifier.","Trouvez un pseudo naturel et controlez sa disponibilite sur le service ou vous voulez l'utiliser.","pseudo original; pseudo court; disponibilite du pseudo","/fr/tools/generateur-de-pseudo/","French users commonly search pseudo rather than literal nom d'utilisateur.","Avoid impersonation, platform-specific promises, or availability guarantees."
"username-generator","de","benutzernamen generator","benutzernamen-generator","Benutzernamen Generator","Benutzernamen Generator kostenlos","Finde Ideen fuer Benutzernamen fuer Profile, Konten und kreative Projekte.","Erstelle Vorschlaege fuer Nutzernamen und pruefe anschliessend, ob sie noch frei sind.","benutzername ideen; username finden; verfuegbarkeit pruefen","/de/tools/benutzernamen-generator/","German query often mixes native term and generator.","Avoid implying account availability or identity misuse."
"business-name-generator","es","generador de nombres para empresas","generador-de-nombres-para-empresas","Generador de nombres para empresas","Generador de nombres para empresas gratis","Genera ideas de nombres comerciales para nuevos negocios, servicios y proyectos profesionales.","Explora nombres de empresa y valida significado, dominio y registro antes de decidir.","nombre de empresa; ideas de negocio; comprobar marca","/es/tools/generador-de-nombres-para-empresas/","Same-intent business naming query with commercial research intent.","Legal/trademark review required before use."
"business-name-generator","fr","generateur de nom d'entreprise","generateur-de-nom-dentreprise","Generateur de nom d'entreprise","Generateur de nom d'entreprise gratuit","Trouvez des idees de noms pour une entreprise, une activite ou un service professionnel.","Generez des pistes de noms puis verifiez marque, domaine et contexte sectoriel.","nom d'entreprise; idee de nom commercial; verifier une marque","/fr/tools/generateur-de-nom-dentreprise/","Direct French business-name intent.","Legal/trademark review required before use."
"business-name-generator","de","firmennamen generator","firmennamen-generator","Firmennamen Generator","Firmennamen Generator kostenlos","Erstelle Namensideen fuer Unternehmen, Dienstleistungen und neue Geschaeftsprojekte.","Nutze die Vorschlaege als Startpunkt und pruefe Marke, Domain und rechtliche Nutzung.","firmenname finden; geschaeftsname ideen; marke pruefen","/de/tools/firmennamen-generator/","German compound fits business naming demand.","Legal/trademark review required before launch."
"fantasy-name-generator","es","generador de nombres de fantasia","generador-de-nombres-de-fantasia","Generador de nombres de fantasia","Generador de nombres de fantasia gratis","Crea nombres de fantasia para historias, juegos de rol y mundos imaginarios sin usar marcas existentes.","Obtén ideas originales para personajes, lugares o especies ficticias y ajustalas al tono de tu mundo.","nombres fantasticos; nombres para rol; nombres de mundos","/es/tools/generador-de-nombres-de-fantasia/","Strong creative-writing and RPG intent.","Avoid protected franchise names and explicit IP references."
"fantasy-name-generator","fr","generateur de noms fantasy","generateur-de-noms-fantasy","Generateur de noms fantasy","Generateur de noms fantasy gratuit","Creez des noms fantasy pour romans, jeux de role et univers imaginaires.","Generez des pistes originales pour personnages, lieux ou peuples fictifs sans copier d'univers protege.","noms fantasy; noms jeu de role; noms de mondes","/fr/tools/generateur-de-noms-fantasy/","French SERPs often use the English loanword fantasy.","Avoid franchise/IP targeting."
"fantasy-name-generator","de","fantasy namensgenerator","fantasy-namensgenerator","Fantasy Namensgenerator","Fantasy Namensgenerator kostenlos","Erstelle Fantasy-Namen fuer Geschichten, Rollenspiele und eigene Welten.","Nutze die Vorschlaege fuer Figuren, Orte oder Voelker und vermeide geschuetzte Universen.","fantasy namen; rollenspiel namen; weltennamen","/de/tools/fantasy-namensgenerator/","Natural German query keeps Fantasy as loanword.","Avoid protected franchise names."
"character-name-generator","es","generador de nombres para personajes","generador-de-nombres-para-personajes","Generador de nombres para personajes","Generador de nombres para personajes gratis","Encuentra nombres para personajes de historias, juegos, guiones y proyectos creativos.","Genera ideas coherentes para personajes y adapta cada nombre al genero, epoca y tono.","nombres de personajes; personajes para historias; nombres para guion","/es/tools/generador-de-nombres-para-personajes/","Intent is creative character naming rather than real identities.","Avoid celebrity, impersonation, or protected character claims."
"character-name-generator","fr","generateur de noms de personnages","generateur-de-noms-de-personnages","Generateur de noms de personnages","Generateur de noms de personnages gratuit","Trouvez des noms pour personnages de romans, jeux, scenarios et projets creatifs.","Creez des idees de noms puis ajustez-les au genre, a l'epoque et au ton du recit.","noms de personnages; personnages roman; noms scenario","/fr/tools/generateur-de-noms-de-personnages/","Direct French creative-writing intent.","Avoid celebrity or protected-character targeting."
"character-name-generator","de","charakter namensgenerator","charakter-namensgenerator","Charakter Namensgenerator","Charakter Namensgenerator kostenlos","Finde Namen fuer Figuren in Geschichten, Spielen, Drehbuechern und kreativen Projekten.","Erstelle Figuren-Namen und passe sie an Genre, Zeit und Ton deiner Geschichte an.","charakter namen; figuren namen; namen fuer roman","/de/tools/charakter-namensgenerator/","German users use Charakter/Figur; chosen term matches tool naming searches.","Avoid celebrity or IP imitation."
"baby-name-generator","es","nombres de bebe","nombres-de-bebe","Generador de nombres de bebe","Nombres de bebe e ideas gratis","Explora ideas de nombres de bebe con un enfoque inspiracional, no medico ni legal.","Encuentra nombres para considerar en familia y verifica significado, pronunciacion y registro local.","nombres de nina; nombres de nino; significado de nombres","/es/tools/nombres-de-bebe/","Searchers prefer names list intent over literal generator wording.","Sensitive personal choice; avoid claims about legality or suitability."
"baby-name-generator","fr","generateur de prenoms","generateur-de-prenoms","Generateur de prenoms","Generateur de prenoms gratuit","Explorez des idees de prenoms pour bebe avec des suggestions faciles a comparer.","Generez des prenoms possibles et verifiez sens, prononciation et usage local.","prenoms fille; prenoms garcon; signification prenom","/fr/tools/generateur-de-prenoms/","French local intent is prenoms, not noms de bebe.","Sensitive personal choice; no legal or medical claims."
"baby-name-generator","de","babynamen generator","babynamen-generator","Babynamen Generator","Babynamen Generator kostenlos","Entdecke Ideen fuer Babynamen und vergleiche Klang, Bedeutung und Schreibweise.","Nutze die Vorschlaege als Inspiration und pruefe Bedeutung sowie lokale Namensregeln.","maedchennamen; jungennamen; bedeutung von namen","/de/tools/babynamen-generator/","Natural German query combines Babynamen and Generator.","Sensitive personal choice; avoid legal certainty."
"last-name-generator","es","generador de apellidos","generador-de-apellidos","Generador de apellidos","Generador de apellidos gratis","Crea apellidos ficticios o de estilo general para personajes, historias y ejemplos.","Genera apellidos para uso creativo y revisa sensibilidad cultural cuando corresponda.","apellidos para personajes; apellidos ficticios; apellidos originales","/es/tools/generador-de-apellidos/","Intent is creative surname generation.","Avoid implying real genealogy or ethnicity accuracy."
"last-name-generator","fr","generateur de noms de famille","generateur-de-noms-de-famille","Generateur de noms de famille","Generateur de noms de famille gratuit","Creez des noms de famille fictifs pour personnages, histoires et exemples.","Generez des idees de patronymes et relisez-les pour eviter les stereotypes ou confusions.","noms de famille fictifs; patronymes; noms personnages","/fr/tools/generateur-de-noms-de-famille/","Direct surname intent in French.","Avoid genealogy, ancestry, or ethnic accuracy claims."
"last-name-generator","de","nachnamen generator","nachnamen-generator","Nachnamen Generator","Nachnamen Generator kostenlos","Erstelle Nachnamen fuer Figuren, Geschichten und Beispielprofile.","Nutze die Vorschlaege kreativ und pruefe kulturelle Wirkung sowie Lesbarkeit.","nachnamen fuer figuren; fiktive nachnamen; familiennamen ideen","/de/tools/nachnamen-generator/","German compound has same creative surname intent.","Avoid ancestry or demographic claims."
"middle-name-generator","es","generador de segundo nombre","generador-de-segundo-nombre","Generador de segundo nombre","Generador de segundo nombre gratis","Encuentra ideas de segundo nombre para combinaciones personales, personajes o listas creativas.","Genera opciones que encajen con nombre y apellido, y revisa pronunciacion y contexto.","segundo nombre ideas; nombres compuestos; combinaciones de nombres","/es/tools/generador-de-segundo-nombre/","Spanish intent is narrower but aligned with middle-name selection.","Sensitive personal naming; no legal promises."
"middle-name-generator","fr","generateur de deuxieme prenom","generateur-de-deuxieme-prenom","Generateur de deuxieme prenom","Generateur de deuxieme prenom gratuit","Trouvez des idees de deuxieme prenom pour combinaisons personnelles ou personnages.","Comparez le rythme, le sens et la prononciation avant de retenir une option.","deuxieme prenom; prenoms composes; idee prenom","/fr/tools/generateur-de-deuxieme-prenom/","French concept maps better to deuxieme prenom than middle name.","Sensitive personal naming; no official advice."
"middle-name-generator","de","zweiter vorname generator","zweiter-vorname-generator","Zweiter Vorname Generator","Zweiter Vorname Generator kostenlos","Finde Ideen fuer einen zweiten Vornamen fuer Namenkombinationen und Figuren.","Vergleiche Klang, Bedeutung und Schreibweise, bevor du eine Option verwendest.","zweiter vorname; doppelnamen; vornamen kombinieren","/de/tools/zweiter-vorname-generator/","German intent maps to second given name.","Sensitive personal naming; no legal certainty."
"team-name-generator","es","generador de nombres de equipo","generador-de-nombres-de-equipo","Generador de nombres de equipo","Generador de nombres de equipo gratis","Crea nombres para equipos de trabajo, deportes recreativos, clases o grupos creativos.","Obtén ideas de equipo faciles de recordar y revisa tono, inclusion y originalidad.","nombres para equipos; nombres de grupos; nombres divertidos","/es/tools/generador-de-nombres-de-equipo/","Clear local team/group naming intent.","Avoid offensive, exclusive, or misleading group names."
"team-name-generator","fr","generateur de noms d'equipe","generateur-de-noms-dequipe","Generateur de noms d'equipe","Generateur de noms d'equipe gratuit","Creez des noms d'equipe pour projets, loisirs, classes ou groupes creatifs.","Trouvez une idee de nom d'equipe puis verifiez qu'elle reste claire et inclusive.","noms d'equipe; noms de groupe; equipe originale","/fr/tools/generateur-de-noms-dequipe/","Direct French team name query.","Avoid offensive or exclusionary wording."
"team-name-generator","de","teamnamen generator","teamnamen-generator","Teamnamen Generator","Teamnamen Generator kostenlos","Erstelle Namen fuer Teams, Gruppen, Freizeitprojekte oder Klassen.","Finde kurze Teamnamen und pruefe Ton, Lesbarkeit und Inklusivitaet.","teamnamen ideen; gruppennamen; lustige teamnamen","/de/tools/teamnamen-generator/","Natural German compound with broad team intent.","Avoid offensive or exclusionary wording."
"domain-name-generator","es","generador de nombres de dominio","generador-de-nombres-de-dominio","Generador de nombres de dominio","Generador de nombres de dominio gratis","Genera ideas de dominios para sitios, productos y negocios, sin garantizar disponibilidad.","Explora dominios posibles y comprueba disponibilidad, marca y extension antes de comprar.","ideas de dominio; dominio para web; comprobar dominio","/es/tools/generador-de-nombres-de-dominio/","Commercial domain discovery intent.","Do not promise domain availability or legal clearance."
"domain-name-generator","fr","generateur de nom de domaine","generateur-de-nom-de-domaine","Generateur de nom de domaine","Generateur de nom de domaine gratuit","Trouvez des idees de noms de domaine pour sites, produits et entreprises.","Generez des pistes puis verifiez disponibilite, extension et marque avant achat.","idee nom de domaine; domaine site web; verifier domaine","/fr/tools/generateur-de-nom-de-domaine/","Direct French domain ideation query.","No availability or legal guarantees."
