language,script_group,recommended_slug_strategy,localized_unicode_slug,romanized_slug,english_fallback_slug,hybrid_slug,notes
hi,Indic,romanized initially,Optional for final only,Recommended,Allowed as fallback,Allowed for ambiguous tools,"Use Hindi keyword in H1/meta; prefer romanized Hindi or English-hybrid slug until native-search evidence supports Unicode URLs."
es,Latin,localized Latin keyword,Recommended,Same as localized,Allowed only if keyword is borrowed,Allowed rarely,"Use natural Spanish slugs such as generador-de-nombres; preserve accents in content but normally strip accents in slug."
ru,Cyrillic,romanized Cyrillic keyword,Optional stored but not first launch,Recommended,Allowed as fallback,Allowed for technical terms,"Use Russian keyword in metadata; romanize slugs to avoid percent-encoded Cyrillic sharing issues."
fr,Latin,localized Latin keyword,Recommended,Same as localized,Allowed only if keyword is borrowed,Allowed rarely,"Use French keyword slugs such as generateur-de-noms; strip accents for stable ASCII routes."
de,Latin,localized Latin keyword,Recommended,Same as localized,Allowed only if keyword is borrowed,Allowed rarely,"Use German compounds where natural, e.g. namensgenerator; avoid awkward word-by-word translation."
it,Latin,localized Latin keyword,Recommended,Same as localized,Allowed only if keyword is borrowed,Allowed rarely,"Use Italian keyword order; keep slugs concise and intent-specific."
pt,Latin,localized Latin keyword,Recommended,Same as localized,Allowed only if keyword is borrowed,Allowed rarely,"Choose Brazilian vs neutral Portuguese intentionally; default to broad pt unless later split pt-BR/pt-PT."
bn,Indic,romanized initially,Optional for final only,Recommended,Allowed as fallback,Allowed for ambiguous tools,"Use Bengali script in visible content; romanized slug is safer for URL handling and sharing."
ja,East Asian,romanized or English-hybrid,Optional stored but not first launch,Recommended,Allowed for common generator terms,Recommended for technical tools,"Use Japanese keyword in H1/title; slugs can use romanized intent plus generator for readability."
ko,East Asian,romanized or English-hybrid,Optional stored but not first launch,Recommended,Allowed for common generator terms,Recommended for technical tools,"Use Korean keyword in H1/title; romanized or English-hybrid slugs reduce encoded URL friction."
ms,Latin,localized Latin keyword,Recommended,Same as localized,Allowed for borrowed terms,Allowed for technical tools,"Malay often borrows English technical terms; validate local SERP before forcing translation."
pl,Latin,localized Latin keyword,Recommended,Same as localized,Allowed only if keyword is borrowed,Allowed rarely,"Use Polish local keyword with ASCII-normalized diacritics in slug."
id,Latin,localized Latin keyword,Recommended,Same as localized,Allowed for borrowed terms,Allowed for technical tools,"Indonesian technical queries may mix English; choose by local SERP intent."
ar,Arabic,romanized initially,Optional stored but not first launch,Recommended,Allowed as fallback,Allowed for technical tools,"Use Arabic RTL content and Arabic keyword metadata; romanized slugs avoid percent-encoding and directionality issues."
bg,Cyrillic,romanized Cyrillic keyword,Optional stored but not first launch,Recommended,Allowed as fallback,Allowed for technical terms,"Use Bulgarian keyword in content; romanized slug for stable routing."
tr,Latin,localized Latin keyword,Recommended,Same as localized,Allowed only if keyword is borrowed,Allowed rarely,"Use Turkish local keyword; strip diacritics in slug for stable ASCII."
sv,Latin,localized Latin keyword,Recommended,Same as localized,Allowed for borrowed terms,Allowed for technical tools,"Use Swedish local query phrase; avoid overly long compounds when SERPs prefer English loan terms."
