rank,slug,tool_name,category,index_priority,has_intent_specific_logic,output_quality,ui_quality,upgrade_priority,reason,recommended_next_action,classification
1,pet-tag-generator,Pet Tag Generator,Utility Generators,high,yes,okay,good,high,"Safe, clear keyword intent with current output that is still mostly basic list/text; it can benefit from option-aware premium groups and per-result copy.",Select for Pass 17 intent-specific premium upgrade.,needs_premium_upgrade
2,dj-tag-generator,DJ Tag Generator,Utility Generators,high,yes,okay,good,high,"Safe, clear keyword intent with current output that is still mostly basic list/text; it can benefit from option-aware premium groups and per-result copy.",Select for Pass 17 intent-specific premium upgrade.,needs_premium_upgrade
3,clan-tag-generator,Clan Tag Generator,Utility Generators,high,yes,okay,good,high,"Safe, clear keyword intent with current output that is still mostly basic list/text; it can benefit from option-aware premium groups and per-result copy.",Select for Pass 17 intent-specific premium upgrade.,needs_premium_upgrade
4,art-tag-generator,Art Tag Generator,Utility Generators,high,yes,okay,good,high,"Safe, clear keyword intent with current output that is still mostly basic list/text; it can benefit from option-aware premium groups and per-result copy.",Select for Pass 17 intent-specific premium upgrade.,needs_premium_upgrade
5,email-tag-generator,Email Tag Generator,Utility Generators,high,yes,okay,good,high,"Safe, clear keyword intent with current output that is still mostly basic list/text; it can benefit from option-aware premium groups and per-result copy.",Select for Pass 17 intent-specific premium upgrade.,needs_premium_upgrade
6,tag-team-name-generator,Tag Team Name Generator,Creative & Story Generators,high,yes,okay,good,high,"Safe, clear keyword intent with current output that is still mostly basic list/text; it can benefit from option-aware premium groups and per-result copy.",Select for Pass 17 intent-specific premium upgrade.,needs_premium_upgrade
7,secret-santa-name-generator,Secret Santa Name Generator,Utility Generators,high,yes,okay,good,high,"Safe, clear keyword intent with current output that is still mostly basic list/text; it can benefit from option-aware premium groups and per-result copy.",Select for Pass 17 intent-specific premium upgrade.,needs_premium_upgrade
8,anagram-of-name-generator,Anagram Of Name Generator,Utility Generators,high,yes,okay,good,high,"Safe, clear keyword intent with current output that is still mostly basic list/text; it can benefit from option-aware premium groups and per-result copy.",Select for Pass 17 intent-specific premium upgrade.,needs_premium_upgrade
9,last-name-and-first-name-generator,First And Last Name Generator,Name Generators,high,yes,okay,good,high,"Safe, clear keyword intent with current output that is still mostly basic list/text; it can benefit from option-aware premium groups and per-result copy.",Select for Pass 17 intent-specific premium upgrade.,needs_premium_upgrade
10,baby-name-generator-with-last-name,Baby Name Generator With Last Name,Name Generators,high,yes,okay,good,high,"Safe, clear keyword intent with current output that is still mostly basic list/text; it can benefit from option-aware premium groups and per-result copy.",Select for Pass 17 intent-specific premium upgrade.,needs_premium_upgrade
11,nickname-generator-based-on-name,Nickname Generator Based On Name,Name Generators,high,yes,okay,good,high,"Safe, clear keyword intent with current output that is still mostly basic list/text; it can benefit from option-aware premium groups and per-result copy.",Select for Pass 17 intent-specific premium upgrade.,needs_premium_upgrade
12,phonetic-spelling-of-name-generator,Phonetic Spelling Generator,Utility Generators,high,yes,okay,good,high,"Safe, clear keyword intent with current output that is still mostly basic list/text; it can benefit from option-aware premium groups and per-result copy.",Select for Pass 17 intent-specific premium upgrade.,needs_premium_upgrade
13,name-combination-generator,Name Combination Generator,Utility Generators,high,yes,okay,good,high,"Safe, clear keyword intent with current output that is still mostly basic list/text; it can benefit from option-aware premium groups and per-result copy.",Select for Pass 17 intent-specific premium upgrade.,needs_premium_upgrade
14,performer-names-generator,Performer Names Generator,Business Generators,high,yes,okay,good,high,"Safe, clear keyword intent with current output that is still mostly basic list/text; it can benefit from option-aware premium groups and per-result copy.",Select for Pass 17 intent-specific premium upgrade.,needs_premium_upgrade
15,disc-jockey-names-generator,DJ Name Generator,Business Generators,high,yes,okay,good,high,"Safe, clear keyword intent with current output that is still mostly basic list/text; it can benefit from option-aware premium groups and per-result copy.",Select for Pass 17 intent-specific premium upgrade.,needs_premium_upgrade
16,name-pronunciation-generator,Name Pronunciation Generator,Utility Generators,high,yes,okay,good,high,"Safe, clear keyword intent with current output that is still mostly basic list/text; it can benefit from option-aware premium groups and per-result copy.",Select for Pass 17 intent-specific premium upgrade.,needs_premium_upgrade
17,mountain-name-generator,Mountain Name Generator,Gaming & Fantasy Generators,high,yes,okay,good,high,"Safe, clear keyword intent with current output that is still mostly basic list/text; it can benefit from option-aware premium groups and per-result copy.",Select for Pass 17 intent-specific premium upgrade.,needs_premium_upgrade
18,forest-name-generator,Forest Name Generator,Gaming & Fantasy Generators,high,yes,okay,good,high,"Safe, clear keyword intent with current output that is still mostly basic list/text; it can benefit from option-aware premium groups and per-result copy.",Select for Pass 17 intent-specific premium upgrade.,needs_premium_upgrade
19,fantasy-language-generator,Fantasy Language Generator,Writing Generators,high,yes,okay,good,high,"Safe, clear keyword intent with current output that is still mostly basic list/text; it can benefit from option-aware premium groups and per-result copy.",Select for Pass 17 intent-specific premium upgrade.,needs_premium_upgrade
20,team-name-generator-using-keywords,Team Name Generator By Keyword,Utility Generators,high,yes,okay,good,high,"Safe, clear keyword intent with current output that is still mostly basic list/text; it can benefit from option-aware premium groups and per-result copy.",Select for Pass 17 intent-specific premium upgrade.,needs_premium_upgrade
