row_type,slug,outcome,reason,metric,value
metric,,,"Total source entries left in noindexToolSlugs; none removed by instruction.",source_noindexToolSlugs_count,43
metric,,,"Expected rendered noindex tool pages after tiktok redirect removes standalone HTML.",rendered_noindex_tool_pages_expected_after_tiktok_redirect,42
metric,,,"No tools were made indexable in this pass.",tools_indexed_this_pass,0
metric,,,"Only tiktok-username-generator was merged/redirected.",tools_redirected_or_merged_this_pass,1
metric,,,"Contract, NDA, and service agreement were hardened but remain noindex pending legal audit.",tools_upgraded_but_held_this_pass,3
metric,,,"All other remaining noindex tools received terminal keep-noindex classifications.",tools_final_keep_noindex_this_pass,39
tool,tiktok-username-generator,merge_or_redirect_cleanup_done,"Removed from tool data/discovery/category/HTML sitemap/XML sitemap generation and redirected to username-generator; no standalone HTML page should render.",,
tool,x-post-generator,final_keep_noindex_policy_sensitive,"Platform post generation remains spam, misinformation, harassment, affiliate/ad, and deceptive engagement sensitive despite premium framing.",,
tool,instagram-hashtag-generator,final_keep_noindex_policy_sensitive,"Platform hashtag generation remains spam, reach/ranking, banned-tag, platform-affiliation, and deceptive engagement sensitive.",,
tool,tiktok-hashtag-generator,final_keep_noindex_policy_sensitive,"Platform hashtag generation remains trend-abuse, spam, reach/ranking, monetization-claim, and deceptive engagement sensitive.",,
tool,shakespeare-insult-generator,final_keep_noindex_policy_sensitive,"Humor cleanup resolved legacy unsafe strings, but insult/banter tooling remains harassment, bullying, hate, threat, doxxing, and humiliation sensitive.",,
tool,comeback-generator,final_keep_noindex_policy_sensitive,"Humor cleanup resolved hostile fallback strings, but comeback tooling remains escalation, harassment, bullying, and targeted-abuse sensitive.",,
tool,roast-generator,final_keep_noindex_policy_sensitive,"Humor cleanup resolved harsh fallback strings, but roast tooling remains bullying, humiliation, harassment, and targeted-abuse sensitive.",,
tool,contract-generator,upgraded_and_ready_for_audit,"Hardened with draft-only FAQ/options/disclaimer and obsolete fallback removal; still legal/enforceability sensitive pending final legal approval.",,
tool,dmca-policy-generator,final_keep_noindex_policy_sensitive,"Copyright/DMCA workflow content remains high-risk legal-process content despite premium safeguards and fallback cleanup.",,
tool,privacy-policy-generator,final_keep_noindex_policy_sensitive,"Privacy notice generation remains privacy-law and compliance sensitive despite premium safeguards.",,
tool,terms-generator,final_keep_noindex_policy_sensitive,"Terms generation remains enforceability, consumer-rights, subscription, jurisdiction, and legal-reliance sensitive.",,
tool,nda-generator,upgraded_and_ready_for_audit,"Hardened with draft-only FAQ/options/disclaimer and obsolete fallback removal; still confidentiality/enforceability sensitive pending final legal approval.",,
tool,service-agreement-generator,upgraded_and_ready_for_audit,"Hardened with draft-only FAQ/options/disclaimer and obsolete fallback removal; still legal, payment, IP, liability, and jurisdiction sensitive pending final legal approval.",,
tool,invoice-generator,final_keep_noindex_risky,"Invoice generation is official-record, debt, payment, tax, and accounting adjacent even with draft-only safeguards.",,
tool,receipt-generator,final_keep_noindex_risky,"Receipt generation is proof-of-payment, official-record, tax, and accounting adjacent even with draft-only safeguards.",,
tool,ao3-tag-generator,final_keep_noindex_brand_ip_or_fake_identity,"AO3/platform/fandom tag tooling is brand/platform/fandom adjacent and can imply unofficial affiliation or metadata abuse.",,
tool,random-address-generator,final_keep_noindex_brand_ip_or_fake_identity,"Fake address/location data can enable deception, fraud, account abuse, false records, or evasion.",,
tool,fake-name-generator,final_keep_noindex_brand_ip_or_fake_identity,"Fake identity output can enable impersonation, evasion, synthetic identity misuse, account abuse, or deceptive records.",,
tool,pin-generator,final_keep_noindex_security_sensitive,"PIN-like numeric secret generation is credential-adjacent and high-stakes even when sample-framed.",,
tool,ransom-note-text-generator,final_keep_noindex_risky,"Threat-adjacent typography can support intimidation, coercion, extortion aesthetics, or harassment.",,
tool,sith-name-generator,final_keep_noindex_brand_ip_or_fake_identity,"Protected franchise/IP name tool with unofficial affiliation and brand-signal risk.",,
tool,api-key-generator,final_keep_noindex_security_sensitive,"API-key-like output is credential-adjacent and can be confused with production secrets.",,
tool,license-key-generator,final_keep_noindex_security_sensitive,"License-key-like output can be confused with entitlement, activation, piracy, or access material.",,
tool,recovery-code-generator,final_keep_noindex_security_sensitive,"Recovery-code-like output is account-security sensitive and can be mistaken for real backup credentials.",,
tool,jwt-generator,final_keep_noindex_security_sensitive,"JWT-like output is auth/security sensitive and can be confused with production token material.",,
tool,password-generator,final_keep_noindex_security_sensitive,"Password generation is security-sensitive and high-stakes even with browser-local framing.",,
tool,token-generator,final_keep_noindex_security_sensitive,"Token-like output is credential-adjacent and high-stakes even with demo-safe framing.",,
tool,star-wars-name-generator,final_keep_noindex_brand_ip_or_fake_identity,"Protected franchise/IP name tool with unofficial affiliation risk.",,
tool,roblox-name-generator,final_keep_noindex_brand_ip_or_fake_identity,"Brand/platform/IP name tool with account, availability, impersonation, and platform-rule risks.",,
tool,harry-potter-name-generator,final_keep_noindex_brand_ip_or_fake_identity,"Protected franchise/IP name tool with unofficial affiliation risk.",,
tool,pokemon-name-generator,final_keep_noindex_brand_ip_or_fake_identity,"Protected franchise/IP name tool with unofficial affiliation risk.",,
tool,fortnite-name-generator,final_keep_noindex_brand_ip_or_fake_identity,"Brand/platform/IP name tool with account, availability, and unofficial affiliation risks.",,
tool,minecraft-name-generator,final_keep_noindex_brand_ip_or_fake_identity,"Protected game/platform name tool with unofficial affiliation risk.",,
tool,valorant-name-generator,final_keep_noindex_brand_ip_or_fake_identity,"Protected game/platform name tool with unofficial affiliation risk.",,
tool,league-of-legends-name-generator,final_keep_noindex_brand_ip_or_fake_identity,"Protected game/platform name tool with unofficial affiliation risk.",,
tool,minecraft-text-generator,final_keep_noindex_brand_ip_or_fake_identity,"Protected game/IP text-style tool with unofficial affiliation risk.",,
tool,dark-souls-text-generator,final_keep_noindex_brand_ip_or_fake_identity,"Protected game/IP text-style tool with unofficial affiliation risk.",,
tool,star-wars-text-generator,final_keep_noindex_brand_ip_or_fake_identity,"Protected franchise/IP text-style tool with unofficial affiliation risk.",,
tool,spongebob-text-generator,final_keep_noindex_brand_ip_or_fake_identity,"Protected character/franchise/IP text-style tool with unofficial affiliation risk.",,
tool,undertale-text-generator,final_keep_noindex_brand_ip_or_fake_identity,"Protected game/IP text-style tool with unofficial affiliation risk.",,
tool,pokemon-text-generator,final_keep_noindex_brand_ip_or_fake_identity,"Protected franchise/IP text-style tool with unofficial affiliation risk.",,
tool,roblox-username-generator,final_keep_noindex_brand_ip_or_fake_identity,"Brand/platform/IP username tool with availability, impersonation, account-abuse, and platform-rule risks.",,
tool,facebook-hashtag-generator,final_keep_noindex_policy_sensitive,"Platform hashtag generation remains platform/spam/reach-abuse sensitive and lacks final approval-to-index artifact.",,
