"rank","slug","tool_name","category","index_priority","current_faq_count","issue","recommended_faq_count","content_priority","suggested_unique_faq_topics","selection_reason"
"1","assignment-generator","Assignment Generator","AI Text & Writing Generators","low","0","No visible FAQ items; FAQ schema is absent and the page lacks tool-specific Q&A.","3","high","Assignment Generator character compatibility and where the generated text works best | Copy-paste limits for assignment generator output across bios, headings, and documents | Assignment Generator style selection tips","selected for pass 1 because it is weak-FAQ, non-noindex, low policy risk, and has commercial/utility/search value"
"2","author-bio-generator","Author Bio Generator","Bio & Caption Generators","low","0","No visible FAQ items; FAQ schema is absent and the page lacks tool-specific Q&A.","3","high","Author Bio Generator platform-fit guidance without copying restricted or misleading claims | How to tune author bio generator output for tone, niche, and audience intent | Author Bio Generator copy length, readability, and hashtag/tag relevance checks","selected for pass 1 because it is weak-FAQ, non-noindex, low policy risk, and has commercial/utility/search value"
"3","bio-generator","Bio Generator","Bio & Caption Generators","low","0","No visible FAQ items; FAQ schema is absent and the page lacks tool-specific Q&A.","3","high","Bio Generator platform-fit guidance without copying restricted or misleading claims | How to tune bio generator output for tone, niche, and audience intent | Bio Generator copy length, readability, and hashtag/tag relevance checks","selected for pass 1 because it is weak-FAQ, non-noindex, low policy risk, and has commercial/utility/search value"
"4","blob-generator","CSS Blob Generator","Developer & Web Generators","low","0","No visible FAQ items; FAQ schema is absent and the page lacks tool-specific Q&A.","3","high","CSS Blob Generator developer workflow examples and safe test-data use | How to validate blob generator output before adding it to a project | CSS Blob Generator formatting, escaping, and compatibility notes","selected for pass 1 because it is weak-FAQ, non-noindex, low policy risk, and has commercial/utility/search value"
"5","blog-name-generator","Blog Name Generator","AI Text & Writing Generators","low","0","No visible FAQ items; FAQ schema is absent and the page lacks tool-specific Q&A.","3","high","Blog Name Generator character compatibility and where the generated text works best | Copy-paste limits for blog name generator output across bios, headings, and documents | Blog Name Generator style selection tips","selected for pass 1 because it is weak-FAQ, non-noindex, low policy risk, and has commercial/utility/search value"
"6","blog-outline-generator","Blog Outline Generator","AI Text & Writing Generators","low","0","No visible FAQ items; FAQ schema is absent and the page lacks tool-specific Q&A.","3","high","Blog Outline Generator character compatibility and where the generated text works best | Copy-paste limits for blog outline generator output across bios, headings, and documents | Blog Outline Generator style selection tips","selected for pass 1 because it is weak-FAQ, non-noindex, low policy risk, and has commercial/utility/search value"
"7","blog-tag-generator","Blog Tag Generator","SEO & Marketing Generators","low","0","No visible FAQ items; FAQ schema is absent and the page lacks tool-specific Q&A.","3","high","Blog Tag Generator search-result or crawler use cases for real websites | What input details improve blog tag generator output quality | Blog Tag Generator validation checks before publishing generated SEO code or copy","selected for pass 1 because it is weak-FAQ, non-noindex, low policy risk, and has commercial/utility/search value"
"8","border-radius-generator","CSS Border Radius Generator","Developer & Web Generators","low","0","No visible FAQ items; FAQ schema is absent and the page lacks tool-specific Q&A.","3","high","CSS Border Radius Generator developer workflow examples and safe test-data use | How to validate border radius generator output before adding it to a project | CSS Border Radius Generator formatting, escaping, and compatibility notes","selected for pass 1 because it is weak-FAQ, non-noindex, low policy risk, and has commercial/utility/search value"
"9","box-shadow-generator","CSS Box Shadow Generator","Developer & Web Generators","low","0","No visible FAQ items; FAQ schema is absent and the page lacks tool-specific Q&A.","3","high","CSS Box Shadow Generator developer workflow examples and safe test-data use | How to validate box shadow generator output before adding it to a project | CSS Box Shadow Generator formatting, escaping, and compatibility notes","selected for pass 1 because it is weak-FAQ, non-noindex, low policy risk, and has commercial/utility/search value"
"10","brand-kit-generator","Brand Kit Generator","Business & Brand Generators","low","0","No visible FAQ items; FAQ schema is absent and the page lacks tool-specific Q&A.","3","high","Brand Kit Generator outputs for naming, selling, or business documentation workflows | How to refine brand kit generator results for a specific audience or offer | Brand Kit Generator review steps for originality, accuracy, and commercial use","selected for pass 1 because it is weak-FAQ, non-noindex, low policy risk, and has commercial/utility/search value"
