master_keyword,final_status,confidence,existing_tool_slug,final_tool_name,final_slug,category,reason,recommended_action
"neural network model name generator","SHOULD_BE_SEO_SECTION_OR_FAQ","high","","","","","Informational query","Add to SEO/FAQ content"
"names of each generation","SHOULD_BE_SEO_SECTION_OR_FAQ","high","","","","","Informational query","Add to SEO/FAQ content"
"what are the names of the generations","SHOULD_BE_SEO_SECTION_OR_FAQ","high","","","","","Informational query","Add to SEO/FAQ content"
"names of different generations","SHOULD_BE_SEO_SECTION_OR_FAQ","high","","","","","Informational query","Add to SEO/FAQ content"
"how to generate domain name","SHOULD_BE_SEO_SECTION_OR_FAQ","high","","","","","Informational query","Add to SEO/FAQ content"
"check if a text is ai generated","SHOULD_BE_SEO_SECTION_OR_FAQ","high","","","","","Informational query","Add to SEO/FAQ content"
"how to check if a text is ai generated","SHOULD_BE_SEO_SECTION_OR_FAQ","high","","","","","Informational query","Add to SEO/FAQ content"
"how to tell if a text is ai generated","SHOULD_BE_SEO_SECTION_OR_FAQ","high","","","","","Informational query","Add to SEO/FAQ content"
"how to generate tags","SHOULD_BE_SEO_SECTION_OR_FAQ","high","","","","","Informational query","Add to SEO/FAQ content"
"ai generated text detector","SHOULD_BE_SEO_SECTION_OR_FAQ","high","","","","","Informational query","Add to SEO/FAQ content"
