proposed_tool_name,proposed_slug,primary_keyword,keywords_covered,final_decision,merge_into_existing_slug,add_as_mode_to_slug,risk_level,index_priority,reason
"Combine Name Generator","combine-name-generator","combine name generator","combine name generator","MERGE_INTO_EXISTING_TOOL","fake-name-generator","","low","medium","Basic full name formatting"
"Name Generator Mix","name-generator-mix","name generator mix","name generator mix","MERGE_INTO_EXISTING_TOOL","fake-name-generator","","low","medium","Basic full name formatting"
"First And Second Name Generator","first-and-second-name-generator","first and second name generator","first and second name generator","MERGE_INTO_EXISTING_TOOL","fake-name-generator","","low","medium","Basic full name formatting"
"First And Last Name Generator","first-and-last-name-generator","first and last name generator","first and last name generator","MERGE_INTO_EXISTING_TOOL","fake-name-generator","","low","medium","Basic full name formatting"
"Text Generator","text-generator","text generator","text generator | 3d text generator | ai generated text | fb text generator | ig text generator | ai text generator | generator ai text | text box generator | text pic generator | fun text generator | odd text generator | text generator big | art text generator | generate fake text | y2k text generator | old text generator | gpt text generator | fire text generator | text generator free | text generation api | lego text generator | hack text generator | long text generator | void text generator | word text generator | html text generator | name text generator | text warp generator | text file generator | crazy text generator | round text generator | text generator crazy | alien text generator | funny text generator | image text generator | text generator image | cross text generator | text generator weird | text reply generator | video text generator | drunk text generator | latin text generator | robot text generator | block text generator | greek text generator | free text generators | furry text generator | text generator pixel | blood text generator | chain text generator | heart text generator | human text generator | carti text generator | comic text generator | generate text images | manga text generator | text block generator | asian text generator | mario text generator | sonic text generator | freaky text generator | text generation webui | curved text generator | disney text generator | larger text generator | letter text generator | random generated text | arabic text generator | chrome text generator | blocky text generator | bloody text generator | cipher text generator | impact text generator | invert text generator | bubbly text generator | number text generator | ai generator for text | text circle generator | deepai text generator | roblox text generator | naruto text generator | barbie text generator | anchor text generator | markov text generator | flaming text generator | glitter text generator | strange text generator | colored text generator | english text generator | russian text generator | cryptic text generator | ai free text generator | circled text generator | youtube text generator | chinese text generator | hacking text generator | mocking text generator | robotic text generator | spamton text generator | ancient text generator | british text generator | stacked text generator | whisper text generator | ai generator free text | blocked text generator | papyrus text generator | chatgpt text generator | ai book text generator | discord text generator | twitter text generator | japanese text generator | animated text generator | redacted text generator | artistic text generator | text generator on image | text response generator | is my text ai generated | fortnite text generator | snapchat text generator | video to text generator | is it ai generated text | stylized text generator | ai text reply generator | facebook text generator | text to image generator | text to video generator | image to text generator | voice to text generator | pdf generator from text | lettering text generator | perchance text generator | yeat font text generator | generate image with text | alternate text generator | messed up text generator | text character generator | character text generator | ai prompt text generator | ai text prompt generator | jasper ai text generator | instagram text generator | persona 5 text generator | text to speech generator | is this ai generated text | sleep mask text generator | invincible text generator | strike out text generator | text decoration generator | comic sans text generator | distortion text generator | earthbound text generator | semrush ai text generator | rewrite ai generated text | pls donate text generator | ai ui generator from text | barbed wire text generator | transparent text generator | ai generate grindcore text | text in a circle generator | chromakopia text generator | dirty text chain generator | humanize ai generated text | quillbot ai text generator | shakespeare text generator | lorem ipsum text generator | cross stitch text generator | professional text generator | breaking bad text generator | grammarly ai text generator | gpt 3 online text generator | ai game generator from text | ai logo generator from text | keyword generator from text | diagram generator from text | fake text message generator | robot lagging text generator | hieroglyphics text generator | ai music generator from text | question generator from text | subtitle generator from text | text message reply generator | text generator copy and paste | alien language text generator | copy and paste text generator | heroic harmony text generator | hybrid text illusion generator | flirty text response generator | text to image prompt generator | text to singing voice generator | buddha text to speech generator | ai character generator from text | san francisco font text generator | ai floor plan generator from text | ai powerpoint generator from text | miencraft obsucated text generator | fake iphone text message generator | perchance ai text to image generator | anime voice text to speech generator | dalek voice text to speech generator | berichan generate mythical request text | character voice text to speech generator | native american text to speech generator | ai template generation from text instructions | content deduplication system ai generated text | are you smarter than a 5th grader text generator | mage machine generated text detection in the wild | sleeping mask text generator for sleep mask designs | electra pre training text encoders as discriminators rather than generators","MERGE_INTO_EXISTING_TOOL","fancy-text-generator","","low","medium","Too broad, maps to base text tool"
"Twitch Tag Generator","twitch-tag-generator","twitch tag generator","twitch tag generator","MERGE_INTO_EXISTING_TOOL","hashtag-generator","","low","medium","Social media tag variant"
"Social Media Tag Generator","social-media-tag-generator","social media tag generator","social media tag generator","MERGE_INTO_EXISTING_TOOL","hashtag-generator","","low","medium","Social media tag variant"
"Facebook Video Tag Generator","facebook-video-tag-generator","facebook video tag generator","facebook video tag generator","MERGE_INTO_EXISTING_TOOL","hashtag-generator","","low","medium","Social media tag variant"
"Seo Ai Tools Tag Generator","seo-ai-tools-tag-generator","seo ai tools tag generator","seo ai tools tag generator","MERGE_INTO_EXISTING_TOOL","seo-tags-generator","","low","medium","SEO/Dev tag variant"
"Meta Keywords Tag Generator","meta-keywords-tag-generator","meta keywords tag generator","meta keywords tag generator","MERGE_INTO_EXISTING_TOOL","seo-tags-generator","","low","medium","SEO/Dev tag variant"
"Seo Tag Generator","seo-tag-generator","seo tag generator","seo tag generator | free seo tag generator","MERGE_INTO_EXISTING_TOOL","seo-tags-generator","","low","medium","SEO/Dev tag variant"
"Asset Tag Generator","asset-tag-generator","asset tag generator","asset tag generator | asset tag generator excel","MERGE_INTO_EXISTING_TOOL","seo-tags-generator","","low","medium","SEO/Dev tag variant"
"Google Tag Generator","google-tag-generator","google tag generator","google tag generator","MERGE_INTO_EXISTING_TOOL","seo-tags-generator","","low","medium","SEO/Dev tag variant"
"Google Analytics Tag Generator","google-analytics-tag-generator","google analytics tag generator","google analytics tag generator","MERGE_INTO_EXISTING_TOOL","seo-tags-generator","","low","medium","SEO/Dev tag variant"
"Ad Tag Generator","ad-tag-generator","ad tag generator","ad tag generator","MERGE_INTO_EXISTING_TOOL","seo-tags-generator","","low","medium","SEO/Dev tag variant"
"Google Ad Manager Tag Generator","google-ad-manager-tag-generator","google ad manager tag generator","google ad manager tag generator","MERGE_INTO_EXISTING_TOOL","seo-tags-generator","","low","medium","SEO/Dev tag variant"
"Html Anchor Tag Generator","html-anchor-tag-generator","html anchor tag generator","html anchor tag generator","MERGE_INTO_EXISTING_TOOL","seo-tags-generator","","low","medium","SEO/Dev tag variant"
