section,metric,status,value,details
Overall,production domain readiness,PASS,0 blockers,"Ready for attaching https://taptogen.com with apex as canonical host and www redirected to apex."
Validation,git status before audit,PASS,clean,"Working tree was clean before audit."
Validation,npx.cmd tsc --noEmit,PASS,exit 0,"TypeScript completed with no errors."
Validation,npx.cmd astro check,PASS,"0 errors; 0 warnings; 2 hints","Existing unused-variable hints only for pass28TextControls and pass28NameControls."
Validation,npm.cmd run build,PASS,"459 pages built","Build completed successfully; Vite chunk-size warning only."
Validation,postbuild redirect patch,PASS,"20 redirects","patch-vercel-redirects reported: Added 20 tool merge 301 redirects."
Hardcoded domains,source taptogen.vercel.app,PASS,0,"None."
Hardcoded domains,source localhost,PASS,0,"None."
Hardcoded domains,source 127.0.0.1,PASS,0,"None."
Hardcoded domains,dist taptogen.vercel.app,PASS,0,"None."
Hardcoded domains,dist localhost,PASS,0,"None."
Hardcoded domains,dist 127.0.0.1,PASS,0,"None."
Hardcoded domains,.vercel output preview/local domains,PASS,0,"None."
Production config,astro.config.mjs site,PASS,https://taptogen.com,"Astro site is hardcoded to the intended production apex domain."
Production config,site URL env handling,PASS,"not env-driven","No Vercel environment variable is required for SITE_URL in the current config."
Production config,www strategy,PASS,"apex primary","No www canonical/sitemap strategy found; configure www.taptogen.com to redirect to https://taptogen.com."
Canonicals,homepage canonical,PASS,https://taptogen.com/,"Homepage canonical uses the production apex domain."
Canonicals,tool page canonicals,PASS,379,"All indexable tool page canonicals use https://taptogen.com/tools/..."
Canonicals,hub page canonicals,PASS,6,"All six /tools/... hub pages use production self-canonicals."
Canonicals,category page canonicals,PASS,13,"Category page canonicals use the production domain."
Canonicals,preview/local canonical references,PASS,0,"No canonical points to taptogen.vercel.app localhost or 127.0.0.1."
Canonicals,www duplicate strategy issues,PASS,0,"No canonicals point to www.taptogen.com."
Sitemap,sitemap-index.xml domain,PASS,production,"sitemap-index.xml references https://taptogen.com/sitemap-0.xml."
Sitemap,generated sitemap URLs domain,PASS,production,"Generated sitemap URLs use https://taptogen.com."
Sitemap,indexable tool URLs,PASS,379,"All 379 indexable tool pages are included."
Sitemap,hub URLs,PASS,6,"All six hub pages are included."
Sitemap,noindex tool URLs,PASS,0,"All 51 active noindex tool URLs are excluded."
Sitemap,redirected merged URLs,PASS,0,"All 20 redirected/merged source URLs are excluded."
Sitemap,duplicate URLs,PASS,0,"No duplicate sitemap URLs found."
Sitemap,broken sitemap paths,PASS,0,"No broken generated sitemap paths found."
Sitemap,preview/local URLs,PASS,0,"No taptogen.vercel.app localhost or 127.0.0.1 URLs in sitemap output."
Robots,robots.txt exists,PASS,yes,"dist/robots.txt exists from public/robots.txt."
Robots,production sitemap reference,PASS,https://taptogen.com/sitemap-index.xml,"robots.txt references the production sitemap URL."
Robots,preview/local references,PASS,0,"robots.txt does not reference taptogen.vercel.app localhost or 127.0.0.1."
Robots,indexable page blocking,PASS,0,"robots.txt allows the site and does not block /tools or /categories; only /admin is disallowed."
Internal links,preview/local hardcoded links,PASS,0,"Homepage hubs categories footer sitemap page and tool related links do not hardcode preview/local domains."
Internal links,root-relative navigation,PASS,ok,"Internal navigation is root-relative where possible and domain-independent for custom-domain attach."
Internal links,broken page links from audited surfaces,PASS,0,"No broken internal page links from homepage hubs categories footer sitemap page or tool cards; 404 fallback route excluded from discovery audit."
Internal links,noindex links from indexable discovery surfaces,PASS,0,"No noindex tool links from indexable homepage hub category footer sitemap or related-tool discovery surfaces."
Internal links,redirected removed links from discovery surfaces,PASS,0,"No removed or redirected source URLs appear in homepage hubs discovery pages category pages footer or sitemap page."
Redirects,tool merge redirects,PASS,20,".vercel/output/config.json includes the expected 20 tool merge 301 redirects."
Redirects,root-relative redirect paths,PASS,0 issues,"All redirect sources and destinations are root-relative paths; no taptogen.vercel.app URLs used."
Redirects,target pages exist,PASS,20,"All redirect targets exist and render as generated pages."
Redirects,source standalone pages,PASS,0,"Removed/redirected source URLs do not generate standalone HTML pages."
Redirects,sitemap and discovery presence,PASS,0,"Redirected/removed URLs are absent from sitemap and audited discovery surfaces."
Open Graph,og:url domain,PASS,production,"og:url values use production canonical URLs; no preview/local/www issues found."
Open Graph,twitter/og image URLs,PASS,production-safe,"No social image URLs point to taptogen.vercel.app localhost or 127.0.0.1; asset paths work under the custom domain."
Open Graph,preview/local social meta,PASS,0,"No OG/Twitter metadata points to preview/local domains."
Robots meta,indexable tools,PASS,379,"All indexable active tools render index/follow."
Robots meta,noindex tools,PASS,51,"All active noindex tools render noindex/follow."
Robots meta,hub pages,PASS,6,"All hub pages render index/follow."
Final counts,active tools,PASS,430,"Expected locked count unchanged."
Final counts,indexable tools,PASS,379,"Expected locked count unchanged."
Final counts,noindex active tools,PASS,51,"Expected locked count unchanged."
Final counts,redirects,PASS,20,"Expected locked count unchanged."
Final counts,built pages,PASS,459,"Expected built page count after production build."
Final counts,duplicate slugs,PASS,0,"No duplicate slugs found."
Final counts,broken relatedSlugs,PASS,0,"No broken relatedSlugs found."
Final counts,noindex sitemap URLs,PASS,0,"No noindex tool URLs in sitemap."
Final counts,redirected sitemap URLs,PASS,0,"No redirected/merged source URLs in sitemap."
Vercel custom domain,primary host recommendation,PASS,https://taptogen.com,"Use non-www apex as the primary canonical host."
Vercel custom domain,www recommendation,PASS,"redirect www to apex","Add www.taptogen.com in Vercel and configure it to redirect to https://taptogen.com."
Vercel custom domain,DNS notes,PASS,"Vercel DNS records","Use Vercel-provided apex A records and www CNAME/redirect setup."
Vercel custom domain,preview deployment indexing,PASS,"canonicalized to production","Preview deployments may be browsed but canonical and sitemap signals point to https://taptogen.com."
Vercel custom domain,environment variables,PASS,"none required","Current Astro config is hardcoded to https://taptogen.com; add SITE_URL only if the config is later made env-driven."
Required fixes,blocking fixes,PASS,0,"No required fixes before attaching the custom domain."
