scope,check,status,details
"summary","es generated pages","PASS","40"
"summary","fr generated pages","PASS","40"
"summary","de generated pages","PASS","40"
"summary","pt generated pages","PASS","40"
"summary","it generated pages","PASS","40"
"summary","pl generated pages","PASS","40"
"summary","total localized pilot pages generated","PASS","240"
"summary","es duplicate localized slugs","PASS",""
"summary","fr duplicate localized slugs","PASS",""
"summary","de duplicate localized slugs","PASS",""
"summary","pt duplicate localized slugs","PASS",""
"summary","it duplicate localized slugs","PASS",""
"summary","pl duplicate localized slugs","PASS",""
"summary","localized pages in sitemap","PASS","240"
"es/contador-de-palabras","index/follow render","PASS","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1"
"es/contador-de-palabras","self canonical","PASS","https://taptogen.com/es/tools/contador-de-palabras/"
"es/contador-de-palabras","hreflang complete","PASS","de|en|es|fr|it|pl|pt|x-default"
"es/contador-de-palabras","language switch same tool","PASS","en:https://taptogen.com/tools/word-counter/ es:https://taptogen.com/es/tools/contador-de-palabras/ fr:https://taptogen.com/fr/tools/compteur-de-mots/ de:https://taptogen.com/de/tools/wortzaehler/ pt:https://taptogen.com/pt/tools/contador-de-palavras/ it:https://taptogen.com/it/tools/contatore-di-parole/ pl:https://taptogen.com/pl/tools/licznik-slow/ x-default:https://taptogen.com/tools/word-counter/"
"es/contador-de-palabras","no localhost/vercel host","PASS",""
"es/contador-de-palabras","title/description/h1 present","PASS","Contador de palabras online gratis | Cuenta palabras, caracteres y longitud de texto para artículos, tareas o publicaciónes. | Contador de palabras"
"es/convertidor-de-mayusculas-y-minusculas","index/follow render","PASS","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1"
"es/convertidor-de-mayusculas-y-minusculas","self canonical","PASS","https://taptogen.com/es/tools/convertidor-de-mayusculas-y-minusculas/"
"es/convertidor-de-mayusculas-y-minusculas","hreflang complete","PASS","de|en|es|fr|it|pl|pt|x-default"
"es/convertidor-de-mayusculas-y-minusculas","language switch same tool","PASS","en:https://taptogen.com/tools/text-case-converter/ es:https://taptogen.com/es/tools/convertidor-de-mayusculas-y-minusculas/ fr:https://taptogen.com/fr/tools/convertisseur-majuscules-minuscules/ de:https://taptogen.com/de/tools/gross-kleinschreibung-umwandeln/ pt:https://taptogen.com/pt/tools/conversor-de-maiusculas-e-minusculas/ it:https://taptogen.com/it/tools/convertitore-maiuscole-minuscole/ pl:https://taptogen.com/pl/tools/konwerter-wielkosci-liter/ x-default:https://taptogen.com/tools/text-case-converter/"
"es/convertidor-de-mayusculas-y-minusculas","no localhost/vercel host","PASS",""
