"slug","tool_name","current_output_problem","exact_intent_specific_features_to_add","maximum_relevant_options","expected_output_structure","per_result_actions","competitor_beating_features","safety_notes","validation_notes"
"poster-generator","Poster Generator","Output is useful copy but too generic for real poster planning; it lacks a polished visual hierarchy, print/social variants, and structured design blocks.","Add poster concept suite with headline, subhead, visual direction, layout zones, event/business details, CTA, typography, color direction, format adaptation, and production checklist.","poster-type; poster-goal; visual-style; format-size; audience; CTA style; detail level; number of concepts","Hero concept summary; headline/subhead block; layout blueprint; visual style block; event/business details; CTA block; color/type notes; print/social adaptation notes","Copy concept; copy headline; copy layout; copy CTA; copy full poster brief","Print-ready and social-ready variants in one output; clear visual hierarchy; designer handoff notes; CTA alternatives; no blank placeholder feel","Do not claim to generate final print artwork or licensed imagery; remind users to verify dates, venue details, logos, and image rights.","Confirm route exists; ensure output cards wrap long details; verify copy buttons; check mobile layout for layout blueprint blocks."
"flyer-generator","Flyer Generator","Current flyer output is mostly plain text and does not feel like a finished marketing layout system.","Add flyer campaign suite with offer framing, headline set, body copy, contact strip, visual hierarchy, fold/scan order, CTA variants, and distribution notes.","flyer-purpose; business-type; tone; flyer-size; offer-type; audience; CTA style; detail level","Campaign angle; 3 headline options; flyer body sections; visual layout map; offer/contact block; CTA variants; print/digital checklist","Copy headline; copy body; copy CTA; copy full flyer","Better than simple text generators by producing a scan-friendly flyer structure with design and distribution guidance.","Do not invent regulated claims, prices, dates, or addresses; use placeholders where user details are missing.","Confirm no slug change; test output cards for long phone/URL/contact lines; mobile one-column behavior."
"business-card-generator","Business Card Generator","Output needs a more professional card system: front/back layout, role clarity, contact hierarchy, and print handoff details.","Add business card system with front/back layout, name/title hierarchy, contact block, brand tone, QR/contact optional section, print specs, and alternate versions.","industry; card-style; card-orientation; contact-density; QR/contact mode; tone; number of variants","Card concept; front layout; back layout; contact hierarchy; tagline/descriptor; print notes; alternate mini variants","Copy front; copy back; copy contact block; copy full card brief","Professional layout logic rather than random text; print-safe spacing notes; multiple role-specific variants; contact hierarchy scoring","Do not create fake credentials, certifications, addresses, or QR claims; advise verifying print bleed/safe area with printer.","Check copy button alignment in card grids; verify long email/URL wrapping; ensure no generated barcode/QR claims unless only payload guidance."
"email-signature-generator","Email Signature Generator","Can produce signature copy but needs a cleaner professional system with plain-text and HTML-safe blocks.","Add email signature pack with compact/full variants, plain text version, HTML snippet, contact hierarchy, legal disclaimer optional block, social link handling, and mobile-safe layout notes.","signature-style; role-type; contact-density; include-disclaimer; include-socials; include-banner; format mode; tone","Signature preview; plain text signature; HTML-safe signature; disclaimer block; mobile/email-client notes; implementation checklist","Copy plain text; copy HTML; copy disclaimer; copy full signature","Email-client-aware output; both plain text and HTML; avoids over-designed signatures; copyable sections for real deployment","Do not invent legal disclaimers as legal advice; avoid fake certifications or unsupported company claims.","Validate long links/emails wrap; raw code readability; copy buttons visible; no mojibake in symbols."
"brand-kit-generator","Brand Kit Generator","Brand kit output should feel like a usable mini style guide, not a loose list of branding suggestions.","Add brand kit system with positioning, voice, palette, typography direction, logo usage notes, messaging pillars, social/profile snippets, and governance checklist.","brand-stage; industry; personality; audience; palette mood; typography style; asset depth; number of directions","Brand snapshot; palette swatches; typography system; voice/tone guide; logo usage notes; messaging pillars; channel examples; checklist","Copy palette; copy voice guide; copy messaging pillars; copy full brand kit","Mini brand guideline output; deterministic-ish palette suggestions; copyable rules; channel-specific examples; stronger than generic brand idea tools","Do not claim trademark clearance, final logo design, or accessibility compliance without verification; prompt for contrast checks.","Check color chips/swatches render; mobile card grid consistency; long brand names wrap."
"color-palette-generator-from-name","Color Palette Generator From Name","Should move from text-only palette list toward deterministic visual swatches and copyable color formats.","Add deterministic name-seeded palette preview with swatch cards, hex/RGB/HSL values, harmony explanation, accessibility pairing notes, and export strings.","palette-mood; harmony-type; color-count; contrast-priority; output-format; include-usage-notes","Palette summary; swatch grid; per-color hex/RGB/HSL; usage roles; contrast pairing notes; copyable CSS variables/JSON","Copy hex; copy palette; copy CSS variables; copy JSON","Name-seeded reproducible palettes; visual swatches; role labels; export formats; practical usage guidance","Do not guarantee WCAG compliance without actual contrast checks; label contrast as guidance unless computed.","Verify deterministic behavior for same name/options; swatches visible; copy buttons align on mobile."
"product-description-generator","Product Description Generator","Product output is broad marketing copy but not enough retail-ready structure for listings, bullets, SEO, and compliance-safe claims.","Add retail listing suite with short description, long description, bullet benefits, specs placeholders, SEO title/meta, target customer angle, and marketplace variants.","channel; product-category; tone; benefit-focus; length; include-specs; SEO mode; number of variants","Listing summary; short description; long description; bullet benefits; specs table; SEO title/meta; marketplace adaptation; claim checklist","Copy short description; copy bullets; copy SEO block; copy full listing","Marketplace-aware output; benefit/spec separation; claim-risk checklist; multiple channel versions","Avoid unsupported medical, financial, legal, safety, environmental, or performance claims; use placeholders for specs not supplied.","Check result sections wrap long product names; no mojibake in bullets; copy buttons visible."
"product-tag-generator","Product Tag Generator","Tag output should be retail-ready with label fields, materials/care/SKU/price structure, not just simple tag text.","Add product tag pack with front/back tag copy, SKU/price/material/care fields, brand line, compliance placeholders, size/variant fields, and print layout notes.","tag-type; product-category; brand-style; include-price; include-care; include-SKU; tag-size; detail level","Tag summary; front tag; back tag; retail fields; care/material block; SKU/variant block; print notes; optional ecommerce text","Copy front; copy back; copy retail fields; copy full tag","Retail field completeness; print layout structure; separates decorative copy from operational fields; avoids barcode overclaiming","Do not generate fake barcodes or regulatory labels; user must verify care, material, origin, and pricing accuracy.","Verify tag cards do not overflow; long SKU/material fields wrap; mobile spacing."
"clothing-tag-generator","Clothing Tag Generator","Needs stronger apparel-specific structure: care label, hang tag, size/fabric/origin blocks, and compliance caveats.","Add apparel tag system with hang tag front/back, sewn care label text, fabric/care/origin placeholders, size line, brand story microcopy, and multi-language care option.","garment-type; tag-format; care-language; include-symbols; include-price; brand-tone; size-system; detail level","Hang tag front; hang tag back; care label; size/fabric/origin block; brand story; compliance checklist; print notes","Copy hang tag; copy care label; copy fabric block; copy full apparel tag","Apparel-specific instead of generic tag copy; care-label and hang-tag variants; compliance-aware placeholders; retail-ready formatting","Do not claim legal textile compliance; avoid fake care symbols unless clearly placeholders; require user verification for fiber content and country of origin.","Check care symbols/text readability; no mojibake; long care lines wrap on mobile."
"hang-tag-generator","Hang Tag Generator","Replacement for missing barcode-tag-generator. Existing retail tag tool can cover barcode-adjacent needs without pretending to generate real barcodes.","Add retail hang tag suite with front/back layout, product story, SKU/price fields, optional barcode placeholder text, QR/payload note, material/care blocks, and print/vendor handoff notes.","tag-purpose; product-category; tag-shape; brand-tone; include-price; include-SKU; barcode-placeholder; detail level","Replacement note; front hang tag; back hang tag; retail data block; barcode/QR placeholder guidance; materials/care block; print/vendor checklist","Copy front; copy back; copy retail data; copy vendor checklist","Safely handles barcode-tag intent with explicit placeholder guidance; stronger retail handoff; avoids fake barcode generation claims","Do not claim barcode generation, scannability, GS1 validity, or UPC/EAN assignment; only provide placeholder/payload guidance unless a real barcode renderer exists.","Validate replacement is reported; ensure no fake barcode visual claims; long SKU/payload strings wrap; copy buttons align."
