row_type,slug,task,verdict,robots,googlebot,merge_redirect_recommended,final_reason,next_action
summary,,batch_2_total,complete,,,false,"Batch 2 reviewed 10 tools from artifacts/remaining_42_noindex_final_action_plan.csv, excluding Batch 1 already resolved.","No source changes; no noindexToolSlugs changes; no indexing."
summary,,approved_tools,complete,,,false,"No tools approved for indexing in this batch.","Keep all 10 tools noindex."
summary,,merge_redirect_candidates,complete,,,false,"No merge/redirect candidates identified in Batch 2; these are final keep-noindex risk closures.","No merge or redirect implementation recommended for this batch."
summary,,all_10_noindex_follow,pass,"noindex, follow","noindex, follow",false,"All 10 generated pages render robots and googlebot noindex, follow.","No action required."
tool,license-key-generator,final_resolution,final_keep_noindex_security_sensitive,"noindex, follow","noindex, follow",false,"License-key-like output can be confused with entitlement, activation, piracy, or access material.","Keep permanently noindex."
tool,recovery-code-generator,final_resolution,final_keep_noindex_security_sensitive,"noindex, follow","noindex, follow",false,"Recovery-code-like output is account-security sensitive and can be mistaken for real backup credentials.","Keep permanently noindex."
tool,jwt-generator,final_resolution,final_keep_noindex_security_sensitive,"noindex, follow","noindex, follow",false,"JWT-like output is auth/security sensitive and can be confused with production token material.","Keep permanently noindex."
tool,token-generator,final_resolution,final_keep_noindex_security_sensitive,"noindex, follow","noindex, follow",false,"Token-like output is credential-adjacent and high-stakes even with demo-safe framing.","Keep permanently noindex."
tool,dmca-policy-generator,final_resolution,keep_noindex_legal_sensitive,"noindex, follow","noindex, follow",false,"Copyright/DMCA workflow content is legal-process sensitive and can be mistaken for qualified copyright, takedown, counter-notice, safe-harbor, or jurisdiction-specific guidance.","Keep permanently noindex unless legal counsel explicitly approves an indexed policy workflow in a future artifact."
tool,privacy-policy-generator,final_resolution,keep_noindex_legal_sensitive,"noindex, follow","noindex, follow",false,"Privacy notice generation is privacy-law and compliance sensitive, with GDPR/CCPA/CPRA/PIPEDA, data-practice, jurisdiction, and regulatory-reliance risk.","Keep permanently noindex unless privacy/legal counsel explicitly approves an indexed compliance workflow in a future artifact."
tool,terms-generator,final_resolution,keep_noindex_legal_sensitive,"noindex, follow","noindex, follow",false,"Terms generation is enforceability, consumer-rights, subscription, jurisdiction, liability, and legal-reliance sensitive.","Keep permanently noindex unless legal counsel explicitly approves an indexed terms workflow in a future artifact."
tool,ransom-note-text-generator,final_resolution,final_keep_noindex_harassment_or_threat,"noindex, follow","noindex, follow",false,"Threat-adjacent typography can support intimidation, coercion, extortion aesthetics, or harassment.","Keep permanently noindex."
tool,shakespeare-insult-generator,final_resolution,final_keep_noindex_harassment_or_threat,"noindex, follow","noindex, follow",false,"Insult/banter tooling remains harassment, bullying, hate, threat, doxxing, and humiliation sensitive despite safer framing.","Keep permanently noindex."
tool,comeback-generator,final_resolution,final_keep_noindex_harassment_or_threat,"noindex, follow","noindex, follow",false,"Comeback tooling remains escalation, harassment, bullying, and targeted-abuse sensitive despite safer framing.","Keep permanently noindex."
