tool_name,slug,category,build_priority_score,reason_for_mvp,must_have_features,index_status
"Trademark Name Generator","trademark-name-generator","business-generators","95","High B2B value for startups seeking registerable brand names without trademark conflicts.","Availability checker stub, industry filters, abstract/combo word options.","index"
"Newsletter Name Generator","newsletter-name-generator","business-generators","95","Content creators and marketers constantly search for catchy, niche-specific newsletter titles.","Topic categories (tech, finance, lifestyle), pun toggles, tone selector.","index"
"Price Tag Generator","price-tag-generator","utility-generators","90","Practical e-commerce/retail utility with clear physical output value.","Currency symbol select, sale price crossing, layout templates (minimal, bold).","index"
"Product Tag Generator","product-tag-generator","utility-generators","90","Useful for Etsy sellers and small businesses creating physical merchandise.","Custom logo upload placeholder, size/care icon toggles, barcode gap.","index"
"Barcode Tag Generator","barcode-tag-generator","utility-generators","90","High technical utility for inventory management with strong search intent.","UPC/EAN/QR format selection, scannable preview, download as PNG/SVG.","index"
"Clothing Tag Generator","clothing-tag-generator","utility-generators","85","Specific retail niche with distinct formatting requirements (washing instructions, sizes).","Fabric care symbols library, sizing matrix (S/M/L/XL), material percentages.","index"
"Minutes Of Meeting Generator","minutes-of-meeting-generator","business-generators","95","Excellent B2B productivity tool that saves time for corporate and remote workers.","Action item extraction formats, attendee list templates, export to PDF/Markdown.","index"
"Event Name Generator","event-name-generator","business-generators","85","Event planners and community managers need catchy names for conferences and meetups.","Event type filters (gala, hackathon, retreat), location-based modifiers.","index"
"College Name Generator","college-name-generator","writing-generators","80","Highly sought after by writers and roleplayers building fictional academic settings.","Prestige levels (Ivy league, community), location suffixes (Institute, University).","index"
"Diner Name Generator","diner-name-generator","business-generators","80","Specific restaurant niche with a classic, retro aesthetic appeal.","50s slang toggles, food-pun mode, geographic naming styles.","index"
"Flower Name Generator","flower-name-generator","writing-generators","75","Great for botanical fantasy writers, florists, and nature enthusiasts.","Latin/scientific naming mode, color-based roots, whimsical suffix options.","index"
"Newspaper Name Generator","newspaper-name-generator","writing-generators","80","Useful for worldbuilding, school projects, and fictional storytelling.","Traditional naming formats (Chronicle, Tribune), city prefixes, era filters.","index"
"Plant Name Generator","plant-name-generator","writing-generators","75","Distinct from flowers, focuses on houseplants, gardening, and fictional flora.","Succulent vs. tree modes, genus/species latin generator, common name mix.","index"
"Sibling Name Generator","sibling-name-generator","human-name-generators","90","Very popular for parents looking for baby names that match their current children.","Starting letter matching, style matching (classic, modern), twin modes.","index"
"Name Font Generator","name-font-generator","text-generators","95","High traffic keyword for users wanting aesthetic Instagram/social media bios.","Unicode text replacement, cursive/bold/gothic styles, 1-click copy board.","index"
"Pick A Name Generator","pick-a-name-generator","utility-generators","90","Universal utility for teachers, managers, and groups to randomly select people.","Bulk name input, elimination mode, animation for selection reveal.","index"
"Name Generator Wheel","name-generator-wheel","utility-generators","90","Highly visual and engaging tool for giveaways, classrooms, and decision making.","Spinning animation, sound effects toggle, customizable wheel slice colors.","index"
"Cake Company Names Generator","cake-company-names-generator","business-generators","80","Highly targeted B2B tool for local bakery and dessert shop startups.","Sweet/pastry related prefixes, elegant vs. cute tone toggles.","index"
"Car Name Generator","car-name-generator","writing-generators","80","Useful for writers, game devs, and auto enthusiasts naming vehicles.","Vehicle class (sports, truck, SUV), futuristic vs. retro styles, alphanumeric modes.","index"
"Title Name Generator","title-name-generator","writing-generators","85","Broad appeal for authors, bloggers, and creators needing book or article titles.","Genre filters (sci-fi, romance, non-fiction), headline analyzer score snippet.","index"
