slug,source_risk_profile,final_decision,source_change,reason
shipping-policy-generator,legal_template,genuinely_risky_keep_noindex,added_to_noindexToolSlugs,"Legal/compliance policy template; fifth/sixth indexing plans and noindex strategy say keep noindex because shipping policies can be mistaken for legally sufficient merchant terms."
acceptable-use-policy-generator,legal_template,genuinely_risky_keep_noindex,added_to_noindexToolSlugs,"Policy/compliance template; remaining policy-review artifacts flag jurisdiction and compliance reliance risk."
purchase-order-generator,legal_template,approved_indexable_downgrade,removed_from_legalTemplateNoindexSlugs,"Business placeholder final indexing approval accepts residual business-document risk with draft-only framing and no legal/accounting/procurement guarantees."
quotation-generator,legal_template,approved_indexable_downgrade,removed_from_legalTemplateNoindexSlugs,"Business placeholder final indexing approval accepts residual quotation risk with draft-only framing and no legal/tax/pricing/payment guarantees."
return-policy-generator,legal_template,genuinely_risky_keep_noindex,added_to_noindexToolSlugs,"Consumer/ecommerce policy template; multiple noindex strategy artifacts flag legal/compliance and merchant reliance risk."
cookie-policy-generator,legal_template,genuinely_risky_keep_noindex,added_to_noindexToolSlugs,"Privacy/ePrivacy compliance template; noindex strategy artifacts flag consent, vendor, jurisdiction, and privacy-law reliance risk."
disclaimer-generator,legal_template,genuinely_risky_keep_noindex,added_to_noindexToolSlugs,"Legal disclaimer template; noindex strategy artifacts flag liability, legal sufficiency, and jurisdiction risk."
refund-policy-generator,legal_template,genuinely_risky_keep_noindex,added_to_noindexToolSlugs,"Consumer refund policy template; noindex strategy artifacts flag refund-rights and compliant-terms reliance risk."
affiliate-disclosure-generator,legal_template,genuinely_risky_keep_noindex,added_to_noindexToolSlugs,"Regulated advertising disclosure template; noindex strategy artifacts flag FTC/regulatory compliance reliance risk."
fake-text-generator,fake_identity,approved_indexable_downgrade,removed_from_fakeIdentityNoindexSlugs,"Business placeholder final indexing approval frames output as fictional sample/demo text and explicitly prohibits deception, impersonation, fake evidence, scams, phishing, and misinformation."
geo-tag-generator,platform,approved_indexable_downgrade,removed_from_platformNoindexSlugs,"Batch B and Batch 1 artifacts classify this as a generic utility/index candidate for place/tag organization, not a platform-abuse standalone."
art-tag-generator,platform,approved_indexable_downgrade,removed_from_platformNoindexSlugs,"Batch B and Batch 1 artifacts classify this as a generic art-label/tag utility with truthful categorization intent."
email-tag-generator,platform,approved_indexable_downgrade,removed_from_platformNoindexSlugs,"Fifth indexing batch recommends indexing as inbox label/plus-address organization, not social reach or platform-abuse tooling."
instagram-bio-generator,platform,genuinely_risky_keep_noindex,added_to_noindexToolSlugs,"Platform profile copy can invite impersonation, fake affiliation, spam, and growth expectations; no final indexing approval artifact was found."
instagram-caption-generator,platform,genuinely_risky_keep_noindex,added_to_noindexToolSlugs,"Platform caption drafting remains social/platform sensitive without final indexing approval."
midjourney-prompt-generator,platform,approved_indexable_downgrade,removed_from_platformNoindexSlugs,"AI image prompt final indexing approval approves indexing after rights/originality, safety, model-limit, and no-output-guarantee hardening."
facebook-post-generator,platform,genuinely_risky_keep_noindex,added_to_noindexToolSlugs,"Platform post drafting can support spam, deceptive engagement, misinformation, or harassment; no final indexing approval artifact was found."
stable-diffusion-prompt-generator,platform,approved_indexable_downgrade,removed_from_platformNoindexSlugs,"AI image prompt final indexing approval approves indexing after rights/originality, safety, model-limit, and no-output-guarantee hardening."
twitter-bio-generator,platform,genuinely_risky_keep_noindex,added_to_noindexToolSlugs,"Platform profile copy remains impersonation, fake affiliation, and growth-expectation sensitive without final indexing approval."
tiktok-bio-generator,platform,genuinely_risky_keep_noindex,added_to_noindexToolSlugs,"Platform profile copy remains impersonation, fake affiliation, and growth-expectation sensitive without final indexing approval."
linkedin-bio-generator,platform,genuinely_risky_keep_noindex,added_to_noindexToolSlugs,"Professional platform profile copy can imply credentials, recruiting outcomes, or misleading affiliation without final indexing approval."
youtube-name-generator,platform,genuinely_risky_keep_noindex,added_to_noindexToolSlugs,"Platform channel naming remains availability, impersonation, and platform-affiliation sensitive without final indexing approval."
tiktok-name-generator,platform,genuinely_risky_keep_noindex,added_to_noindexToolSlugs,"Platform account naming remains availability, impersonation, and growth-expectation sensitive without final indexing approval."
instagram-name-generator,platform,genuinely_risky_keep_noindex,added_to_noindexToolSlugs,"Platform account naming remains availability, impersonation, and fake-affiliation sensitive without final indexing approval."
twitter-name-generator,platform,genuinely_risky_keep_noindex,added_to_noindexToolSlugs,"Platform account naming remains availability, impersonation, and fake-affiliation sensitive without final indexing approval."
linkedin-headline-generator,platform,genuinely_risky_keep_noindex,added_to_noindexToolSlugs,"Professional profile headline generation can imply credentials, employment outcomes, or misleading claims without final indexing approval."
youtube-description-generator,platform,genuinely_risky_keep_noindex,added_to_noindexToolSlugs,"Platform video metadata drafting remains spam/ranking/recommendation-expectation sensitive without final indexing approval."
tiktok-caption-generator,platform,genuinely_risky_keep_noindex,added_to_noindexToolSlugs,"Platform caption drafting remains trend-abuse, spam, and engagement-expectation sensitive without final indexing approval."
linkedin-post-generator,platform,genuinely_risky_keep_noindex,added_to_noindexToolSlugs,"Professional platform post drafting can support spam, deceptive engagement, or unsupported business claims without final indexing approval."
amazon-listing-generator,platform,genuinely_risky_keep_noindex,added_to_noindexToolSlugs,"Marketplace listing generation can support unsupported product claims, ranking expectations, or policy issues without final indexing approval."
etsy-listing-generator,platform,genuinely_risky_keep_noindex,added_to_noindexToolSlugs,"Marketplace listing generation can support unsupported product claims, ranking expectations, or policy issues without final indexing approval."
youtube-hook-generator,platform,genuinely_risky_keep_noindex,added_to_noindexToolSlugs,"Fifth/sixth indexing plans say hooks need hardening first due clickbait, retention, views, and growth-expectation risk."
linkedin-summary-generator,platform,genuinely_risky_keep_noindex,added_to_noindexToolSlugs,"Professional profile summary generation can imply credentials, employment outcomes, or misleading claims without final indexing approval."
chatgpt-prompt-generator,platform,genuinely_risky_keep_noindex,added_to_noindexToolSlugs,"OpenAI/ChatGPT-branded prompt generation remains brand/platform-adjacent and was previously marked needs hardening/noindex."
