slug,classification,primary_risk,actual_tool_quality,premium_input_driven,seo_content_quality,duplicate_overlap_risk,adsense_adx_safety,legal_med_fin_sec_risk,fake_identity_document_risk,harassment_threat_spam_risk,brand_ip_platform_ai_risk,rationale,next_action,top_upgrade_candidate_rank
ao3-tag-generator,keep_noindex_risky,brand_ip_platform_dependency,hardened but brand-dependent,yes,specific,medium,high risk,low,low,low,high,"Archive/fandom tag intent is platform and fandom dependent with IP/community policy concerns.","Do not touch for indexing; keep noindex.", 
shipping-policy-generator,premium_upgrade_candidate,legal_compliance_template,moderate draft utility,yes,specific,medium,medium,high,low,low,low,"Operational policy drafting can be useful if framed as draft-only with jurisdiction/business-model review; current category remains legal/compliance sensitive.","Possible future premium upgrade with stronger draft-only workflow and professional-review gating.",2
random-address-generator,keep_noindex_risky,fake_identity_document,moderate sample output,yes,specific,medium,high risk,medium,high,low,low,"Address generation is fake identity/document adjacent and can be misused for account abuse, evasion, or deceptive records.","Do not touch except to maintain safety/noindex.", 
fake-text-generator,premium_upgrade_candidate,fake_or_placeholder_content,hardened sample-placeholder framing,yes,specific,medium,medium,low,medium,low,low,"Renamed/framed as sample placeholder text and can be upgraded toward benign mockup/test-data use, but fake-text wording still requires caution.","Safest next upgrade candidate if fake/deceptive framing is further reduced.",1
fake-name-generator,keep_noindex_risky,fake_identity_document,moderate sample output,yes,specific,medium,high risk,medium,high,low,low,"Fake-name generation remains identity-style sample data with impersonation, fraud, and account-abuse risk.","Do not touch for indexing; keep noindex.", 
pin-generator,keep_noindex_risky,security_credential,moderate demo output,yes,specific,low,high risk,high,low,low,low,"PIN generation is credential/security adjacent even with demo framing.","Do not touch for indexing; keep noindex.", 
midjourney-prompt-generator,needs_deeper_policy_review,ai_image_ip_likeness,moderate prompt utility,yes,specific,high,medium,low,low,low,high,"AI image prompting has style/IP/likeness and platform-dependency risk; needs a deeper prompt policy review before any upgrade or indexing decision.","Policy review before touching.", 
stable-diffusion-prompt-generator,needs_deeper_policy_review,ai_image_ip_likeness,moderate prompt utility,yes,specific,high,medium,low,low,low,high,"AI image prompting can implicate protected likeness, artist-style, and unsafe visual content concerns.","Policy review before touching.", 
ransom-note-text-generator,keep_noindex_risky,threat_adjacent_text,limited novelty utility,yes,specific,medium,high risk,low,low,high,low,"The core intent is threat-adjacent even if framed as decorative typography.","Do not touch except safety/noindex maintenance.", 
sith-name-generator,keep_noindex_risky,brand_ip_fandom,hardened but franchise-dependent,yes,specific,high,high risk,low,low,low,high,"Fictional dark-fantasy naming is tightly associated with a protected franchise term.","Do not touch for indexing; keep noindex.", 
api-key-generator,keep_noindex_risky,security_credential,hardened demo formatting,yes,specific,medium,high risk,high,low,low,low,"API key generation is credential-like even when demo/sample framed.","Do not touch for indexing; keep noindex.", 
license-key-generator,keep_noindex_risky,security_or_software_key,hardened demo formatting,yes,specific,medium,high risk,high,low,low,low,"License-key generation can imply evasion, unauthorized access, or fake activation keys.","Do not touch for indexing; keep noindex.", 
recovery-code-generator,keep_noindex_risky,security_credential,hardened demo formatting,yes,specific,medium,high risk,high,low,low,low,"Recovery codes are account-security credentials and should not be promoted for indexing.","Do not touch for indexing; keep noindex.", 
invoice-generator,needs_deeper_policy_review,fake_document_financial_record,moderate draft utility,yes,specific,medium,high risk,high,high,low,low,"Invoice drafts can be useful, but fake billing/financial-record misuse risk is material.","Deeper document/fraud policy review before upgrade or indexing.",9
x-post-generator,already_hardened_but_hold,platform_spam_dependency,premium upgraded,yes,specific,medium,medium,low,low,medium,high,"Recently upgraded and input-driven, but final audit held it because X/Twitter post generation remains platform-dependent and potentially spam/engagement-adjacent.","Hold noindex; do not index without stricter social-platform review.", 
jwt-generator,keep_noindex_risky,security_credential_or_token,moderate demo utility,yes,specific,medium,high risk,high,low,low,low,"JWT generation is security/authentication adjacent and can be confused with production credentials.","Do not touch for indexing; keep noindex.", 
receipt-generator,needs_deeper_policy_review,fake_document_financial_record,moderate sample utility,yes,thin to moderate,medium,high risk,high,high,low,low,"Receipt generation is document/financial-record adjacent and can enable fake proof-of-purchase misuse.","Deeper document/fraud policy review before touching.",10
star-wars-name-generator,keep_noindex_risky,brand_ip_fandom,hardened but franchise-dependent,yes,specific,high,high risk,low,low,low,high,"Protected franchise naming intent creates IP and affiliation risk.","Do not touch for indexing; keep noindex.", 
