batchId,toolOrder,canonicalToolId,language,primaryKeyword,localizedSlug,localizedUrl,h1,metaTitle,metaDescription,source,status
B03,1,hex-color-generator,es,generador de hex color,generador-hex-color,https://taptogen.com/es/tools/generador-hex-color/,Generador de Hex Color,Generador de Hex Color gratis,"Crea borradores claros en español y revisa cada resultado antes de usarlo. Revisa exactitud, originalidad, compatibilidad y reglas del proyecto antes de publicar. No uses salidas tecnicas como credenciales, secretos de s",built_dist,PASS
B03,1,hex-color-generator,fr,générateur de hex color,generateur-hex-color,https://taptogen.com/fr/tools/generateur-hex-color/,Générateur de Hex Color,Générateur de Hex Color gratuit,"Créez des brouillons clairs en français et vérifiez chaque resultat avant usage. Verifiez exactitude, originalité, compatibilité et regles du projet avant publication. Nutilisez pas les sorties techniques comme identifia",built_dist,PASS
B03,1,hex-color-generator,de,generator für hex color,generator-hex-color,https://taptogen.com/de/tools/generator-hex-color/,Generator für Hex Color,Generator für Hex Color kostenlos,"Erstelle klare Entwürfe auf Deutsch und prüfe jedes Ergebnis vor der Nutzung. Prüfe Genauigkeit, Originalitaet, Kompatibilität und Projektregeln vor der Veroeffentlichung. Nutze technische Ausgaben nicht als Zugangsd",built_dist,PASS
B03,1,hex-color-generator,pt,gerador de hex color,gerador-hex-color,https://taptogen.com/pt/tools/gerador-hex-color/,Gerador de Hex Color,Gerador de Hex Color gratis,"Crie rascunhos claros em português e revise cada resultado antes de usar. Revise precisao, originalidade, compatibilidade e regras do projeto antes de publicar. Nao use saidas tecnicas como credenciais, segredos de segur",built_dist,PASS
B03,1,hex-color-generator,it,generatore di hex color,generatore-hex-color,https://taptogen.com/it/tools/generatore-hex-color/,Generatore di Hex Color,Generatore di Hex Color gratis,"Crea bozze chiare in italiano e controlla ogni risultato prima di usarlo. Controlla accuratezza, originalità, compatibilità e regole del progetto prima della pubblicazione. Non usare output tecnici come credenziali, segr",built_dist,PASS
B03,1,hex-color-generator,pl,generator hex color,generator-hex-color,https://taptogen.com/pl/tools/generator-hex-color/,Generator Hex Color,Generator Hex Color za darmo,"Twórz jasne wersje robocze po polsku i sprawdźaj wynik przed użyciem. Sprawdź dokładność, oryginalność, zgodność i zasady projektu przed publikacją. Nie uzywaj wynikow technicznych jako danych dostepowych, sekretow bezpi",built_dist,PASS
B03,1,hex-color-generator,ru,generator hex color,generator-hex-color,https://taptogen.com/ru/tools/generator-hex-color/,Generator Hex Color,Generator Hex Color besplatno,"Sozdavaite ponyatnye chernoviki na russkom i proveriaite rezultat pered ispolzovaniem. Proverte tochnost, originalnost, sovmestimost i pravila proekta pered publikatsiei. Ne ispolzuyte tekhnicheskie rezultaty kak uchetny",built_dist,PASS
B03,1,hex-color-generator,tr,olusturucu hex color,olusturucu-hex-color,https://taptogen.com/tr/tools/olusturucu-hex-color/,Olusturucu Hex Color,Olusturucu Hex Color ucretsiz,"Turkce net taslaklar olusturun ve kullanmadan once sonucu kontrol edin. Yayinlamadan once dogruluk, ozgunluk, uyumluluk ve proje kurallarini kontrol edin. Teknik ciktilari kimlik bilgisi, guvenlik sirri veya uretim degis",built_dist,PASS
B03,1,hex-color-generator,id,generator hex color,generator-hex-color,https://taptogen.com/id/tools/generator-hex-color/,Generator Hex Color,Generator Hex Color gratis,"Buat draf yang jelas dalam bahasa Indonesia dan tinjau hasil sebelum digunakan. Periksa akurasi, orisinalitas, kompatibilitas, dan aturan proyek sebelum menerbitkan. Jangan gunakan output teknis sebagai kredensial, rahas",built_dist,PASS
B03,1,hex-color-generator,sv,generator for hex color,generator-hex-color,https://taptogen.com/sv/tools/generator-hex-color/,Generator for Hex Color,Generator for Hex Color gratis,"Skapa tydliga utkast pa svenska och granska resultatet innan du anvander det. Kontrollera noggrannhet, originalitet, kompatibilitet och projektregler fore publicering. Anvand inte tekniska resultat som inloggningsuppgift",built_dist,PASS
