tool_name,slug,category,generator_type,required_toolOptions,special_functionality,risk_level,index_status,reason_for_inclusion
"name generator for elves","name-generator-for-elves","unknown","unknown","","","high","hold","User explicit hold/move"
"god name generator","god-name-generator","unknown","unknown","","","high","hold","User explicit hold/move"
"greek name generator","greek-name-generator","unknown","unknown","","","high","hold","User explicit hold/move"
"deity name generator","deity-name-generator","unknown","unknown","","","high","hold","User explicit hold/move"
"roman name generator","roman-name-generator","unknown","unknown","","","high","hold","User explicit hold/move"
"cyberpunk crew name generator","cyberpunk-crew-name-generator","unknown","unknown","","","high","hold","User explicit hold/move"
"gang name generator","gang-name-generator","unknown","unknown","","","high","hold","User explicit hold/move"
"asia name generator","asia-name-generator","unknown","unknown","","","high","hold","User explicit hold/move"
"gangster name generator","gangster-name-generator","unknown","unknown","","","high","hold","User explicit hold/move"
"iupac name generator","iupac-name-generator","unknown","unknown","","","high","hold","User explicit hold/move"
"muslim name generator","muslim-name-generator","unknown","unknown","","","high","hold","User explicit hold/move"
"sword name generator","sword-name-generator","unknown","unknown","","","high","hold","User explicit hold/move"
"united states name generator","united-states-name-generator","unknown","unknown","","","high","hold","User explicit hold/move"
"bracket name generator","bracket-name-generator","unknown","unknown","","","high","hold","User explicit hold/move"
"clown name generator","clown-name-generator","unknown","unknown","","","high","hold","User explicit hold/move"
"imperial name generator","imperial-name-generator","unknown","unknown","","","high","hold","User explicit hold/move"
"graffiti name generator","graffiti-name-generator","unknown","unknown","","","high","hold","User explicit hold/move"
