final_slug,keywords_to_add
"video-game-name-generator","game name generator"
"gaming-name-generator","xbox name generator | gamer name generator"
"team-name-generator","group name generator | fantasy football team name generator"
"viking-name-generator","norse name generator | nordic name generator"
"character-name-generator","oc name generator"
"funny-name-generator","silly name generator | humorous name generator"
"elf-name-generator","elvish name generator | wood elf name generator | dark elf name generator | dnd elf name generator"
"fairy-name-generator","fae name generator"
"instagram-name-generator","ig name generator | instagram username generator"
"wizard-name-generator","mage name generator | sorcerer name generator"
"domain-name-generator","website name generator"
"ship-name-generator","boat name generator"
"display-name-generator","screen name generator"
"couple-name-generator","name combiner generator | name mixer generator"
"dog-name-generator","puppy name generator"
"discord-name-generator","discord server name generator"
"gnome-name-generator","gnomish name generator"
"medieval-name-generator","knight name generator | noble name generator | medieval town name generator"
"band-name-generator","kpop group name generator | music group name generator | metal band name generator"
"star-wars-name-generator","mandalorian name generator | jedi name generator"
"street-name-generator","road name generator"
"pet-name-generator","animal name generator"
"movie-name-generator","film name generator"
"tavern-name-generator","bar name generator"
"kingdom-name-generator","empire name generator | fantasy kingdom name generator | country name generator"
"book-name-generator","novel name generator"
"fake-name-generator","random name generator from list | fantasy name generator human | human name generator dnd | human name generator | human name generator wow"
"wrestling-name-generator","wrestler name generator | pro wrestling name generator"
"cocktail-name-generator","drink name generator"
"guild-name-generator","faction name generator"
"club-name-generator","organization name generator"
"horse-name-generator","race horse name generator | pony name generator"
"superhero-name-generator","supervillain name generator | hero name generator"
"shop-name-generator","boutique name generator | store name generator | shopify name generator | etsy shop name generator"
"monster-name-generator","creature name generator"
"villain-name-generator","evil name generator"
"project-name-generator","operation name generator"
"wolf-name-generator","warrior cat name generator"
"dwarf-name-generator","dwarven name generator"
"town-name-generator","fantasy town name generator | village name generator | fictional town name generator"
"dnd-name-generator","dnd character name generator"
"alien-name-generator","sci fi name generator | alien species name generator"
"tiefling-name-generator","tiefling name generator dnd"
"fantasy-name-generator","fantasy character name generator"
"orc-name-generator","half orc name generator"
"pirate-name-generator","pirate ship name generator"
"sith-name-generator","sith lord name generator"
"pokemon-name-generator","pokemon trainer name generator | pokemon nickname generator"
"baby-name-generator","boy name generator"
"name-generator","first name generator"
"last-name-generator","family name generator"
"japanese-name-generator","japanese last name generator"
"business-name-generator","brand name generator"
"planet-name-generator","world name generator"
"island-name-generator","animal crossing island name generator"
"school-name-generator","high school name generator | magic school name generator"
"city-name-generator","fictional city name generator"
"minecraft-name-generator","minecraft world name generator"
"twitter-name-generator","twitter username generator"
"nickname-generator","random nickname generator | cute nickname generator"
"fancy-text-generator","text font generator | special text generator | custom text generator"
"creepy-text-generator","weird text generator"
"image-alt-text-generator","alt text generator"
"wordart-generator","text art generator"
"tattoo-name-generator","tattoo text generator"
"strikethrough-text-generator","strike text generator"
"logo-generator","text logo generator"
"brat-text-generator","charli xcx text generator"
"pixel-text-generator","8 bit text generator | pixelated text generator | pixel art text generator"
"spongebob-text-generator","sarcastic text generator"
"uwu-text-generator","owo text generator"
"tiktok-caption-generator","tiktok text generator"
"vaporwave-text-generator","wide text generator"
"cute-text-generator","kawaii text generator"
"retro-text-generator","80s text generator | vintage text generator"
"cursive-name-generator","cursive handwriting name generator | cursive writing name generator"
"facebook-hashtag-generator","facebook tag generator | facebook marketplace tag generator"
"tiktok-hashtag-generator","tiktok tag generator"
"instagram-hashtag-generator","instagram tag generator"
"meta-tag-generator","open graph meta tag generator"
"seo-title-generator","seo title tag generator"
"soundcloud-tag-generator","producer tag generator | beat tag generator | music tag generator"
"utm-generator","utm tag generator"
"graffiti-text-generator","graffiti tag generator"
"hashtag-generator","tag generator"
"synonym-generator","thesaurus generator"
"random-phrase-generator","phrase generator | random saying generator"
"all-caps-generator","caps generator"
"shakespeare-insult-generator","shakespearean insult generator"
"random-text-generator","random paragraph generator"
"drag-name-generator","drag queen name generator"
"paragraph-generator","writing generator"
"blog-name-generator","blog site name generator"
"essay-title-generator","essay name generator"
"undertale-text-generator","deltarune text generator"
"dark-souls-text-generator","elden ring text generator"
"harry-potter-name-generator","hogwarts name generator"
"stage-name-generator","artist name generator"
"photography-name-generator","photography business name generator"
"gibberish-generator","gibberish text generator"
"citation-generator","in text citation generator"
"qr-code-text-generator","qr code generator for text"
"corporate-speak-generator","business jargon generator"
"terms-generator","terms and conditions generator"
"robots-txt-generator","robots.txt generator"
"schema-tag-generator","schema markup generator"
"dalle-prompt-generator","dall-e prompt generator"
"email-subject-generator","email subject line generator"
"bio-generator","professional bio generator"
"sentence-generator","random sentence generator"
"giveaway-generator","giveaway winner generator"
"special-character-generator","character generator"
"multiple-choice-generator","multiple choice question generator"
"text-summary-generator","summary generator"
