slug,classification,primary_risk,upgrade_readiness,do_not_touch,merge_or_canonical_candidate,policy_sensitive,reason,next_action
ao3-tag-generator,keep_noindex_risky,brand_ip_platform_dependency,not_safe_for_indexing,yes,no,no,"Archive/fandom tag intent remains platform and fandom dependent with IP, affiliation, and community-policy concerns.","Keep noindex; do not touch except safety maintenance."
random-address-generator,keep_noindex_risky,fake_identity_location_data,not_safe_for_indexing,yes,no,no,"Fictional address generation is fake-identity and deceptive-record adjacent even with placeholder framing.","Keep noindex; do not touch except safety maintenance."
fake-name-generator,keep_noindex_risky,fake_identity_data,not_safe_for_indexing,yes,no,no,"Fake-name generation remains identity-style sample data with impersonation, evasion, and account-abuse risk.","Keep noindex; do not touch except safety maintenance."
pin-generator,keep_noindex_risky,security_credential,not_safe_for_indexing,yes,no,no,"PIN generation is credential/security adjacent and can be confused with access-control material.","Keep noindex; do not touch except safety maintenance."
midjourney-prompt-generator,needs_deeper_policy_review,ai_image_ip_likeness_platform,policy_review_required,no,no,yes,"AI image prompting has protected style, likeness, IP, and platform-dependency risk despite useful prompt drafting.","Do not index; run deeper AI/image prompt policy review before any upgrade."
stable-diffusion-prompt-generator,needs_deeper_policy_review,ai_image_ip_likeness_safety,policy_review_required,no,no,yes,"Stable Diffusion prompting can implicate protected likeness, artist-style imitation, unsafe visual requests, and model-safety claims.","Do not index; run deeper AI/image prompt policy review before any upgrade."
ransom-note-text-generator,keep_noindex_risky,threat_adjacent_text,not_safe_for_indexing,yes,no,no,"The core format is threat-adjacent even when framed as decorative fictional typography.","Keep noindex; do not touch except safety maintenance."
sith-name-generator,keep_noindex_risky,brand_ip_fandom,not_safe_for_indexing,yes,no,no,"Name intent is tightly associated with a protected franchise term and fan/IP context.","Keep noindex; do not touch except safety maintenance."
api-key-generator,keep_noindex_risky,security_credential_placeholder,not_safe_for_indexing,yes,no,no,"API key generation is credential-like even when outputs are labeled as sample placeholders.","Keep noindex; do not touch except safety maintenance."
license-key-generator,keep_noindex_risky,software_key_or_entitlement,not_safe_for_indexing,yes,no,no,"License-key generation can imply fake activation, entitlement misuse, or unauthorized-access workflows.","Keep noindex; do not touch except safety maintenance."
recovery-code-generator,keep_noindex_risky,security_recovery_credential,not_safe_for_indexing,yes,no,no,"Recovery codes are account-security credentials and should not be promoted for indexing.","Keep noindex; do not touch except safety maintenance."
invoice-generator,needs_deeper_policy_review,financial_document_record,policy_review_required,no,no,yes,"Invoice drafts can be useful, but fake billing, tax, accounting, and financial-record misuse risk remains material.","Do not index; run deeper document, fraud, and tax-adjacent policy review before any upgrade."
x-post-generator,already_hardened_but_hold,platform_spam_engagement_dependency,hold_after_hardening,no,no,no,"The tool has been upgraded and is input-driven, but X/Twitter post generation remains platform, reach, engagement, and spam adjacent.","Keep noindex pending stricter social-platform review."
jwt-generator,keep_noindex_risky,security_token,not_safe_for_indexing,yes,no,no,"JWT generation is authentication/security adjacent and can be confused with production tokens.","Keep noindex; do not touch except safety maintenance."
receipt-generator,needs_deeper_policy_review,financial_document_record,policy_review_required,no,no,yes,"Receipt generation can enable fake proof-of-purchase or financial-record misuse even with draft/sample framing.","Do not index; run deeper document, fraud, and tax-adjacent policy review before any upgrade."
star-wars-name-generator,keep_noindex_risky,brand_ip_fandom,not_safe_for_indexing,yes,no,no,"Protected franchise naming intent creates IP, affiliation, and character-copying risk.","Keep noindex; do not touch except safety maintenance."
roblox-name-generator,keep_noindex_risky,brand_ip_platform_identity,not_safe_for_indexing,yes,no,no,"Platform-branded name generation creates brand, username, impersonation, and availability-risk concerns.","Keep noindex; do not touch except safety maintenance."
harry-potter-name-generator,keep_noindex_risky,brand_ip_fandom,not_safe_for_indexing,yes,no,no,"Protected franchise naming intent creates IP, affiliation, and character-copying risk.","Keep noindex; do not touch except safety maintenance."
pokemon-name-generator,keep_noindex_risky,brand_ip_fandom,not_safe_for_indexing,yes,no,no,"Protected franchise naming intent creates IP, affiliation, and character-copying risk.","Keep noindex; do not touch except safety maintenance."
fortnite-name-generator,keep_noindex_risky,brand_ip_platform_identity,not_safe_for_indexing,yes,no,no,"Game/platform-branded naming creates IP, platform, impersonation, and username-risk concerns.","Keep noindex; do not touch except safety maintenance."
minecraft-name-generator,keep_noindex_risky,brand_ip_platform_identity,not_safe_for_indexing,yes,no,no,"Game/platform-branded naming creates IP, platform, impersonation, and username-risk concerns.","Keep noindex; do not touch except safety maintenance."
valorant-name-generator,keep_noindex_risky,brand_ip_platform_identity,not_safe_for_indexing,yes,no,no,"Game/platform-branded naming creates IP, platform, impersonation, and username-risk concerns.","Keep noindex; do not touch except safety maintenance."
league-of-legends-name-generator,keep_noindex_risky,brand_ip_platform_identity,not_safe_for_indexing,yes,no,no,"Game/platform-branded naming creates IP, platform, impersonation, and username-risk concerns.","Keep noindex; do not touch except safety maintenance."
minecraft-text-generator,keep_noindex_risky,brand_ip_style,not_safe_for_indexing,yes,no,no,"Text style is tied to a protected game brand and may imply affiliation or protected-style copying.","Keep noindex; do not touch except safety maintenance."
dark-souls-text-generator,keep_noindex_risky,brand_ip_style,not_safe_for_indexing,yes,no,no,"Text/message style is tied to a protected game brand and fandom convention.","Keep noindex; do not touch except safety maintenance."
star-wars-text-generator,keep_noindex_risky,brand_ip_style,not_safe_for_indexing,yes,no,no,"Text style is tied to a protected franchise and can imply official/fandom IP use.","Keep noindex; do not touch except safety maintenance."
spongebob-text-generator,keep_noindex_risky,brand_ip_character_style,not_safe_for_indexing,yes,no,no,"Text style depends on a protected character/franchise reference.","Keep noindex; do not touch except safety maintenance."
undertale-text-generator,keep_noindex_risky,brand_ip_style,not_safe_for_indexing,yes,no,no,"Text style is tied to a protected game and fandom context.","Keep noindex; do not touch except safety maintenance."
pokemon-text-generator,keep_noindex_risky,brand_ip_style,not_safe_for_indexing,yes,no,no,"Text style is tied to a protected franchise and may imply official/fandom IP use.","Keep noindex; do not touch except safety maintenance."
roblox-username-generator,keep_noindex_risky,brand_ip_platform_identity,not_safe_for_indexing,yes,no,no,"Platform username generation is identity, brand, availability, and platform-policy dependent.","Keep noindex; do not touch except safety maintenance."
acceptable-use-policy-generator,needs_deeper_policy_review,legal_compliance_policy_template,policy_review_required,no,no,yes,"AUP drafting is legal/compliance-adjacent and needs jurisdiction, platform, and business-model review warnings.","Do not index; run deeper legal/policy readiness review before any upgrade."
contract-generator,needs_deeper_policy_review,legal_contract_template,policy_review_required,no,no,yes,"Contract generation is high-reliance legal drafting; draft-only framing is not enough for indexing approval.","Do not index; run deeper legal review before any upgrade."
dalle-prompt-generator,needs_deeper_policy_review,ai_image_ip_likeness_platform,policy_review_required,no,no,yes,"AI image prompting includes protected style, likeness, IP, unsafe prompt, and platform-naming risks.","Do not index; run deeper AI/image prompt policy review before any upgrade."
dmca-policy-generator,needs_deeper_policy_review,legal_copyright_compliance_template,policy_review_required,no,no,yes,"DMCA policy content is legal/compliance-specific and could mislead users without professional review.","Do not index; run deeper legal/copyright policy review before any upgrade."
password-generator,keep_noindex_risky,security_credential,not_safe_for_indexing,yes,no,no,"Password generation is security-sensitive despite practical browser-local utility.","Keep noindex; do not touch except safety maintenance."
instagram-hashtag-generator,already_hardened_but_hold,platform_spam_reach_dependency,hold_after_hardening,no,no,no,"The tool has been upgraded and is input-driven, but hashtag generation remains platform, reach, trend, and spam adjacent.","Keep noindex pending stricter social-platform review."
tiktok-hashtag-generator,already_hardened_but_hold,platform_spam_reach_dependency,hold_after_hardening,no,no,no,"The tool has been upgraded and is input-driven, but TikTok hashtag generation remains viral/reach/platform adjacent.","Keep noindex pending stricter social-platform review."
shakespeare-insult-generator,keep_noindex_risky,harassment_insult,not_safe_for_indexing,yes,no,no,"Insult generation is harassment-adjacent even with playful or consenting-friends framing.","Keep noindex; do not touch except safety maintenance."
