keyword,normalized_keyword,decision,matched_existing_slug,matched_existing_tool_name,confidence,reason,recommended_action,risk_level,index_recommendation,notes
name generator,name generator,covered_by_existing_tool,name-generator,Name Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
ship name generator,ship name generator,covered_by_existing_tool,couple-name-generator,Couple Name Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
wu tang name generator,wutang name generator,hold_sensitive_or_brand_risk,,,high,"Brand, franchise, celebrity, platform, or third-party product-specific query without a current retained canonical tool.",Hold or noindex only after manual trademark/platform-safety review.,medium,hold,Avoid thin franchise/brand doorway pages.
team name generator,team name generator,covered_by_existing_tool,team-name-generator,Team Name Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
name generator for elves,elves name generator,add_as_faq_or_seo_section,name-generator,Name Generator,medium,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Add as FAQ/SEO phrasing under name-generator if search data supports it.,low,index,"Useful for semantic coverage, not a standalone intent."
funny name generator,funny name generator,covered_by_existing_tool,funny-name-generator,Funny Name Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
game name generator,game name generator,covered_by_existing_tool,video-game-name-generator,Video Game Name Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
mlp name generator,mlp name generator,hold_sensitive_or_brand_risk,,,high,"Brand, franchise, celebrity, platform, or third-party product-specific query without a current retained canonical tool.",Hold or noindex only after manual trademark/platform-safety review.,medium,hold,Avoid thin franchise/brand doorway pages.
restaurant name generator,restaurant name generator,covered_by_existing_tool,cafe-name-generator,Cafe Name Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
viking name generator,viking name generator,covered_by_existing_tool,viking-name-generator,Viking Name Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
villain name generator,villain name generator,covered_by_existing_tool,superhero-name-generator,Superhero Name Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
warriors name generator,warriors name generator,covered_by_existing_tool,warrior-name-generator,Warrior Name Generator,medium,Covered by canonical synonym/cluster mapping.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
wizard name generator,wizard name generator,covered_by_existing_tool,witch-name-generator,Witch Name Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
xbox name generator,xbox name generator,covered_by_existing_tool,gaming-name-generator,Gaming Name Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
british name generator,british name generator,add_as_mode_or_option,name-generator,Name Generator,medium,"Modifier is best handled as a filter/style/mode within an existing broad premium tool, not a separate page.",Consider adding a mode or option to name-generator; do not create a standalone thin tool.,low,index,Clustered to avoid duplicate/thin tools.
dog name generator,dog name generator,covered_by_existing_tool,wolf-name-generator,Wolf Name Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
farm name generator,farm name generator,covered_by_existing_tool,farm-name-generator,Farm Name Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
funniest name generator,funniest name generator,add_as_faq_or_seo_section,name-generator,Name Generator,medium,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Add as FAQ/SEO phrasing under name-generator if search data supports it.,low,index,"Useful for semantic coverage, not a standalone intent."
god name generator,god name generator,add_as_mode_or_option,fantasy-name-generator,Fantasy Name Generator,medium,"Modifier is best handled as a filter/style/mode within an existing broad premium tool, not a separate page.",Consider adding a mode or option to fantasy-name-generator; do not create a standalone thin tool.,low,index,Clustered to avoid duplicate/thin tools.
greek name generator,greek name generator,add_as_faq_or_seo_section,name-generator,Name Generator,medium,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Add as FAQ/SEO phrasing under name-generator if search data supports it.,low,index,"Useful for semantic coverage, not a standalone intent."
group name generator,group name generator,covered_by_existing_tool,team-name-generator,Team Name Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
halfling name generator,halfling name generator,add_as_faq_or_seo_section,name-generator,Name Generator,medium,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Add as FAQ/SEO phrasing under name-generator if search data supports it.,low,index,"Useful for semantic coverage, not a standalone intent."
horse name generator,horse name generator,covered_by_existing_tool,horse-name-generator,Horse Name Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
norse name generator,norse name generator,covered_by_existing_tool,viking-name-generator,Viking Name Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
