"canonicalToolId","language","localizedPath","primaryKeyword","localizedSlug","h1","qualityStatus","qualityNotes","technicalStatus","technicalNotes"
"name-generator","sv","/sv/tools/namngenerator/","namngenerator","namngenerator","Namngenerator","PASS","Keyword, ASCII slug, H1, FAQ topics, intent alignment, safety category, and localized UI support pass strict review; no noindex or redirected canonical tool included.","PASS","Built page exists, indexable robots directive, self-canonical, complete hreflang set across all pilot languages, x-default, English same-tool route, and no preview/local host markers."
"name-generator","ms","/ms/tools/penjana-nama/","penjana nama","penjana-nama","Penjana nama","PASS","Keyword, ASCII slug, H1, FAQ topics, intent alignment, safety category, and localized UI support pass strict review; no noindex or redirected canonical tool included.","PASS","Built page exists, indexable robots directive, self-canonical, complete hreflang set across all pilot languages, x-default, English same-tool route, and no preview/local host markers."
"name-generator","bg","/bg/tools/generator-na-imena/","генератор на имена","generator-na-imena","Генератор на имена","PASS","Keyword, ASCII slug, H1, FAQ topics, intent alignment, safety category, and localized UI support pass strict review; no noindex or redirected canonical tool included.","PASS","Built page exists, indexable robots directive, self-canonical, complete hreflang set across all pilot languages, x-default, English same-tool route, and no preview/local host markers."
"username-generator","sv","/sv/tools/anvandarnamn-generator/","anvandarnamn generator","anvandarnamn-generator","Anvandarnamn generator","PASS","Keyword, ASCII slug, H1, FAQ topics, intent alignment, safety category, and localized UI support pass strict review; no noindex or redirected canonical tool included.","PASS","Built page exists, indexable robots directive, self-canonical, complete hreflang set across all pilot languages, x-default, English same-tool route, and no preview/local host markers."
"username-generator","ms","/ms/tools/penjana-nama-pengguna/","penjana nama pengguna","penjana-nama-pengguna","Penjana nama pengguna","PASS","Keyword, ASCII slug, H1, FAQ topics, intent alignment, safety category, and localized UI support pass strict review; no noindex or redirected canonical tool included.","PASS","Built page exists, indexable robots directive, self-canonical, complete hreflang set across all pilot languages, x-default, English same-tool route, and no preview/local host markers."
"username-generator","bg","/bg/tools/generator-na-potrebitelski-imena/","генератор на потребителски имена","generator-na-potrebitelski-imena","Генератор на потребителски имена","PASS","Keyword, ASCII slug, H1, FAQ topics, intent alignment, safety category, and localized UI support pass strict review; no noindex or redirected canonical tool included.","PASS","Built page exists, indexable robots directive, self-canonical, complete hreflang set across all pilot languages, x-default, English same-tool route, and no preview/local host markers."
"business-name-generator","sv","/sv/tools/foretagsnamn-generator/","foretagsnamn generator","foretagsnamn-generator","Foretagsnamn generator","PASS","Keyword, ASCII slug, H1, FAQ topics, intent alignment, safety category, and localized UI support pass strict review; no noindex or redirected canonical tool included.","PASS","Built page exists, indexable robots directive, self-canonical, complete hreflang set across all pilot languages, x-default, English same-tool route, and no preview/local host markers."
"business-name-generator","ms","/ms/tools/penjana-nama-perniagaan/","penjana nama perniagaan","penjana-nama-perniagaan","Penjana nama perniagaan","PASS","Keyword, ASCII slug, H1, FAQ topics, intent alignment, safety category, and localized UI support pass strict review; no noindex or redirected canonical tool included.","PASS","Built page exists, indexable robots directive, self-canonical, complete hreflang set across all pilot languages, x-default, English same-tool route, and no preview/local host markers."
"business-name-generator","bg","/bg/tools/generator-na-firmeni-imena/","генератор на фирмени имена","generator-na-firmeni-imena","Генератор на фирмени имена","PASS","Keyword, ASCII slug, H1, FAQ topics, intent alignment, safety category, and localized UI support pass strict review; no noindex or redirected canonical tool included.","PASS","Built page exists, indexable robots directive, self-canonical, complete hreflang set across all pilot languages, x-default, English same-tool route, and no preview/local host markers."
"fantasy-name-generator","sv","/sv/tools/fantasynamn-generator/","fantasynamn generator","fantasynamn-generator","Fantasynamn generator","PASS","Keyword, ASCII slug, H1, FAQ topics, intent alignment, safety category, and localized UI support pass strict review; no noindex or redirected canonical tool included.","PASS","Built page exists, indexable robots directive, self-canonical, complete hreflang set across all pilot languages, x-default, English same-tool route, and no preview/local host markers."
"fantasy-name-generator","ms","/ms/tools/penjana-nama-fantasi/","penjana nama fantasi","penjana-nama-fantasi","Penjana nama fantasi","PASS","Keyword, ASCII slug, H1, FAQ topics, intent alignment, safety category, and localized UI support pass strict review; no noindex or redirected canonical tool included.","PASS","Built page exists, indexable robots directive, self-canonical, complete hreflang set across all pilot languages, x-default, English same-tool route, and no preview/local host markers."
"fantasy-name-generator","bg","/bg/tools/generator-na-fantazi-imena/","генератор на фентъзи имена","generator-na-fantazi-imena","Генератор на фентъзи имена","PASS","Keyword, ASCII slug, H1, FAQ topics, intent alignment, safety category, and localized UI support pass strict review; no noindex or redirected canonical tool included.","PASS","Built page exists, indexable robots directive, self-canonical, complete hreflang set across all pilot languages, x-default, English same-tool route, and no preview/local host markers."
"character-name-generator","sv","/sv/tools/karaktarsnamn-generator/","karaktarsnamn generator","karaktarsnamn-generator","Karaktarsnamn generator","PASS","Keyword, ASCII slug, H1, FAQ topics, intent alignment, safety category, and localized UI support pass strict review; no noindex or redirected canonical tool included.","PASS","Built page exists, indexable robots directive, self-canonical, complete hreflang set across all pilot languages, x-default, English same-tool route, and no preview/local host markers."
"character-name-generator","ms","/ms/tools/penjana-nama-watak/","penjana nama watak","penjana-nama-watak","Penjana nama watak","PASS","Keyword, ASCII slug, H1, FAQ topics, intent alignment, safety category, and localized UI support pass strict review; no noindex or redirected canonical tool included.","PASS","Built page exists, indexable robots directive, self-canonical, complete hreflang set across all pilot languages, x-default, English same-tool route, and no preview/local host markers."
"character-name-generator","bg","/bg/tools/generator-na-imena-na-geroi/","генератор на имена на герои","generator-na-imena-na-geroi","Генератор на имена на герои","PASS","Keyword, ASCII slug, H1, FAQ topics, intent alignment, safety category, and localized UI support pass strict review; no noindex or redirected canonical tool included.","PASS","Built page exists, indexable robots directive, self-canonical, complete hreflang set across all pilot languages, x-default, English same-tool route, and no preview/local host markers."
"baby-name-generator","sv","/sv/tools/bebisnamn-generator/","bebisnamn generator","bebisnamn-generator","Bebisnamn generator","PASS","Keyword, ASCII slug, H1, FAQ topics, intent alignment, safety category, and localized UI support pass strict review; no noindex or redirected canonical tool included.","PASS","Built page exists, indexable robots directive, self-canonical, complete hreflang set across all pilot languages, x-default, English same-tool route, and no preview/local host markers."
"baby-name-generator","ms","/ms/tools/penjana-nama-bayi/","penjana nama bayi","penjana-nama-bayi","Penjana nama bayi","PASS","Keyword, ASCII slug, H1, FAQ topics, intent alignment, safety category, and localized UI support pass strict review; no noindex or redirected canonical tool included.","PASS","Built page exists, indexable robots directive, self-canonical, complete hreflang set across all pilot languages, x-default, English same-tool route, and no preview/local host markers."
