slug,name,category,indexable,overall_severity,issue_count,blocker_count,should_fix_count,nice_to_have_count,issue_codes,issue_details,tools_needing_premium_functionality_improvement,tools_needing_seo_content_improvement,should_reconsider_noindex,title_length,meta_description_length,faq_count,related_tool_count,has_tool_options,has_premium_controls,has_premium_guide_copy,unique_tool_intent,premium_tool_functionality,input_driven_output,non_generic_output,title_h1_meta,helpful_intro,useful_below_tool_content,specific_faqs,canonical,robots,related_links,duplicate_page_issue,risky_indexable,mojibake,unsafe_legacy_js,sitemap,ads_safe,layout_cls
fancy-text-generator,Fancy Text Generator,text-font-generators,yes,should_fix,2,0,1,1,should_fix:generic_or_thin_faqs|nice_to_have:no_visible_specialized_options,generic_or_thin_faqs: FAQ count=2; FAQ answers should be specific and useful. || no_visible_specialized_options: Indexable page has no visible specialized options.,yes,yes,no,49,137,2,4,no,yes,yes,pass,review,pass,pass,pass,pass,pass,review,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
name-generator,Name Generator,name-generators,yes,pass,0,0,0,0,,,no,no,no,44,102,4,4,yes,yes,yes,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
username-generator,Username Generator,name-generators,yes,pass,0,0,0,0,,,no,no,no,50,123,3,3,yes,yes,yes,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
business-name-generator,Business Name Generator,business-generators,yes,nice_to_have,2,0,0,2,nice_to_have:no_visible_specialized_options|nice_to_have:generic_initial_output_state,no_visible_specialized_options: Indexable page has no visible specialized options. || generic_initial_output_state: Initial output state may benefit from richer mode-specific examples.,yes,no,no,47,131,3,3,no,yes,yes,pass,review,review,review,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
youtube-tag-generator,YouTube Tag Generator,social-media-tools,yes,should_fix,1,0,1,0,should_fix:weak_related_links,weak_related_links: Related valid count=2.,no,yes,no,49,113,6,2,yes,yes,yes,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,review,pass,pass,pass,pass,pass,pass,pass
instagram-bio-generator,Instagram Bio Generator,bio-caption-generators,no,blocker,1,1,0,0,blocker:sitemap_mismatch,sitemap_mismatch: Noindex page appears in sitemap.,no,no,no,44,122,4,3,yes,yes,yes,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,fail,pass,pass
meta-tag-generator,Meta Tag Generator,seo-generators,yes,pass,0,0,0,0,,,no,no,no,41,98,4,4,yes,yes,yes,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
bold-text-generator,Bold Text Generator,text-font-generators,yes,nice_to_have,1,0,0,1,nice_to_have:no_visible_specialized_options,no_visible_specialized_options: Indexable page has no visible specialized options.,yes,no,no,48,103,4,4,no,yes,yes,pass,review,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
cursive-text-generator,Cursive Text Generator,text-font-generators,yes,should_fix,2,0,1,1,should_fix:generic_or_thin_faqs|nice_to_have:no_visible_specialized_options,generic_or_thin_faqs: FAQ count=0; FAQ answers should be specific and useful. || no_visible_specialized_options: Indexable page has no visible specialized options.,yes,yes,no,51,139,0,4,no,yes,yes,pass,review,pass,pass,pass,pass,pass,review,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
glitch-text-generator,Glitch Text Generator,text-font-generators,yes,nice_to_have,1,0,0,1,nice_to_have:no_visible_specialized_options,no_visible_specialized_options: Indexable page has no visible specialized options.,yes,no,no,40,110,4,4,no,yes,yes,pass,review,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
password-generator,Password Generator,utility-generators,no,blocker,1,1,0,0,blocker:sitemap_mismatch,sitemap_mismatch: Noindex page appears in sitemap.,no,no,no,42,91,1,2,yes,yes,yes,pass,pass,pass,pass,review,pass,pass,review,pass,pass,review,pass,pass,pass,pass,fail,pass,pass
lorem-ipsum-generator,Lorem Ipsum Generator,utility-generators,yes,nice_to_have,1,0,0,1,nice_to_have:intro_content_thin_or_keyword_light,intro_content_thin_or_keyword_light: Source description could be more aligned with primary keyword.,no,no,no,56,104,4,4,yes,yes,yes,pass,pass,pass,pass,pass,review,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
fantasy-name-generator,Fantasy Name Generator,gaming-generators,yes,pass,0,0,0,0,,,no,no,no,41,117,4,4,yes,yes,yes,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
text-case-converter,Text Case Converter,utility-generators,yes,pass,0,0,0,0,,,no,no,no,52,102,4,4,yes,yes,yes,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
team-name-generator,Team Name Generator,name-generators,yes,pass,0,0,0,0,,,no,no,no,46,99,4,4,yes,yes,yes,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
robots-txt-generator,Robots.txt Generator,seo-generators,yes,pass,0,0,0,0,,,no,no,no,43,101,4,4,yes,yes,yes,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
word-counter,Word Counter,utility-generators,yes,should_fix,1,0,1,0,should_fix:seo_metadata_review,seo_metadata_review: titleLength=31; metaDescriptionLength=117; h1Matches=true.,no,yes,no,31,117,4,4,yes,yes,yes,pass,pass,pass,pass,review,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
uuid-generator,UUID Generator,developer-generators,yes,pass,0,0,0,0,,,no,no,no,43,139,4,4,yes,yes,yes,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
random-number-generator,Random Number Generator,random-generators,yes,should_fix,1,0,1,0,should_fix:seo_metadata_review,seo_metadata_review: titleLength=42; metaDescriptionLength=91; h1Matches=true.,no,yes,no,42,91,4,4,yes,yes,yes,pass,pass,pass,pass,review,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
small-text-generator,Small Text Generator,text-font-generators,yes,nice_to_have,1,0,0,1,nice_to_have:no_visible_specialized_options,no_visible_specialized_options: Indexable page has no visible specialized options.,yes,no,no,39,109,4,4,no,yes,yes,pass,review,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
italic-text-generator,Italic Text Generator,text-font-generators,yes,nice_to_have,1,0,0,1,nice_to_have:no_visible_specialized_options,no_visible_specialized_options: Indexable page has no visible specialized options.,yes,no,no,52,149,4,4,no,yes,yes,pass,review,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
strikethrough-text-generator,Strikethrough Text Generator,text-font-generators,yes,nice_to_have,1,0,0,1,nice_to_have:no_visible_specialized_options,no_visible_specialized_options: Indexable page has no visible specialized options.,yes,no,no,47,105,4,4,no,yes,yes,pass,review,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
underline-text-generator,Underline Text Generator,text-font-generators,yes,should_fix,2,0,1,1,should_fix:generic_or_thin_faqs|nice_to_have:no_visible_specialized_options,generic_or_thin_faqs: FAQ count=0; FAQ answers should be specific and useful. || no_visible_specialized_options: Indexable page has no visible specialized options.,yes,yes,no,53,141,0,4,no,yes,yes,pass,review,pass,pass,pass,pass,pass,review,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
vaporwave-text-generator,Vaporwave Text Generator,text-font-generators,yes,nice_to_have,1,0,0,1,nice_to_have:no_visible_specialized_options,no_visible_specialized_options: Indexable page has no visible specialized options.,yes,no,no,43,105,4,4,no,yes,yes,pass,review,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
