proposed_tool_name,proposed_slug,primary_keyword,keywords_covered,final_decision,merge_into_existing_slug,add_as_mode_to_slug,risk_level,index_priority,reason
"British Name Generator","british-name-generator","british name generator","british name generator","ADD_AS_MODE_OR_OPTION","","fake-name-generator","low","medium","Nationality/ethnicity variant of real names"
"Funniest Name Generator","funniest-name-generator","funniest name generator","funniest name generator","ADD_AS_MODE_OR_OPTION","","name-generator","low","medium","Adjective modifier on existing tool"
"Halfling Name Generator","halfling-name-generator","halfling name generator","halfling name generator","ADD_AS_MODE_OR_OPTION","","dnd-name-generator","low","medium","DnD / Fantasy race variant"
"Xbox Profile Name Generator","xbox-profile-name-generator","xbox profile name generator","xbox profile name generator","ADD_AS_MODE_OR_OPTION","","fake-name-generator","low","medium","Gaming profile mode"
"Argonian Name Generator","argonian-name-generator","argonian name generator","argonian name generator","ADD_AS_MODE_OR_OPTION","","skyrim-name-generator","low","medium","Skyrim race mode"
"Breton Name Generator","breton-name-generator","breton name generator","breton name generator","ADD_AS_MODE_OR_OPTION","","skyrim-name-generator","low","medium","Skyrim race mode"
"Guy Name Generator","guy-name-generator","guy name generator","guy name generator","ADD_AS_MODE_OR_OPTION","","baby-name-generator","low","medium","Gender modifier"
"Nord Name Generator","nord-name-generator","nord name generator","nord name generator | skyrim nord name generator","ADD_AS_MODE_OR_OPTION","","skyrim-name-generator","low","medium","Skyrim race mode"
"Twilek Name Generator","twilek-name-generator","twilek name generator","twilek name generator","ADD_AS_MODE_OR_OPTION","","star-wars-name-generator","low","medium","Star Wars franchise mode"
"Dunmer Name Generator","dunmer-name-generator","dunmer name generator","dunmer name generator","ADD_AS_MODE_OR_OPTION","","skyrim-name-generator","low","medium","Skyrim race mode"
"Githyanki Name Generator","githyanki-name-generator","githyanki name generator","githyanki name generator","ADD_AS_MODE_OR_OPTION","","dnd-name-generator","low","medium","DnD / Fantasy race variant"
"Catchy Name Generator","catchy-name-generator","catchy name generator","catchy name generator","ADD_AS_MODE_OR_OPTION","","pet-name-generator","low","medium","Pet mode"
"Druid Name Generator","druid-name-generator","druid name generator","druid name generator","ADD_AS_MODE_OR_OPTION","","dnd-name-generator","low","medium","DnD / Fantasy race variant"
"Elder Scrolls Name Generator","elder-scrolls-name-generator","elder scrolls name generator","elder scrolls name generator","ADD_AS_MODE_OR_OPTION","","skyrim-name-generator","low","medium","Skyrim race mode"
"Game Of Thrones Name Generator","game-of-thrones-name-generator","game of thrones name generator","game of thrones name generator","ADD_AS_MODE_OR_OPTION","","fake-name-generator","low","medium","Gaming profile mode"
"Pubg Name Generator","pubg-name-generator","pubg name generator","pubg name generator","ADD_AS_MODE_OR_OPTION","","fake-name-generator","low","medium","Gaming profile mode"
"Scottish Name Generator","scottish-name-generator","scottish name generator","scottish name generator","ADD_AS_MODE_OR_OPTION","","fake-name-generator","low","medium","Nationality/ethnicity variant of real names"
"Tabaxi Name Generator","tabaxi-name-generator","tabaxi name generator","tabaxi name generator","ADD_AS_MODE_OR_OPTION","","dnd-name-generator","low","medium","DnD / Fantasy race variant"
