tool_slug,tool_name,current_categorySlug,recommended_categorySlug,reason
sibling-name-generator,Sibling Name Generator,human-name-generators,name-generators,"People and sibling names belong in the official name generator category."
fantasy-language-generator,Fantasy Language Generator,writing-generators,creative-generators,"Fictional language and worldbuilding content fits the creative/story category."
acceptable-use-policy-generator,Acceptable Use Policy Generator,other,business-generators,"Policy templates support websites and business operations."
app-icon-generator,App Icon Generator,other,business-generators,"App icon concepts are product and brand assets."
app-name-generator,App Name Generator,other,business-generators,"App naming is a business and product branding task."
bakery-name-generator,Bakery Name Generator,other,business-generators,"Bakery names are business naming outputs."
banner-generator,Banner Generator,other,text-font-generators,"Text banners are text formatting and ASCII-style output."
barbarian-name-generator,Barbarian Name Generator,other,gaming-generators,"Barbarian names are fantasy/RPG character names."
big-text-generator,Big Text Generator,other,text-font-generators,"Big text is a text style conversion tool."
brat-text-generator,Brat Text Generator,other,text-font-generators,"Styled text belongs with font and text style tools."
breadcrumb-generator,Breadcrumb Generator,other,seo-generators,"Breadcrumb schema is an SEO structured-data tool."
bubble-text-generator,Bubble Text Generator,other,text-font-generators,"Bubble text is Unicode text styling."
business-card-generator,Business Card Generator,other,business-generators,"Business card layouts are business collateral."
castle-name-generator,Castle Name Generator,other,gaming-generators,"Castle names serve fantasy maps, RPGs, and worldbuilding."
channel-name-generator,Channel Name Generator,other,social-media-tools,"Channel names are for YouTube, Twitch, and social platforms."
chatgpt-prompt-generator,ChatGPT Prompt Generator,other,ai-writing-generators,"Prompt generation belongs with AI writing tools."
club-name-generator,Club Name Generator,other,name-generators,"Club naming is a general name-generation task."
cocktail-name-generator,Cocktail Name Generator,other,creative-generators,"Cocktail naming is a creative naming task."
contract-generator,Contract Generator,other,business-generators,"Contracts support business and freelance workflows."
cowboy-name-generator,Cowboy Name Generator,other,gaming-generators,"Cowboy names are character/RPG/story names."
css-code-generator,CSS Code Generator,other,developer-generators,"CSS code output belongs in developer tools."
cursive-name-generator,Cursive Name Generator,other,text-font-generators,"Cursive name output is text styling."
