slug,group,outcome,source_change,status_reason,validation_required,next_action
tiktok-username-generator,merge_canonical_cleanup,merge_or_redirect_cleanup_done,yes,"Removed from tool data/discovery/sitemap generation and routed through Vercel output 301 redirect to username-generator; no standalone HTML page generated; noindexToolSlugs entry intentionally left untouched.","build, sitemap scan, redirect config scan","No indexing action; keep redirect."
x-post-generator,social_post_tool,final_keep_noindex_policy_sensitive,no,"Existing final audit keeps noindex because platform-dependent posting can create spam, harassment, misinformation, affiliate/ad, or deceptive engagement risk despite premium framing.","build and rendered robots scan","Keep noindex; do not index without stricter social/platform approval."
instagram-hashtag-generator,social_tag_tool,final_keep_noindex_policy_sensitive,no,"Premium and safety-framed, but Instagram tag generation remains platform/spam/reach-abuse sensitive and lacks final indexing approval.","build, rendered robots scan, bundle/source scan","Keep noindex."
tiktok-hashtag-generator,social_tag_tool,final_keep_noindex_policy_sensitive,no,"Premium and safety-framed, but TikTok tag generation remains platform/trend/spam/reach-abuse sensitive and lacks final indexing approval.","build, rendered robots scan, bundle/source scan","Keep noindex."
shakespeare-insult-generator,humor_banter_tool,final_keep_noindex_policy_sensitive,no,"Final humor cleanup audit resolved legacy unsafe strings, but insult/banter tooling remains abuse-sensitive and has no approval-to-index artifact.","build, rendered robots scan, unsafe bundle scan","Keep noindex."
comeback-generator,humor_banter_tool,final_keep_noindex_policy_sensitive,no,"Final humor cleanup audit resolved legacy hostile fallback strings, but comeback tooling remains harassment/escalation-sensitive and has no approval-to-index artifact.","build, rendered robots scan, unsafe bundle scan","Keep noindex."
roast-generator,humor_banter_tool,final_keep_noindex_policy_sensitive,no,"Final humor cleanup audit resolved harsh roast fallback strings, but roast tooling remains bullying/humiliation-sensitive and has no approval-to-index artifact.","build, rendered robots scan, unsafe bundle scan","Keep noindex."
contract-generator,legal_policy_tool,upgraded_and_ready_for_audit,yes,"Added stronger draft-only metadata, FAQ, options, disclaimer, relatedSlugs, and removed obsolete legal fallback switch case; still noindex pending deeper legal approval.","build, rendered robots scan, legacy fallback scan","Run dedicated final legal indexing audit before any noindex removal."
dmca-policy-generator,legal_policy_tool,final_keep_noindex_policy_sensitive,yes,"Premium and input-driven, but copyright/DMCA workflow content remains high-risk legal-process content; removed obsolete DMCA fallback switch case from bundle path.","build, rendered robots scan, legacy fallback scan","Keep noindex."
privacy-policy-generator,legal_policy_tool,final_keep_noindex_policy_sensitive,no,"Premium and input-driven, but privacy notice generation remains privacy-law/compliance sensitive and existing approval artifact says keep noindex.","build and rendered robots scan","Keep noindex."
