"slug","tool_name","category","index_priority","reason"
"fancy-text-generator","Fancy Text Generator","Font & Text Style Generators","high","Broad, safe intent with complete metadata and stronger launch value."
"name-generator","Name Generator","Name Generators","noindex","security, fake, identifier, or commercial misuse risk."
"username-generator","Username Generator","Name Generators","noindex","direct franchise/AI-brand term."
"business-name-generator","Business Name Generator","Business & Brand Generators","low","thin FAQ coverage."
"youtube-tag-generator","YouTube Tag Generator","Social Media & Tag Generators","low","direct platform/marketplace term; thin FAQ coverage."
"instagram-bio-generator","Instagram Bio Generator","Bio & Caption Generators","low","direct platform/marketplace term; thin FAQ coverage."
"meta-tag-generator","Meta Tag Generator","SEO & Marketing Generators","low","direct platform/marketplace term; thin FAQ coverage."
"bold-text-generator","Bold Text Generator","Font & Text Style Generators","low","thin FAQ coverage."
"cursive-text-generator","Cursive Text Generator","Font & Text Style Generators","low","thin FAQ coverage."
"glitch-text-generator","Glitch Text Generator","Font & Text Style Generators","low","thin FAQ coverage."
"password-generator","Password Generator","Utility Generators","noindex","security, fake, identifier, or commercial misuse risk."
"lorem-ipsum-generator","Lorem Ipsum Generator","Utility Generators","low","thin FAQ coverage."
"fantasy-name-generator","Fantasy Name Generator","Gaming & Fantasy Generators","low","thin FAQ coverage."
"instagram-hashtag-generator","Instagram Hashtag Generator","Social Media & Tag Generators","noindex","unsafe, crime-adjacent, or conflict-oriented term."
"text-case-converter","Text Case Converter","Utility Generators","low","thin FAQ coverage."
"team-name-generator","Team Name Generator","Name Generators","low","thin FAQ coverage."
"robots-txt-generator","Robots.txt Generator","SEO & Marketing Generators","low","thin FAQ coverage."
"word-counter","Word Counter","Utility Generators","low","thin FAQ coverage."
"uuid-generator","UUID Generator","Developer & Web Generators","noindex","security, fake, identifier, or commercial misuse risk."
"random-number-generator","Random Number Generator","Random Generators","low","thin FAQ coverage."
"small-text-generator","Small Text Generator","Font & Text Style Generators","low","thin FAQ coverage."
"italic-text-generator","Italic Text Generator","Font & Text Style Generators","low","thin FAQ coverage."
"strikethrough-text-generator","Strikethrough Text Generator","Font & Text Style Generators","low","thin FAQ coverage."
"underline-text-generator","Underline Text Generator","Font & Text Style Generators","low","thin FAQ coverage."
"vaporwave-text-generator","Vaporwave Text Generator","Font & Text Style Generators","low","thin FAQ coverage."
"reverse-text-generator","Reverse Text Generator","Font & Text Style Generators","low","thin FAQ coverage."
"unicode-text-generator","Unicode Text Generator","Font & Text Style Generators","low","thin FAQ coverage."
"tiktok-hashtag-generator","TikTok Hashtag Generator","Social Media & Tag Generators","noindex","unsafe, crime-adjacent, or conflict-oriented term."
"twitter-bio-generator","Twitter/X Bio Generator","Bio & Caption Generators","low","direct platform/marketplace term; thin FAQ coverage."
"tiktok-bio-generator","TikTok Bio Generator","Bio & Caption Generators","low","direct platform/marketplace term; thin FAQ coverage."
"linkedin-bio-generator","LinkedIn Bio Generator","Bio & Caption Generators","low","direct platform/marketplace term; thin FAQ coverage."
"domain-name-generator","Domain Name Generator","Business & Brand Generators","low","thin FAQ coverage."
"product-name-generator","Product Name Generator","Business & Brand Generators","low","thin FAQ coverage."
"baby-name-generator","Baby Name Generator","Name Generators","low","thin FAQ coverage."
"middle-name-generator","Middle Name Generator","Name Generators","low","thin FAQ coverage."
"last-name-generator","Last Name Generator","Name Generators","low","thin FAQ coverage."
"discord-name-generator","Discord Name Generator","Name Generators","low","direct platform/marketplace term; thin FAQ coverage."
"clan-name-generator","Clan Name Generator","Gaming & Fantasy Generators","low","thin FAQ coverage."
"band-name-generator","Band Name Generator","Creative & Story Generators","low","thin FAQ coverage."
"superhero-name-generator","Superhero Name Generator","Creative & Story Generators","low","thin FAQ coverage."
"rap-name-generator","Rap Name Generator","Creative & Story Generators","medium","Useful and generally safe, but less central or needs more differentiation before top indexing priority."
"song-name-generator","Song Name Generator","Creative & Story Generators","low","thin FAQ coverage."
"paragraph-generator","Paragraph Generator","AI Text & Writing Generators","low","thin FAQ coverage."
"sentence-generator","Sentence Generator","AI Text & Writing Generators","low","thin FAQ coverage."
"blog-name-generator","Blog Name Generator","AI Text & Writing Generators","low","thin FAQ coverage."
"pirate-name-generator","Pirate Name Generator","Gaming & Fantasy Generators","low","thin FAQ coverage."
"medieval-name-generator","Medieval Name Generator","Gaming & Fantasy Generators","low","thin FAQ coverage."
"hreflang-tag-generator","Hreflang Tag Generator","SEO & Marketing Generators","low","thin FAQ coverage."
"schema-tag-generator","Schema Markup Generator","SEO & Marketing Generators","low","thin FAQ coverage."
"slug-generator","URL Slug Generator","Developer & Web Generators","low","thin FAQ coverage."
